Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Николаевская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23257	2312	2465	2111	2889	2668	848	1112	955	774	245	1128	563	491	783	1278	1009	786	174	666									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24785	2322	2509	2126	2843	2709	1074	1224	1155	812	285	1165	632	494	938	1444	1033	979	222	819									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9535	877	977	912	1228	948	245	409	410	320	98	537	272	198	364	372	449	490	95	334									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2049	142	127	114	50	64	211	154	153	68	19	88	83	54	178	306	121	32	19	66									
6	Число погашенных избирательных бюллетеней	13201	1303	1405	1100	1565	1697	618	661	592	424	168	540	277	242	396	766	463	457	108	419									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2049	142	127	114	50	64	211	154	153	68	19	88	83	54	178	306	121	32	19	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9531	876	977	912	1228	948	245	409	410	320	98	537	272	198	364	372	449	487	95	334									
9	Число недействительных избирательных бюллетеней	218	18	19	16	25	17	16	12	9	7	2	14	10	5	4	2	14	17	1	10									
10	Число действительных избирательных бюллетеней	11362	1000	1085	1010	1253	995	440	551	554	381	115	611	345	247	538	676	556	502	113	390									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	91	8	8	8	8	9	6	5	5	5	8	5	3	2	2	2	2	2	1	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	8	8	5	8	9	6	5	5	5	8	5	3	2	2	2	2	2	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	3	4	7	5	2	1	0	3	3	0	1	0	0	4	1	2	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	509	12	36	32	21	14	13	24	65	6	1	10	0	24	61	22	36	103	1	28									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	79	10	7	6	12	12	1	2	4	3	0	9	2	1	2	2	0	2	0	4									
		0.68%	0.98%	0.63%	0.58%	0.94%	1.19%	0.22%	0.36%	0.71%	0.77%	0.00%	1.44%	0.56%	0.40%	0.37%	0.29%	0.00%	0.39%	0.00%	1.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	286	28	29	26	29	17	15	14	12	10	6	11	9	8	12	17	16	13	1	13									
		2.47%	2.75%	2.63%	2.53%	2.27%	1.68%	3.29%	2.49%	2.13%	2.58%	5.13%	1.76%	2.54%	3.17%	2.21%	2.51%	2.81%	2.50%	0.88%	3.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	201	24	20	29	25	25	3	6	6	10	1	9	9	0	4	8	5	14	1	2									
		1.74%	2.36%	1.81%	2.83%	1.96%	2.47%	0.66%	1.07%	1.07%	2.58%	0.85%	1.44%	2.54%	0.00%	0.74%	1.18%	0.88%	2.70%	0.88%	0.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7518	568	691	628	698	560	314	390	382	264	77	415	259	200	434	535	398	341	79	285									
		64.92%	55.80%	62.59%	61.21%	54.62%	55.34%	68.86%	69.27%	67.85%	68.04%	65.81%	66.40%	72.96%	79.37%	80.07%	78.91%	69.82%	65.70%	69.30%	71.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	6	7	6	6	8	0	2	0	2	0	7	1	0	0	3	1	2	0	0									
		0.44%	0.59%	0.63%	0.58%	0.47%	0.79%	0.00%	0.36%	0.00%	0.52%	0.00%	1.12%	0.28%	0.00%	0.00%	0.44%	0.18%	0.39%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	1	1	0	0	0	2	0	0	1	0	0	0	1	1	1	0	1									
