Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Суровикинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26687	1940	1882	1826	1848	1894	1894	2007	1995	569	244	678	100	552	533	355	97	824	166	380	517	657	154	1662	303	780	140	339	876	570	483	422									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23270	1500	1500	1500	1500	1500	1500	1500	1500	570	240	700	103	550	550	360	103	820	160	380	530	650	164	1500	300	750	140	340	900	550	480	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10242	685	660	683	765	685	742	761	801	171	69	261	76	189	322	182	76	341	70	167	233	200	84	635	135	302	38	146	300	170	182	111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1732	54	55	81	48	37	78	254	45	65	8	67	0	88	120	31	5	85	8	24	32	90	2	81	16	58	54	14	46	74	37	75									
6	Число погашенных избирательных бюллетеней	11296	761	785	736	687	778	680	485	654	334	163	372	27	273	108	147	22	394	82	189	265	360	78	784	149	390	48	180	554	306	261	244									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1732	54	55	81	48	37	78	254	45	65	8	67	0	88	120	31	5	85	8	24	32	90	2	81	16	58	54	14	46	74	37	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10242	685	660	683	765	685	742	761	801	171	69	261	76	189	322	182	76	341	70	167	233	200	84	635	135	302	38	146	300	170	182	111									
9	Число недействительных избирательных бюллетеней	270	24	16	14	16	25	13	25	21	10	2	9	1	1	8	2	3	6	1	3	5	1	5	12	7	13	0	1	12	6	4	4									
10	Число действительных избирательных бюллетеней	11704	715	699	750	797	697	807	990	825	226	75	319	75	276	434	211	78	420	77	188	260	289	81	704	144	347	92	159	334	238	215	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	371	23	23	23	23	23	23	23	23	8	4	19	2	8	13	9	4	10	3	5	8	8	3	20	5	10	8	5	12	8	7	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	210	12	15	9	20	11	10	9	13	0	0	19	0	1	13	9	4	4	1	5	8	2	2	12	2	4	8	0	4	4	1	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	2	0	9	7	2	5	7	4	3	3	3	0	1	7	2	6	1	1	4	2	4	1	3	4	3	3	1	3	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	161	11	8	14	3	12	13	14	10	8	4	0	2	7	0	0	0	6	2	0	0	6	1	8	3	6	0	5	8	4	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	4	0	2	2	3	1	3	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	99	10	4	9	5	12	5	10	9	1	1	0	1	0	2	0	0	3	0	0	10	1	2	3	0	2	0	1	3	3	1	1									
		0.83%	1.35%	0.56%	1.18%	0.62%	1.66%	0.61%	0.99%	1.06%	0.42%	1.30%	0.00%	1.32%	0.00%	0.45%	0.00%	0.00%	0.70%	0.00%	0.00%	3.77%	0.34%	2.33%	0.42%	0.00%	0.56%	0.00%	0.63%	0.87%	1.23%	0.46%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	372	29	17	23	32	24	31	17	32	6	4	13	1	8	8	10	0	8	5	6	8	14	1	27	7	8	1	3	12	4	5	8									
		3.11%	3.92%	2.38%	3.01%	3.94%	3.32%	3.78%	1.67%	3.78%	2.54%	5.19%	3.96%	1.32%	2.89%	1.81%	4.69%	0.00%	1.88%	6.41%	3.14%	3.02%	4.83%	1.16%	3.77%	4.64%	2.22%	1.09%	1.88%	3.47%	1.64%	2.28%	4.30%									
