Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Шиханская													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №1879	УИК №1880									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5273	2339	2934									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5300	2400	2900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2542	1135	1407									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	161	62	99									
6	Число погашенных избирательных бюллетеней	2597	1203	1394									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	161	62	99									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2542	1135	1407									
9	Число недействительных избирательных бюллетеней	41	25	16									
10	Число действительных избирательных бюллетеней	2662	1172	1490									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	55	30	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	38	19	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	6	11									
14	Число погашенных неиспользованных открепительных удостоверений	17	11	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	4	4									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	24	8	16									
		0.89%	0.67%	1.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	95	37	58									
		3.51%	3.09%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	22	24									
		1.70%	1.84%	1.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1628	838	790									
		60.23%	70.01%	52.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	2	8									
		0.37%	0.17%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	4									
		0.22%	0.17%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	437	128	309									
		16.17%	10.69%	20.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	2	12									
		0.52%	0.17%	0.80%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	7	10									
		0.63%	0.58%	0.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	1									
		0.07%	0.08%	0.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	10	13									
		0.85%	0.84%	0.86%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	267	53	214									
		9.88%	4.43%	14.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	6	6									
		0.44%	0.50%	0.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	81	56	25									
		2.99%	4.68%	1.66%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
