Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
"Наименование Избирательной комиссии:    Ставрополь, Промышленная"																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
1	"Число избирателей, внесенных в списки"	136107	2924	2704	2755	2677	1728	2214	2715	2585	2033	2812	1780	1965	2467	2595	1300	848	2435	1436	2162	1570	2083	953	1745	1372	2750	2637	2933	1186	1153	3157	1732	1237	2336	2168	2613	2423	2377	2609	2835	1103	2979	2943	2962	2680	3006	1724	2015	2122	2532	1002	1549	646	2989	2227	2952	2813	2961	2823	3071	3032	1205	54	250	247	216					
2	"Число бюллетеней, полученных участковыми комиссиями"	124710	2600	2160	2500	2400	1600	2000	2500	2350	1800	2600	1600	1800	2300	2400	1200	800	2300	1200	2000	1500	1900	900	1600	1300	2500	2400	2600	1100	1100	2700	1500	1800	2200	2000	2400	2200	2100	2300	2600	1000	2700	2700	2700	2400	2700	1600	1800	1900	2300	1000	1100	600	2700	2000	2600	2600	2700	2300	2700	2700	1100	500	500	500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	72684	1415	1355	1474	1405	807	920	1431	1370	999	1439	973	1318	1512	1450	735	473	1160	936	1265	855	1228	544	798	705	1573	1478	1427	596	698	1351	911	1225	1157	1242	1378	1368	1309	1273	1554	598	1617	1583	1752	1487	1603	907	1027	1164	1319	557	841	393	1457	1174	1697	1439	1551	1394	1528	1455	543	38	119	202	132					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1762	19	10	18	9	5	10	10	12	7	7	32	16	35	57	17	15	46	10	32	20	29	21	31	11	57	39	56	29	16	133	5	12	28	22	29	35	36	20	18	9	40	42	46	18	36	21	25	18	32	4	6	2	15	13	13	33	28	13	35	13	10	16	131	45	84					
6	Число погашенных бюллетеней	50261	1166	795	1008	986	788	1070	1059	968	794	1154	595	466	753	893	448	312	1094	253	703	625	643	335	771	584	870	883	1117	475	386	1216	584	563	1015	736	993	797	755	1007	1028	393	1043	1075	902	895	1061	672	748	718	949	439	253	205	1228	813	888	1128	1121	893	1137	1232	547	446	250	253	284					
7	Число бюллетеней в переносных ящиках для голосования	1747	19	10	18	9	5	10	10	12	7	7	32	16	35	57	17	15	46	10	32	20	29	21	31	11	57	39	56	29	16	133	5	12	28	22	29	35	21	20	18	9	40	42	46	18	36	21	25	18	32	4	6	2	15	13	13	33	28	13	35	13	10	16	131	45	84					
8	Число бюллетеней в стационарных ящиках для голосования	72611	1412	1354	1472	1405	807	920	1427	1370	998	1422	973	1315	1512	1449	735	473	1160	932	1263	855	1228	544	798	705	1573	1478	1427	596	698	1351	907	1225	1156	1242	1378	1368	1323	1273	1554	598	1614	1583	1752	1487	1567	907	1027	1164	1316	556	841	393	1457	1174	1697	1439	1551	1393	1528	1455	543	38	119	202	132					
9	Число недействительных бюллетеней	762	17	14	11	12	4	13	12	17	9	12	3	11	17	21	12	8	17	17	20	12	17	4	4	2	18	31	24	7	9	25	21	13	13	13	0	14	33	16	0	8	11	23	12	21	16	5	11	7	9	6	6	2	10	4	20	10	8	13	5	13	5	1	0	12	1					
10	Число действительных бюллетеней	73596	1414	1350	1479	1402	808	917	1425	1365	996	1417	1002	1320	1530	1485	740	480	1189	925	1275	863	1240	561	825	714	1612	1486	1459	618	705	1459	891	1224	1171	1251	1407	1389	1311	1277	1572	599	1643	1602	1786	1484	1587	923	1041	1175	1339	554	841	393	1462	1183	1690	1462	1571	1393	1558	1455	548	53	250	235	215					
