Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Верх-Нейвинская поселковая									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК №2572	УИК №2573					
1	"Число избирателей, внесенных в списки"	3964	2021	1943					
2	"Число бюллетеней, полученных участковыми комиссиями"	3980	2060	1920					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1643	820	823					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	137	52	85					
6	Число погашенных бюллетеней	2200	1188	1012					
7	Число бюллетеней в переносных ящиках для голосования	137	52	85					
8	Число бюллетеней в стационарных ящиках для голосования	1642	820	822					
9	Число недействительных бюллетеней	32	7	25					
10	Число действительных бюллетеней	1747	865	882					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	49	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	4	17					
14	Число погашенных открепительных удостоверений	87	39	48					
15	Число открепительных удостоверений выданных ТИК	1	1	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	17	5	12					
		0.95%	0.57%	1.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	79	43	36					
		4.44%	4.93%	3.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	73	36	37					
		4.10%	4.12%	4.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	77	42	35					
		4.32%	4.81%	3.85%					
22	"5. ""За Русь Святую"""	11	3	8					
		0.61%	0.34%	0.88%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	2	3					
		0.28%	0.22%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	5	2					
		0.39%	0.57%	0.22%					
25	"8. ""Народно-республиканская партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	2	7					
		0.50%	0.22%	0.77%					
27	"10. ""Аграрная партия России"""	53	31	22					
		2.97%	3.55%	2.42%					
28	"11. ""Истинные патриоты России"""	3	2	1					
		0.16%	0.22%	0.11%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	22	9	13					
		1.23%	1.03%	1.43%					
30	"13. ""Демократическая партия России"""	9	6	3					
		0.50%	0.68%	0.33%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	3	4					
		0.39%	0.34%	0.44%					
32	"15. ""Партия СЛОН"""	1	0	1					
		0.05%	0.0%	0.11%					
33	"16. ""Родина"" (народно-патриотический союз)"""	94	53	41					
		5.28%	6.07%	4.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	7	2	5					
		0.39%	0.22%	0.55%					
35	"18. ""ЛДПР"""	310	144	166					
		17.42%	16.51%	18.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	28	9	19					
		1.57%	1.03%	2.09%					
37	"20. ""Политическая партия ""Единая Россия"""	672	335	337					
		37.77%	38.41%	37.15%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	1	7					
		0.44%	0.11%	0.77%					
39	"22. ""Развитие предпринимательства"""	4	1	3					
		0.22%	0.11%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	148	72	76					
		8.31%	8.25%	8.37%					
									
41	Против всех	103	59	44					
		5.78%	6.76%	4.85%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
