Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Никифоровская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15820	1742	1874	1689	769	1155	294	287	786	857	278	343	116	168	231	188	861	1001	97	682	318	351	142	630	98	342	307	214									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15455	1600	1700	1600	780	1100	290	280	790	860	270	350	120	170	240	190	890	1000	100	680	320	380	135	640	100	350	310	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12070	1405	1484	1296	624	865	177	159	481	688	221	241	77	127	190	155	636	731	70	607	221	278	115	470	89	256	233	174									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1148	35	59	58	28	83	41	65	104	72	31	38	21	17	26	17	90	85	11	45	32	29	20	52	9	30	30	20									
6	Число погашенных избирательных бюллетеней	2237	160	157	246	128	152	72	56	205	100	18	71	22	26	24	18	164	184	19	28	67	73	0	118	2	64	47	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1148	35	59	58	28	83	41	65	104	72	31	38	21	17	26	17	90	85	11	45	32	29	20	52	9	30	30	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12070	1405	1484	1296	624	865	177	159	481	688	221	241	77	127	190	155	636	731	70	607	221	278	115	470	89	256	233	174									
9	Число недействительных избирательных бюллетеней	19	3	0	0	0	1	4	1	2	1	0	0	0	0	0	0	0	2	1	3	0	1	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	13199	1437	1543	1354	652	947	214	223	583	759	252	279	98	144	216	172	726	814	80	649	253	306	135	522	98	286	263	194									
