Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Барабинская городская 																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307					
1	"Число избирателей, внесенных в списки"	24859	1101	2003	958	1803	1831	931	1168	1066	1006	1070	1037	2101	1159	1002	861	924	933	896	1008	1042	959					
2	"Число бюллетеней, полученных участковыми комиссиями"	24000	1070	2000	900	1775	1800	890	1090	1000	970	1040	1000	2000	1090	880	835	900	900	960	1000	1000	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11754	489	1019	326	899	1101	463	549	515	480	451	547	1078	460	498	385	377	327	396	470	475	449					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	860	32	35	40	50	52	36	46	32	38	46	17	67	84	8	44	14	54	62	45	37	21					
6	Число погашенных бюллетеней	11382	549	946	534	826	647	391	495	453	452	543	432	855	546	374	406	509	519	502	485	488	430					
7	Число бюллетеней в переносных ящиках для голосования	860	32	35	40	50	52	36	46	32	38	46	17	67	84	8	44	14	54	62	45	37	21					
8	Число бюллетеней в стационарных ящиках для голосования	11749	489	1019	326	899	1101	463	549	515	480	451	543	1078	460	497	385	377	327	396	470	475	449					
9	Число недействительных бюллетеней	253	9	17	18	10	14	9	10	10	4	10	9	15	10	30	5	17	3	0	29	17	7					
10	Число действительных бюллетеней	12356	512	1037	348	939	1139	490	585	537	514	487	551	1130	534	475	424	374	378	458	486	495	463					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	20	20	20	39	50	20	20	20	20	20	20	50	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	1	7	2	3	10	2	2	2	0	1	2	22	1	3	2	0	0	4	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	1	3	5	11	1	0	4	5	2	3	0	1	1	1	0	1	3	0	0	2					
14	Число погашенных открепительных удостоверений	433	19	13	18	36	40	18	18	18	20	19	18	28	19	17	18	20	20	16	19	20	19					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
