Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Уржумская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232					
1	"Число избирателей, внесенных в список"	25051	1362	1160	1375	1368	1326	1621	632	245	117	682	1106	107	326	104	82	618	153	163	345	542	174	77	279	245	1056	232	152	311	536	166	150	439	571	370	1107	248	344	451	465	115	146	761	415	270	208	67	309	113	1149	330	104	257					
2	Число полученных избирательных бюллетеней	23985	1250	1000	1300	1300	1300	1600	600	245	120	670	1050	100	320	100	90	610	150	160	340	500	170	75	270	255	1000	230	145	300	520	160	150	410	550	370	1050	230	340	435	450	120	135	730	400	270	200	65	290	100	1100	310	100	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13884	616	602	743	669	798	808	368	124	86	290	477	80	207	83	59	334	107	100	236	327	122	54	144	118	606	170	95	171	340	104	92	238	367	242	605	133	207	195	321	86	111	354	235	165	138	48	228	90	570	203	72	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	1923	98	42	38	44	48	38	29	56	10	64	123	2	25	10	7	74	20	38	23	38	11	2	15	48	49	15	19	62	37	17	19	28	35	37	137	41	37	88	24	0	8	42	56	32	10	0	22	4	130	46	13	12					
6	Число погашенных избирательных бюллетеней	8178	536	356	519	587	454	754	203	65	24	316	450	18	88	7	24	202	23	22	81	135	37	19	111	89	345	45	31	67	143	39	39	144	148	91	308	56	96	152	105	34	16	334	109	73	52	17	40	6	400	61	15	92					
7	Число избирательных бюллетеней в переносных ящиках	1922	98	42	38	44	48	38	29	56	9	64	123	2	25	10	7	74	20	38	23	38	11	2	15	48	49	15	19	62	37	17	19	28	35	37	137	41	37	88	24	0	8	42	56	32	10	0	22	4	130	46	13	12					
8	Число бюллетеней в стационарных ящиках для голосования	13884	616	602	743	669	798	808	368	124	86	290	477	80	207	83	59	334	107	100	236	327	122	54	144	118	606	170	95	171	340	104	92	238	367	242	605	133	207	195	321	86	111	354	235	165	138	48	228	90	570	203	72	146					
9	Число недействительных избирательных бюллетеней	109	4	6	3	5	5	4	1	1	1	5	9	0	1	2	2	7	0	2	0	5	1	0	0	0	6	2	1	0	2	4	2	4	0	0	3	0	3	1	1	0	0	3	1	1	1	0	3	0	7	0	0	0					
10	Число действительных избирательных бюллетеней	15697	710	638	778	708	841	842	396	179	94	349	591	82	231	91	64	401	127	136	259	360	132	56	159	166	649	183	113	233	375	117	109	262	402	279	739	174	241	282	344	86	119	393	290	196	147	48	247	94	693	249	85	158					
11	Число полученных открепительных  удостоверений	275	8	8	8	8	8	8	6	7	5	5	12	2	5	6	8	10	2	2	5	6	5	2	2	9	7	4	3	4	6	5	7	5	5	6	6	2	5	5	7	2	2	6	15	2	2	2	4	2	8	2	2	2					
12	Число выданных открепительных удостоверений	173	1	1	4	4	6	5	1	7	4	1	10	0	5	2	7	10	0	0	5	5	5	0	2	9	3	4	1	4	3	5	7	3	2	2	4	0	3	2	7	0	1	1	15	0	0	2	1	2	5	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	6	13	12	8	7	5	0	0	0	1	1	0	2	0	0	1	0	0	1	11	1	1	0	1	1	2	2	0	2	1	1	3	0	1	1	0	2	0	1	0	0	0	4	0	0	1	0	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	102	7	7	4	4	2	3	5	0	1	4	2	2	0	4	1	0	2	2	0	1	0	2	0	0	4	0	2	0	3	0	0	2	3	4	2	2	2	3	0	2	1	5	0	2	2	0	3	0	3	0	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	25	4	0	1	3	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	659	27	22	47	38	34	61	24	6	1	16	37	0	7	4	0	14	4	4	6	8	2	3	8	10	20	5	3	6	7	0	0	8	25	3	29	6	3	34	8	7	8	31	17	5	4	0	6	0	32	3	1	5					
		4.17%	3.78%	3.42%	6.02%	5.33%	4.02%	7.21%	6.05%	3.33%	1.05%	4.52%	6.17%	0.00%	3.02%	4.30%	0.00%	3.43%	3.15%	2.90%	2.32%	2.19%	1.50%	5.36%	5.03%	6.02%	3.05%	2.70%	2.63%	2.58%	1.86%	0.00%	0.00%	3.01%	6.22%	1.08%	3.91%	3.45%	1.23%	12.01%	2.32%	8.14%	6.72%	7.83%	5.84%	2.54%	2.70%	0.00%	2.40%	0.00%	4.57%	1.20%	1.18%	3.16%					
19	. Малышкин Олег Александрович	487	25	15	18	16	16	20	10	10	11	12	20	4	5	6	1	13	2	6	9	9	5	7	10	10	14	7	5	16	4	5	18	5	2	7	13	4	5	11	18	4	9	14	8	3	2	2	4	0	28	5	2	12					
		3.08%	3.50%	2.33%	2.30%	2.24%	1.89%	2.36%	2.52%	5.56%	11.58%	3.39%	3.33%	4.88%	2.16%	6.45%	1.52%	3.19%	1.57%	4.35%	3.47%	2.47%	3.76%	12.50%	6.29%	6.02%	2.14%	3.78%	4.39%	6.87%	1.06%	4.13%	16.22%	1.88%	0.50%	2.51%	1.75%	2.30%	2.05%	3.89%	5.22%	4.65%	7.56%	3.54%	2.75%	1.52%	1.35%	4.17%	1.60%	0.00%	4.00%	2.01%	2.35%	7.59%					
20	. Миронов Сергей Михайлович	160	3	4	8	8	11	3	1	5	0	6	11	1	4	0	0	7	0	0	5	9	1	0	0	4	7	5	1	3	4	1	0	2	5	2	10	2	2	4	0	1	3	4	2	1	1	0	0	0	7	0	0	2					
		1.01%	0.42%	0.62%	1.02%	1.12%	1.30%	0.35%	0.25%	2.78%	0.00%	1.69%	1.83%	1.22%	1.72%	0.00%	0.00%	1.72%	0.00%	0.00%	1.93%	2.47%	0.75%	0.00%	0.00%	2.41%	1.07%	2.70%	0.88%	1.29%	1.06%	0.83%	0.00%	0.75%	1.24%	0.72%	1.35%	1.15%	0.82%	1.41%	0.00%	1.16%	2.52%	1.01%	0.69%	0.51%	0.68%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	1.27%					
21	. Путин Владимир Владимирович	9758	467	375	435	414	465	509	240	74	57	161	329	50	147	54	43	284	97	111	158	245	60	37	115	58	478	112	34	182	245	94	74	162	292	201	490	101	165	134	195	43	57	212	210	127	107	37	167	75	426	189	72	92					
		61.74%	65.41%	58.23%	55.70%	58.06%	54.96%	60.17%	60.45%	41.11%	60.00%	45.48%	54.83%	60.98%	63.36%	58.06%	65.15%	69.61%	76.38%	80.43%	61.00%	67.12%	45.11%	66.07%	72.33%	34.94%	72.98%	60.54%	29.82%	78.11%	64.99%	77.69%	66.67%	60.90%	72.64%	72.04%	66.04%	58.05%	67.62%	47.35%	56.52%	50.00%	47.90%	53.54%	72.16%	64.47%	72.30%	77.08%	66.80%	79.79%	60.86%	75.90%	84.71%	58.23%					
22	. Хакамада Ирина Муцуовна	261	12	16	14	20	20	11	6	3	0	4	13	0	1	2	0	5	5	1	4	1	3	0	0	1	18	3	0	3	4	0	1	1	7	2	8	2	5	11	4	4	2	8	5	6	4	0	2	3	9	2	3	2					
		1.65%	1.68%	2.48%	1.79%	2.81%	2.36%	1.30%	1.51%	1.67%	0.00%	1.13%	2.17%	0.00%	0.43%	2.15%	0.00%	1.23%	3.94%	0.72%	1.54%	0.27%	2.26%	0.00%	0.00%	0.60%	2.75%	1.62%	0.00%	1.29%	1.06%	0.00%	0.90%	0.38%	1.74%	0.72%	1.08%	1.15%	2.05%	3.89%	1.16%	4.65%	1.68%	2.02%	1.72%	3.05%	2.70%	0.00%	0.80%	3.19%	1.29%	0.80%	3.53%	1.27%					
23	. Харитонов Николай Михайлович	4119	166	195	240	195	278	210	93	79	24	145	177	26	64	22	20	70	19	14	70	80	61	8	24	78	102	48	70	20	107	16	15	79	67	64	174	58	56	86	117	25	37	124	44	51	27	9	65	16	185	49	6	44					
		26.06%	23.25%	30.28%	30.73%	27.35%	32.86%	24.82%	23.43%	43.89%	25.26%	40.96%	29.50%	31.71%	27.59%	23.66%	30.30%	17.16%	14.96%	10.14%	27.03%	21.92%	45.86%	14.29%	15.09%	46.99%	15.57%	25.95%	61.40%	8.58%	28.38%	13.22%	13.51%	29.70%	16.67%	22.94%	23.45%	33.33%	22.95%	30.39%	33.91%	29.07%	31.09%	31.31%	15.12%	25.89%	18.24%	18.75%	26.00%	17.02%	26.43%	19.68%	7.06%	27.85%					
																																																											
