Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Псковская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172					
1	"Число избирателей, внесенных в списки избирателей"	28639	352	149	759	285	435	446	1039	918	946	989	532	863	329	490	1285	1039	280	150	275	271	1425	1482	915	380	197	259	118	1042	862	128	863	335	342	1320	1127	243	240	2910	535	1198	124	527	235					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27095	330	150	700	260	410	450	1000	900	900	900	450	850	320	480	1200	900	280	140	270	300	1400	1400	900	360	180	250	120	900	800	120	800	300	300	1300	1000	230	250	2755	500	1100	190	500	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14019	153	68	180	113	203	153	344	518	542	393	180	436	114	195	741	325	97	59	121	82	985	862	395	172	99	164	45	463	386	61	347	148	148	769	533	127	58	1865	268	651	71	238	147					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4619	84	41	295	96	92	187	286	49	86	229	166	125	85	125	43	228	105	41	126	189	74	109	164	93	35	19	44	184	83	45	164	99	41	95	164	46	95	88	95	72	53	45	34					
6	Число погашенных избирательных бюллетеней	8457	93	41	225	51	115	110	370	333	272	278	104	289	121	160	416	347	78	40	23	29	341	429	341	95	46	67	31	253	331	14	289	53	111	436	303	57	97	802	137	377	66	217	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4619	84	41	295	96	92	187	286	49	86	229	166	125	85	125	43	228	105	41	126	189	74	109	164	93	35	19	44	184	83	45	164	99	41	95	164	46	95	88	95	72	53	45	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14005	153	68	180	113	203	153	344	518	542	393	180	436	114	195	741	325	97	59	121	82	985	862	395	172	99	164	45	463	386	61	347	148	148	769	533	127	58	1851	268	651	71	238	147					
9	Число недействительных избирательных бюллетеней	124	1	0	2	1	2	0	4	5	4	4	1	6	0	1	9	1	0	1	0	0	8	4	2	2	0	3	1	6	1	2	7	2	3	4	7	1	0	23	1	4	1	0	0					
10	Число действительных избирательных бюллетеней	18500	236	109	473	208	293	340	626	562	624	618	345	555	199	319	775	552	202	99	247	271	1051	967	557	263	134	180	88	641	468	104	504	245	186	860	690	172	153	1916	362	719	123	283	181					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1418	10	5	20	5	10	45	20	20	20	20	10	20	10	10	90	70	10	10	20	20	100	100	30	20	10	20	10	30	20	10	20	10	10	45	45	10	10	323	20	90	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	233	2	1	6	2	0	20	5	8	6	5	6	8	1	4	27	9	1	1	0	0	14	5	3	0	1	0	2	7	10	1	1	0	0	16	17	4	2	26	0	10	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	168	9	2	8	0	4	0	3	5	3	5	4	11	2	3	10	5	4	1	0	1	9	3	4	7	3	2	1	6	5	1	5	1	6	5	3	4	3	12	1	4	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	1185	8	4	14	3	10	25	15	12	14	15	4	12	9	6	63	61	9	9	20	20	86	95	27	20	9	20	8	23	10	9	19	10	10	29	28	6	8	297	20	80	10	18	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	1.Политическая партия «Аграрная партия России»	586	4	4	11	3	5	8	34	21	27	31	13	15	3	6	20	14	7	3	23	7	51	42	19	2	1	1	0	10	16	2	16	1	3	43	25	2	1	42	8	33	2	6	1					
