Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Вачская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472					
1	"Число избирателей, внесенных в списки"	18636	646	245	212	116	1080	896	178	1856	1473	1622	445	239	177	243	182	222	320	1027	494	171	490	1000	331	686	287	1208	871	178	184	682	139	152	85	396	103					
2	"Число бюллетеней, полученных участковыми комиссиями"	16850	575	220	195	112	920	800	192	1680	1320	1480	390	215	175	220	178	200	290	925	435	173	445	900	300	620	235	1100	755	180	178	615	139	154	89	350	95					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8779	375	75	121	49	370	382	83	1042	759	810	183	144	117	116	108	135	170	478	264	89	153	461	138	209	159	575	353	95	79	321	30	51	28	199	58					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2212	78	94	35	57	129	26	27	54	85	103	69	53	18	70	17	15	43	111	34	23	125	114	66	145	51	114	40	31	62	47	61	46	34	103	32					
6	Число погашенных бюллетеней	5852	122	51	39	6	421	392	82	584	476	567	138	18	40	34	53	50	77	336	137	61	167	325	96	266	25	411	362	54	37	240	48	57	27	48	5					
7	Число бюллетеней в переносных ящиках для голосования	2219	78	94	35	57	129	26	27	54	85	103	69	53	18	70	17	15	43	111	34	23	125	114	66	145	51	114	40	31	62	54	61	46	34	103	32					
8	Число бюллетеней в стационарных ящиках для голосования	8778	375	75	121	49	370	382	83	1042	759	810	183	144	117	116	108	135	170	478	264	89	153	461	138	209	159	574	353	95	79	321	30	51	28	199	58					
9	Число недействительных бюллетеней	279	10	7	6	0	14	15	2	26	19	14	4	12	6	3	5	12	4	11	6	3	12	6	3	9	7	20	10	2	4	7	4	7	1	7	1					
10	Число действительных бюллетеней	10718	443	162	150	106	485	393	108	1070	825	899	248	185	129	183	120	138	209	578	292	109	266	569	201	345	203	668	383	124	137	368	87	90	61	295	89					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	445	15	5	10	5	20	20	5	25	25	25	10	10	10	10	5	10	10	25	10	5	15	25	5	15	5	20	25	10	5	20	5	5	5	20	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	6	0	1	2	1	0	0	12	6	3	0	3	0	1	0	1	0	0	0	0	3	7	1	0	0	4	4	0	0	7	0	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	3	1	0	5	1	0	0	1	4	4	5	0	2	1	1	0	2	0	0	0	0	2	2	0	4	0	3	1	0	0	0	1	1	0	1					
14	Число погашенных открепительных удостоверений	381	9	5	9	3	19	20	5	13	19	22	10	7	10	9	5	9	10	25	10	5	12	18	4	15	5	16	21	10	5	13	5	4	4	20	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	278	21	4	12	4	16	8	0	16	15	10	6	3	1	11	2	5	9	20	7	2	11	11	11	6	5	20	14	4	3	5	3	5	2	6	0					
		2.52%	4.63%	2.36%	7.69%	3.77%	3.20%	1.96%	0.0%	1.45%	1.77%	1.09%	2.38%	1.52%	0.74%	5.91%	1.6%	3.33%	4.22%	3.39%	2.34%	1.78%	3.95%	1.91%	5.39%	1.69%	2.38%	2.90%	3.56%	3.17%	2.12%	1.33%	3.29%	5.15%	3.22%	1.98%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	309	7	4	5	0	24	12	2	46	18	41	8	2	0	5	12	6	9	19	9	2	4	15	4	4	5	7	10	0	1	12	1	2	0	13	0					
		2.80%	1.54%	2.36%	3.20%	0.0%	4.80%	2.94%	1.81%	4.19%	2.13%	4.49%	3.17%	1.01%	0.0%	2.68%	9.6%	4.0%	4.22%	3.22%	3.02%	1.78%	1.43%	2.60%	1.96%	1.12%	2.38%	1.01%	2.54%	0.0%	0.70%	3.2%	1.09%	2.06%	0.0%	4.30%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	315	11	5	7	8	20	13	2	16	22	29	4	12	4	2	5	5	2	21	10	6	5	17	2	5	4	17	11	4	4	16	4	5	5	10	2					
		2.86%	2.42%	2.95%	4.48%	7.54%	4.00%	3.18%	1.81%	1.45%	2.60%	3.17%	1.58%	6.09%	2.96%	1.07%	4.0%	3.33%	0.93%	3.56%	3.35%	5.35%	1.79%	2.95%	0.98%	1.41%	1.90%	2.47%	2.79%	3.17%	2.83%	4.26%	4.39%	5.15%	8.06%	3.31%	2.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	168	5	4	0	4	8	8	3	31	14	11	5	5	1	1	1	1	2	3	4	1	4	10	2	10	4	3	4	1	1	5	0	2	1	6	3					
		1.52%	1.10%	2.36%	0.0%	3.77%	1.60%	1.96%	2.72%	2.82%	1.65%	1.20%	1.98%	2.53%	0.74%	0.53%	0.8%	0.66%	0.93%	0.50%	1.34%	0.89%	1.43%	1.73%	0.98%	2.82%	1.90%	0.43%	1.01%	0.79%	0.70%	1.33%	0.0%	2.06%	1.61%	1.98%	3.33%					
22	"5. ""За Русь Святую"""	138	5	4	3	3	21	7	3	4	10	2	4	5	0	0	2	2	10	10	6	1	4	6	3	4	5	3	2	2	2	1	2	1	0	0	1					
		1.25%	1.10%	2.36%	1.92%	2.83%	4.20%	1.71%	2.72%	0.36%	1.18%	0.21%	1.58%	2.53%	0.0%	0.0%	1.6%	1.33%	4.69%	1.69%	2.01%	0.89%	1.43%	1.04%	1.47%	1.12%	2.38%	0.43%	0.50%	1.58%	1.41%	0.26%	2.19%	1.03%	0.0%	0.0%	1.11%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	5	1	1	0	1	0	4	0	1	3	2	2	1	1	3	2	2	3	5	0	1	4	0	1	0	3	4	0	0	1	1	0	0	1	0					
