Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    район Кунцево																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366					
1	"Число избирателей, внесенных в список избирателей"	88782	2823	1697	2319	2535	1464	2522	1968	2006	2661	2617	2608	2708	2056	2566	2589	2165	1476	2555	2276	2639	2831	1059	2384	2198	1753	2661	2558	2566	2703	2636	2230	2609	2396	2386	2278	1853	1441	2368	194	612	108	347	235	126					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83040	2500	1600	2100	2200	2000	2200	1800	1800	2500	2300	2300	2400	1800	2300	2300	2000	2400	2400	2000	2400	2500	1000	2100	2000	1600	2400	2300	2300	2500	2400	2400	2400	2200	2100	2000	1600	1300	2300	200	1000	150	600	250	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50142	1534	793	1024	1295	1377	1892	1292	1009	1522	1790	1218	1207	1427	1103	1440	1270	1364	1361	1484	1648	1268	614	1215	874	781	1086	1127	1071	1678	1237	1642	1942	1464	1093	1288	960	988	1204	174	583	108	334	235	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2757	5	51	84	107	87	74	26	52	117	9	81	81	83	82	101	88	112	34	71	23	30	15	120	67	80	29	74	135	26	30	133	120	111	47	106	72	60	114	20	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	30141	961	756	992	798	536	234	482	739	861	501	1001	1112	290	1115	759	642	924	1005	445	729	1202	371	765	1059	739	1285	1099	1094	796	1133	625	338	625	960	606	568	252	982	6	417	42	266	15	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2757	5	51	84	107	87	74	26	52	117	9	81	81	83	82	101	88	112	34	71	23	30	15	120	67	80	29	74	135	26	30	133	120	111	47	106	72	60	114	20	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49628	1529	793	1024	1295	1353	1892	1266	1003	1511	1786	1218	1201	1339	1101	1433	1270	1364	1361	1482	1648	1267	613	1215	874	698	1057	1121	1063	1678	1227	1639	1942	1464	1082	1182	888	986	1204	174	583	108	333	235	126					
9	Число недействительных избирательных бюллетеней	731	33	8	9	12	24	32	15	18	32	32	18	24	20	17	25	3	17	18	18	22	29	13	19	11	11	27	19	26	24	27	1	22	5	28	0	22	11	10	5	14	4	2	4	0					
10	Число действительных избирательных бюллетеней	51654	1501	836	1099	1390	1416	1934	1277	1037	1596	1763	1281	1258	1402	1166	1509	1355	1459	1377	1535	1649	1268	615	1316	930	767	1059	1176	1172	1680	1230	1771	2040	1570	1101	1288	938	1035	1308	189	569	104	331	231	126					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1875	60	40	50	40	40	60	45	30	50	75	70	70	45	45	45	50	55	65	45	55	70	30	65	50	30	45	40	50	50	50	40	50	50	50	50	30	30	60	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1557	56	31	46	33	30	55	36	26	50	58	60	62	32	40	33	39	45	59	38	48	52	24	51	37	26	41	33	35	41	43	31	38	44	42	42	28	21	51	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1109	15	10	27	13	22	31	13	21	26	12	25	26	10	32	34	19	32	20	108	12	45	1	37	52	31	14	21	15	92	18	9	15	34	24	15	16	8	21	15	70	14	15	5	14					
14	Число погашенных неиспользованных открепительных удостоверений	318	4	9	4	7	10	5	9	4	0	17	10	8	13	5	12	11	10	6	7	7	18	6	14	13	4	4	7	15	9	7	9	12	6	8	8	2	9	9	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	9	0	1	1	0	0	1	1	0	4	3	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	2	0	3	0	1	3	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
