Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    ЗАТО п. Горный														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №601	УИК №602	УИК №603									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5605	2904	2068	633									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4800	2200	2000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2482	1326	951	205									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	72	16	54	2									
6	Число погашенных избирательных бюллетеней	2246	858	995	393									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	72	16	54	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2482	1326	951	205									
9	Число недействительных избирательных бюллетеней	91	43	38	10									
10	Число действительных избирательных бюллетеней	2463	1299	967	197									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	86	33	33	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	32	12	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	6	15	1									
14	Число погашенных неиспользованных открепительных удостоверений	38	1	21	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	33	76	5									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	7	9	0									
		0.63%	0.52%	0.90%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	67	26	31	10									
		2.62%	1.94%	3.08%	4.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	45	28	14	3									
		1.76%	2.09%	1.39%	1.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1020	541	415	64									
		39.94%	40.31%	41.29%	30.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	10	8	1									
		0.74%	0.75%	0.80%	0.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	4	5	0									
		0.35%	0.30%	0.50%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	923	487	357	79									
		36.14%	36.29%	35.52%	38.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	7	2	1									
		0.39%	0.52%	0.20%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	4	4	0									
		0.31%	0.30%	0.40%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	6	0	0									
		0.23%	0.45%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	11	6	4									
		0.82%	0.82%	0.60%	1.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	224	111	87	26									
		8.77%	8.27%	8.66%	12.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	16	4	4									
		0.94%	1.19%	0.40%	1.93%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	71	41	25	5									
		2.78%	3.06%	2.49%	2.42%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
