Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Прохладненская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39347	1793	1823	2161	2475	2020	2226	1636	1673	1418	3061	1376	1751	2107	2129	2217	2140	1988	2015	2047	1291									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39350	1800	1800	2150	2450	2000	2250	1650	1650	1400	3200	1350	1750	2100	2100	2200	2150	2000	2000	2050	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34349	1543	1583	1852	2217	1788	1980	1432	1476	1240	2672	1184	1457	1868	1775	1957	1915	1768	1754	1810	1078									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	847	49	39	81	11	15	23	29	16	22	83	39	110	35	111	16	13	10	49	18	78									
6	Число погашенных избирательных бюллетеней	4154	208	178	217	222	197	247	189	158	138	445	127	183	197	214	227	222	222	197	222	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	847	49	39	81	11	15	23	29	16	22	83	39	110	35	111	16	13	10	49	18	78									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34349	1543	1583	1852	2217	1788	1980	1432	1476	1240	2672	1184	1457	1868	1775	1957	1915	1768	1754	1810	1078									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	35196	1592	1622	1933	2228	1803	2003	1461	1492	1262	2755	1223	1567	1903	1886	1973	1928	1778	1803	1828	1156									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	154	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	1	1	1	5	3	6	1	7	2	1	1	3	2	2	5	0	1	2	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	1	0	4	1	4	1	0	6	0	0	1	2	2	1	1	0	0	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	106	7	7	7	3	5	2	7	1	6	7	7	5	6	6	2	7	6	5	3	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	3	2	1	2	2	0	2	1	0	0	0	1	1	4	0	2	1	2	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	1	0	1	1	0	1	0	1	1	0	2	1	1	0	2	0	1	1	0	1									
		0.04%	0.06%	0.00%	0.05%	0.04%	0.00%	0.05%	0.00%	0.07%	0.08%	0.00%	0.16%	0.06%	0.05%	0.00%	0.10%	0.00%	0.06%	0.06%	0.00%	0.09%									
