Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Усвятская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4209	2329	129	163	190	179	137	299	227	190	119	247									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4100	2255	130	160	185	160	135	300	225	190	115	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1538	900	17	68	71	85	43	106	79	61	42	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	652	155	84	38	39	68	37	43	25	42	20	101									
6	Число погашенных избирательных бюллетеней	1910	1200	29	54	75	7	55	151	121	87	53	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	652	155	84	38	39	68	37	43	25	42	20	101									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1538	900	17	68	71	85	43	106	79	61	42	66									
9	Число недействительных избирательных бюллетеней	18	11	1	0	0	0	0	2	3	0	1	0									
10	Число действительных избирательных бюллетеней	2172	1044	100	106	110	153	80	147	101	103	61	167									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	80	5	6	7	6	5	12	6	8	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	37	32	1	0	1	1	0	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	7	0	3	3	0	2	2	2	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	113	48	4	6	6	5	5	12	4	8	5	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	4	0	0	1	3	0	0	1	1	1	0									
		0.50%	0.38%	0.00%	0.00%	0.91%	1.96%	0.00%	0.00%	0.96%	0.97%	1.61%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	41	16	3	2	3	3	0	6	0	1	1	6									
		1.87%	1.52%	2.97%	1.89%	2.73%	1.96%	0.00%	4.03%	0.00%	0.97%	1.61%	3.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	19	3	5	2	2	1	1	1	1	0	2									
		1.69%	1.80%	2.97%	4.72%	1.82%	1.31%	1.25%	0.67%	0.96%	0.97%	0.00%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1190	537	59	65	63	95	29	75	60	68	34	105									
		54.34%	50.90%	58.42%	61.32%	57.27%	62.09%	36.25%	50.34%	57.69%	66.02%	54.84%	62.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	6	1	1	2	0	0	0	0	1	1	3									
		0.68%	0.57%	0.99%	0.94%	1.82%	0.00%	0.00%	0.00%	0.00%	0.97%	1.61%	1.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	1	0	0	0	0	0	1	0	0	0	0									
		0.09%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	275	132	11	13	14	15	13	19	15	9	10	24									
		12.56%	12.51%	10.89%	12.26%	12.73%	9.80%	16.25%	12.75%	14.42%	8.74%	16.13%	14.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	3	0	1	0	0	0	0	1	0	0	1									
		0.27%	0.28%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	4	1	0	0	0	0	0	0	1	0	0									
		0.27%	0.38%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	122	75	10	2	7	0	2	9	2	4	4	7									
		5.57%	7.11%	9.90%	1.89%	6.36%	0.00%	2.50%	6.04%	1.92%	3.88%	6.45%	4.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	314	192	11	10	13	12	16	19	10	10	9	12									
		14.34%	18.20%	10.89%	9.43%	11.82%	7.84%	20.00%	12.75%	9.62%	9.71%	14.52%	7.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	3	0	0	1	1	0	0	1	0	0	0									
		0.27%	0.28%	0.00%	0.00%	0.91%	0.65%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	147	52	1	7	4	22	19	17	10	7	1	7									
		6.71%	4.93%	0.99%	6.60%	3.64%	14.38%	23.75%	11.41%	9.62%	6.80%	1.61%	4.19%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
