Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590					
1	"Число избирателей, внесенных в списки избирателей"	85573	399	982	971	965	1538	1249	1357	263	1167	1221	1386	897	2771	1037	1541	2469	2525	1433	727	2302	1720	783	1162	1204	383	1145	1315	1364	1332	2119	2146	2188	2241	1335	1319	2516	1133	845	818	1818	887	2697	886	1769	612	606	220	430	293	2026	460	1150	1001	308	616	147	184	383	110	172	301	319	132	129	178	815	731	531	158	929	286	223	185	218	399	764	477	798	176	207	629	1432	588	231	178	624	100	137	420	748	412	566	155	354					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	85980	350	1000	1000	900	1500	1300	1350	300	1200	1200	1350	900	2700	1000	1550	2450	2500	1400	800	2300	1700	800	1000	1200	350	1100	1300	1350	1300	2100	2200	2250	2200	1300	1250	2500	1200	800	800	1850	900	2800	950	1650	550	600	230	470	280	2100	450	1200	1000	330	650	170	190	420	110	190	300	330	150	130	180	860	730	580	170	1000	300	240	200	230	400	800	540	840	190	230	640	1480	630	230	180	640	100	140	450	750	400	600	150	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58780	202	660	716	561	928	827	892	262	799	736	906	622	1729	692	1033	1644	1798	994	460	1595	1216	527	744	799	233	794	918	931	836	1533	1621	1647	1639	948	919	1911	573	558	585	1290	593	1772	472	1026	381	524	173	296	257	1576	368	930	778	239	448	37	94	235	63	120	262	253	71	93	119	493	435	235	77	669	158	159	150	89	240	633	301	618	81	182	517	1109	503	127	117	382	78	95	318	576	330	302	109	239					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5976	87	85	77	87	58	24	57	0	61	92	69	45	98	27	42	43	82	41	95	59	27	15	14	65	44	29	14	37	36	45	29	6	13	15	9	28	179	28	11	29	54	142	140	148	48	33	33	58	15	33	77	34	25	41	76	102	60	119	38	45	17	41	48	13	42	118	181	150	58	122	106	48	27	127	135	61	137	99	84	17	78	100	27	91	45	117	16	32	71	135	62	233	34	81					
6	Число погашенных избирательных бюллетеней	21224	61	255	207	252	514	449	401	38	340	372	375	233	873	281	475	763	620	365	245	646	457	258	242	336	73	277	368	382	428	522	550	597	548	337	322	561	448	214	204	531	253	886	338	476	121	43	24	116	8	491	5	236	197	50	126	31	36	66	9	25	21	36	31	24	19	249	114	195	35	209	36	33	23	14	25	106	102	123	25	31	45	271	100	12	18	141	6	13	61	39	8	65	7	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5975	87	85	77	87	58	24	57	0	61	92	69	45	98	27	42	43	82	41	95	59	27	15	14	65	44	29	14	37	36	45	29	6	13	15	9	28	179	28	11	29	54	141	140	148	48	33	33	58	15	33	77	34	25	41	76	102	60	119	38	45	17	41	48	13	42	118	181	150	58	122	106	48	27	127	135	61	137	99	84	17	78	100	27	91	45	117	16	32	71	135	62	233	34	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58777	202	660	716	561	928	827	892	262	799	736	906	622	1729	692	1033	1644	1798	994	460	1593	1216	527	744	799	233	794	918	931	836	1533	1621	1647	1639	948	919	1911	573	558	585	1290	592	1772	472	1026	381	524	173	296	257	1576	368	930	778	239	448	37	94	235	63	120	262	253	71	93	119	493	435	235	77	669	158	159	150	89	240	633	301	618	81	182	517	1109	503	127	117	382	78	95	318	576	330	302	109	239					
9	Число недействительных избирательных бюллетеней	716	1	10	7	1	10	7	7	4	10	9	11	14	20	6	10	12	17	11	5	10	12	7	6	11	2	9	10	14	1	13	24	17	22	6	17	23	4	7	6	13	4	17	6	9	4	4	0	1	2	14	30	12	5	8	2	12	0	1	0	2	1	0	0	4	2	4	10	4	1	9	0	1	0	20	38	12	0	4	1	1	3	15	2	0	1	0	0	1	5	37	0	1	0	0					
10	Число действительных избирательных бюллетеней	64036	288	735	786	647	976	844	942	258	850	819	964	653	1807	713	1065	1675	1863	1024	550	1642	1231	535	752	853	275	814	922	954	871	1565	1626	1636	1630	957	911	1916	748	579	590	1306	642	1896	606	1165	425	553	206	353	270	1595	415	952	798	272	522	127	154	353	101	163	278	294	119	102	159	607	606	381	134	782	264	206	177	196	337	682	438	713	164	198	592	1194	528	218	161	499	94	126	384	674	392	534	143	320					
