Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																					
Дата голосования: 04.12.2011																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в список избирателей"	81155	366	1031	872	870	1416	1102	1199	274	1153	1086	1240	818	2591	945	1336	2170	2290	1365	2098	1970	648	875	1006	1376	1228	1340	1223	1983	1345	2093	1215	2023	1951	2492	884	1315	782	838	1596	688	1163	1014	866	1673	1954	1069	940	319	464	758	631	207	470	307	610	148	172	415	105	171	304	331	160	118	169	801	783	545	165	947	290	203	191	232	411	721	128	399	470	767	165	229	659	1556	556	203	179	641	100	697	401	581	147	357					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84205	370	1050	900	890	1330	1190	1280	300	1190	1140	1310	840	2640	1000	1400	2240	2330	1430	2150	1990	670	930	1040	1390	1270	1360	1270	2070	2000	2140	1280	2100	2000	2550	890	1350	790	860	1670	710	1230	1120	880	1750	2040	1100	960	335	470	830	630	205	485	305	660	155	175	400	100	175	300	340	160	120	190	830	780	550	160	965	310	205	205	235	420	750	130	410	480	800	170	230	650	1530	560	210	180	650	95	750	415	600	150	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54465	135	664	631	424	867	739	780	274	653	599	814	565	1417	574	858	1349	1522	863	1480	1242	435	575	628	885	814	1120	747	1368	1303	1444	835	1367	1327	1716	445	812	430	576	1109	390	790	548	383	976	1570	698	818	204	398	431	583	149	263	231	485	47	83	263	62	142	274	248	122	86	110	600	652	284	96	590	172	156	162	121	254	591	96	318	293	587	83	165	573	1182	492	126	136	401	69	496	309	375	98	248					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6731	124	113	77	112	79	41	83	0	54	139	70	42	72	43	82	59	85	38	185	32	42	68	100	76	26	51	49	66	42	27	13	32	18	29	120	159	60	24	44	80	60	153	132	174	57	34	29	58	56	85	36	46	150	49	99	97	74	113	31	25	12	43	34	12	27	97	91	180	60	110	112	45	25	99	142	49	25	56	130	105	75	45	64	128	27	70	40	131	26	117	57	175	37	71					
6	Число погашенных избирательных бюллетеней	23009	111	273	192	354	384	410	417	26	483	402	426	233	1151	383	460	832	723	529	485	716	193	287	312	429	430	189	474	636	655	669	432	701	655	805	325	379	300	260	517	240	380	419	365	600	413	368	113	73	16	314	11	10	72	25	76	11	18	24	7	8	14	49	4	22	53	133	37	86	4	265	26	4	18	15	24	110	9	36	57	108	12	20	13	220	41	14	4	118	0	137	49	50	15	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6731	124	113	77	112	79	41	83	0	54	139	70	42	72	43	82	59	85	38	185	32	42	68	100	76	26	51	49	66	42	27	13	32	18	29	120	159	60	24	44	80	60	153	132	174	57	34	29	58	56	85	36	46	150	49	99	97	74	113	31	25	12	43	34	12	27	97	91	180	60	110	112	45	25	99	142	49	25	56	130	105	75	45	64	128	27	70	40	131	26	117	57	175	37	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54465	135	664	631	424	867	739	780	274	653	599	814	565	1417	574	858	1349	1522	863	1480	1242	435	575	628	885	814	1120	747	1368	1303	1444	835	1367	1327	1716	445	812	430	576	1109	390	790	548	383	976	1570	698	818	204	398	431	583	149	263	231	485	47	83	263	62	142	274	248	122	86	110	600	652	284	96	590	172	156	162	121	254	591	96	318	293	587	83	165	573	1182	492	126	136	401	69	496	309	375	98	248					
9	Число недействительных избирательных бюллетеней	1236	1	84	12	10	24	12	15	1	21	12	9	22	28	11	48	13	18	18	18	21	7	4	18	13	7	8	2	13	22	24	14	25	21	29	4	8	15	11	17	7	22	16	3	9	18	13	19	5	33	4	5	3	16	5	6	0	1	0	0	0	0	0	0	1	3	4	99	1	0	14	0	7	15	0	0	8	0	17	21	0	1	3	2	145	32	0	0	4	0	2	5	3	0	4					
10	Число действительных избирательных бюллетеней	59960	258	693	696	526	922	768	848	273	686	726	875	585	1461	606	892	1395	1589	883	1647	1253	470	639	710	948	833	1163	794	1421	1323	1447	834	1374	1324	1716	561	963	475	589	1136	463	828	685	512	1141	1609	719	828	257	421	512	614	192	397	275	578	144	156	376	93	167	286	291	156	97	134	693	644	463	156	686	284	194	172	220	396	632	121	357	402	692	157	207	635	1165	487	196	176	528	95	611	361	547	135	315					
