Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Новоульяновская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736					
1	"Число избирателей, внесенных в список избирателей"	15925	2192	2438	2334	2065	2390	280	841	564	69	2194	558					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15830	2200	2400	2300	2000	2400	280	800	570	80	2200	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8173	1120	1285	1183	1040	1318	114	398	326	41	1009	339					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	568	78	77	43	68	51	14	39	30	13	116	39					
6	Число погашенных избирательных бюллетеней	7089	1002	1038	1074	892	1031	152	363	214	26	1075	222					
7	Число избирательных бюллетеней в переносных ящиках для голосования	568	78	77	43	68	51	14	39	30	13	116	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8172	1120	1285	1183	1040	1317	114	398	326	41	1009	339					
9	Число недействительных избирательных бюллетеней	148	19	20	20	20	21	4	8	13	0	19	4					
10	Число действительных избирательных бюллетеней	8592	1179	1342	1206	1088	1347	124	429	343	54	1106	374					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	384	40	40	40	40	40	15	25	34	10	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	235	28	23	18	15	14	3	6	28	10	43	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	8	19	9	11	13	3	6	3	3	22	5					
14	Число погашенных неиспользованных открепительных удостоверений	149	12	17	22	25	26	12	19	6	0	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	2	4	3	1	0	0	0	0	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1538	221	223	209	236	253	25	92	44	1	171	63					
		17.60%	18.45%	16.37%	17.05%	21.30%	18.49%	19.53%	21.05%	12.36%	1.85%	15.20%	16.67%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1521	208	244	246	200	236	23	77	38	8	154	87					
		17.40%	17.36%	17.91%	20.07%	18.05%	17.25%	17.97%	17.62%	10.67%	14.81%	13.69%	23.02%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	6	13	9	7	17	1	4	3	0	9	5					
		0.85%	0.50%	0.95%	0.73%	0.63%	1.24%	0.78%	0.92%	0.84%	0.00%	0.80%	1.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2152	349	402	278	262	340	24	111	54	9	268	55					
		24.62%	29.13%	29.52%	22.68%	23.65%	24.85%	18.75%	25.40%	15.17%	16.67%	23.82%	14.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	130	20	22	20	21	22	0	10	2	0	13	0					
		1.49%	1.67%	1.62%	1.63%	1.90%	1.61%	0.00%	2.29%	0.56%	0.00%	1.16%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3141	370	432	434	358	476	50	134	199	36	489	163					
		35.94%	30.88%	31.72%	35.40%	32.31%	34.80%	39.06%	30.66%	55.90%	66.67%	43.47%	43.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	5	6	10	4	3	1	1	3	0	2	1					
		0.41%	0.42%	0.44%	0.82%	0.36%	0.22%	0.78%	0.23%	0.84%	0.00%	0.18%	0.26%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
