Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Новоульяновская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650					
1	"Число избирателей, внесенных в списки избирателей"	16144	2023	2256	2394	2077	2875	276	804	525	84	2261	569					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14439	1800	2000	2100	1900	2500	250	750	500	89	2000	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10205	1346	1505	1501	1265	1895	136	440	404	50	1267	396					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	624	75	86	73	84	101	15	43	28	12	84	23					
6	Число погашенных избирательных бюллетеней	3610	379	409	526	551	504	99	267	68	27	649	131					
7	Число избирательных бюллетеней в переносных ящиках для голосования	624	75	86	73	84	101	15	43	28	12	84	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10197	1346	1504	1500	1263	1892	136	440	404	50	1266	396					
9	Число недействительных избирательных бюллетеней	104	7	19	12	22	13	1	7	3	2	16	2					
10	Число действительных избирательных бюллетеней	10717	1414	1571	1561	1325	1980	150	476	429	60	1334	417					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	397	40	50	30	35	35	5	20	50	7	80	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	244	23	17	14	13	22	4	4	47	5	65	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	67	5	5	6	2	10	6	1	6	0	20	6					
14	Число погашенных неиспользованных открепительных удостоверений	153	17	33	16	22	13	1	16	3	2	15	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	154	8	34	22	17	32	2	6	10	1	17	5					
		1.42%	0.56%	2.14%	1.40%	1.26%	1.61%	1.32%	1.24%	2.31%	1.61%	1.26%	1.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	58	13	9	7	13	10	0	2	0	0	3	1					
		0.54%	0.91%	0.57%	0.45%	0.97%	0.50%	0.00%	0.41%	0.00%	0.00%	0.22%	0.24%					
20	3.Политическая партия «Демократическая партия России»	12	3	3	3	1	0	0	1	0	0	1	0					
		0.11%	0.21%	0.19%	0.19%	0.07%	0.00%	0.00%	0.21%	0.00%	0.00%	0.07%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1020	179	201	132	130	155	9	59	23	3	108	21					
		9.43%	12.60%	12.64%	8.39%	9.65%	7.78%	5.96%	12.22%	5.32%	4.84%	8.00%	5.01%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	36	3	5	9	8	7	1	0	1	0	2	0					
		0.33%	0.21%	0.31%	0.57%	0.59%	0.35%	0.66%	0.00%	0.23%	0.00%	0.15%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	3	5	1	2	0	3	2	0	0	0					
		0.15%	0.00%	0.19%	0.32%	0.07%	0.10%	0.00%	0.62%	0.46%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1113	136	143	207	126	204	20	46	32	5	136	58					
		10.29%	9.57%	8.99%	13.16%	9.35%	10.24%	13.25%	9.52%	7.41%	8.06%	10.07%	13.84%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1120	175	185	126	181	251	12	42	17	1	112	18					
		10.35%	12.32%	11.64%	8.01%	13.44%	12.59%	7.95%	8.70%	3.94%	1.61%	8.30%	4.30%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	86	15	16	13	5	16	1	6	3	0	10	1					
		0.79%	1.06%	1.01%	0.83%	0.37%	0.80%	0.66%	1.24%	0.69%	0.00%	0.74%	0.24%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7042	865	964	1032	841	1289	104	308	340	49	937	313					
		65.08%	60.87%	60.63%	65.61%	62.44%	64.68%	68.87%	63.77%	78.70%	79.03%	69.41%	74.70%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	60	17	8	5	2	14	1	3	1	1	8	0					
		0.55%	1.20%	0.50%	0.32%	0.15%	0.70%	0.66%	0.62%	0.23%	1.61%	0.59%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
