Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Пермь, Мотовилихинская"																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274					
1	"Число избирателей, внесенных в список избирателей"	142175	2270	1937	1219	1575	2034	1366	1084	1738	1182	1274	1520	2265	1660	2006	2120	1655	2773	2395	2044	2704	2677	1778	1837	2069	2390	2043	2728	2525	2994	2699	2663	2826	2608	2385	2521	1427	2116	428	994	1871	2058	1555	1407	1127	2021	1550	2363	2464	2641	2062	1077	1372	1280	2431	2449	2345	1769	1923	1338	2122	2286	1180	1001	2628	2843	2375	2373	2477	2573	2208	2158	144	69	106					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	123500	2000	1700	1000	1400	1800	1200	900	1500	1000	1100	1300	2000	1450	1700	1800	1400	2400	2100	1800	2300	2400	1500	1600	1800	2100	1800	2300	2200	2500	2400	2300	2500	2300	2100	2200	1200	1800	350	850	1600	1800	1300	1200	1000	1800	1300	2000	2200	2300	1800	1000	1200	1100	2100	2100	2000	1500	1600	1200	1800	2000	1000	750	2300	2500	2100	2100	2200	2300	1900	1900	200	150	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	62530	992	883	610	740	1001	583	486	796	575	500	713	787	750	975	874	642	1285	1064	967	1326	1306	924	886	949	1129	880	1274	1205	1481	1283	1272	1392	1266	1096	1229	596	963	204	336	731	803	629	449	455	996	698	1060	903	1261	890	401	456	300	980	1097	1104	732	611	410	885	744	451	241	1234	1486	1061	1053	954	1111	1013	859	120	59	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2503	41	87	35	24	27	19	18	41	26	21	23	10	37	50	31	26	39	43	28	47	44	27	44	29	41	17	37	42	23	45	22	30	31	32	29	38	36	26	10	33	41	28	9	12	13	25	78	33	31	44	54	106	8	11	31	11	18	15	66	31	71	32	142	23	24	45	39	51	20	23	13	24	10	12					
6	Число погашенных избирательных бюллетеней	58465	967	730	355	636	772	598	396	662	399	579	564	1203	663	675	895	732	1076	993	805	927	1050	549	670	822	930	903	989	953	996	1072	1006	1078	1003	972	942	566	801	120	504	836	956	643	742	533	791	576	862	1264	1008	866	545	638	792	1109	972	885	750	974	724	884	1185	517	367	1043	990	994	1008	1195	1169	864	1028	56	81	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2504	41	87	35	24	27	19	18	41	26	21	23	10	37	50	31	26	39	43	28	47	44	27	44	29	41	17	37	42	23	45	22	30	31	32	29	38	36	26	10	33	41	28	9	12	13	25	78	33	31	44	54	106	8	11	31	11	18	15	66	31	71	32	143	23	24	45	39	51	20	23	13	24	10	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62424	990	883	610	736	998	583	486	796	575	500	713	787	748	972	872	594	1285	1063	961	1322	1305	921	886	948	1129	880	1274	1205	1481	1283	1272	1392	1266	1093	1224	596	960	204	336	731	800	629	449	455	996	698	1060	903	1261	887	401	456	300	980	1094	1102	732	611	410	885	744	451	240	1234	1484	1061	1053	954	1111	1013	858	120	59	73					
9	Число недействительных избирательных бюллетеней	1713	26	22	18	16	22	12	7	19	19	15	13	14	18	11	32	22	35	35	29	34	26	21	38	24	21	29	32	16	26	24	29	28	19	30	33	12	29	4	9	17	22	16	15	9	26	29	26	35	16	27	8	17	13	17	28	28	18	19	11	39	19	10	135	17	33	32	48	24	32	34	20	2	1	1					
10	Число действительных избирательных бюллетеней	63215	1005	948	627	744	1003	590	497	818	582	506	723	783	767	1011	871	598	1289	1071	960	1335	1323	927	892	953	1149	868	1279	1231	1478	1304	1265	1394	1278	1095	1220	622	967	226	337	747	819	641	443	458	983	694	1112	901	1276	904	447	545	295	974	1097	1085	732	607	465	877	796	473	248	1240	1475	1074	1044	981	1099	1002	851	142	68	84					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2769	40	30	22	30	40	25	25	30	25	30	40	38	30	40	30	30	60	50	50	60	65	32	30	33	35	32	50	50	60	60	55	80	65	45	45	20	50	10	20	30	40	30	20	20	40	35	40	50	52	40	30	50	30	50	40	40	30	40	20	30	40	20	25	70	50	40	40	40	40	40	45	0	0	0					
