Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Воротынская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13743	1142	852	643	829	1321	612	830	146	146	375	174	101	146	318	408	514	153	173	819	325	214	320	293	284	688	441	173	828	475									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14645	1190	860	580	850	1340	610	810	145	115	460	190	100	315	330	445	540	195	165	910	320	200	360	325	300	730	500	190	995	575									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6727	511	539	258	317	915	244	385	99	96	231	93	43	93	189	227	213	68	87	377	124	96	122	120	129	330	161	83	340	237									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1414	8	25	79	8	41	47	130	11	14	27	34	9	53	56	53	96	28	26	91	98	54	34	40	36	118	54	39	36	69									
6	Число погашенных избирательных бюллетеней	6500	671	292	243	525	384	319	295	35	5	202	63	48	169	85	165	231	99	52	442	98	50	204	165	135	282	285	68	619	269									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1414	8	25	79	8	41	47	130	11	14	27	34	9	53	56	53	96	28	26	91	98	54	34	40	36	118	54	39	36	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6723	511	535	258	317	915	244	385	99	96	231	93	43	93	189	227	213	68	87	377	124	96	122	120	129	330	161	83	340	237									
9	Число недействительных избирательных бюллетеней	139	17	1	2	9	17	7	5	1	4	8	1	2	1	2	4	3	2	0	15	4	0	2	4	7	4	5	2	6	4									
10	Число действительных избирательных бюллетеней	7998	502	559	335	316	939	284	510	109	106	250	126	50	145	243	276	306	94	113	453	218	150	154	156	158	444	210	120	370	302									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	167	25	6	8	12	24	7	10	2	2	3	2	2	2	5	5	5	2	2	10	2	2	3	2	5	5	3	3	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	25	5	6	6	12	4	1	1	2	0	0	0	1	3	1	4	1	0	2	0	0	1	0	0	0	2	2	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	22	5	6	2	3	10	5	2	7	2	1	3	0	11	5	7	3	6	3	1	2	2	3	5	1	4	1	6	8									
14	Число погашенных неиспользованных открепительных удостоверений	83	0	1	2	6	12	3	9	1	0	3	2	2	1	2	4	1	1	2	8	2	2	2	2	5	5	1	1	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	4	2	1	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	8	8	4	7	11	4	8	1	3	2	2	0	5	1	3	4	1	1	5	0	1	6	1	2	1	5	1	10	2									
		1.31%	1.54%	1.43%	1.19%	2.15%	1.15%	1.37%	1.55%	0.91%	2.73%	0.78%	1.57%	0.00%	3.42%	0.41%	1.07%	1.29%	1.04%	0.88%	1.07%	0.00%	0.67%	3.85%	0.63%	1.21%	0.22%	2.33%	0.82%	2.66%	0.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	270	25	8	9	11	22	23	20	2	2	4	1	2	4	11	15	3	5	3	31	5	6	4	7	6	9	5	1	16	10									
		3.32%	4.82%	1.43%	2.67%	3.38%	2.30%	7.90%	3.88%	1.82%	1.82%	1.55%	0.79%	3.85%	2.74%	4.49%	5.36%	0.97%	5.21%	2.65%	6.62%	2.25%	4.00%	2.56%	4.38%	3.64%	2.01%	2.33%	0.82%	4.26%	3.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	166	5	0	9	7	16	9	20	0	0	9	2	2	5	4	3	7	2	5	11	0	6	7	4	3	5	7	1	8	9									
		2.04%	0.96%	0.00%	2.67%	2.15%	1.67%	3.09%	3.88%	0.00%	0.00%	3.49%	1.57%	3.85%	3.42%	1.63%	1.07%	2.27%	2.08%	4.42%	2.35%	0.00%	4.00%	4.49%	2.50%	1.82%	1.12%	3.26%	0.82%	2.13%	2.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4924	289	440	183	136	661	136	286	79	68	140	84	30	64	166	184	178	53	79	277	165	100	72	91	88	332	114	69	198	162									
		60.51%	55.68%	78.57%	54.30%	41.85%	69.14%	46.74%	55.53%	71.82%	61.82%	54.26%	66.14%	57.69%	43.84%	67.76%	65.71%	57.61%	55.21%	69.91%	59.19%	74.32%	66.67%	46.15%	56.88%	53.33%	74.11%	53.02%	56.56%	52.66%	52.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	3	0	3	1	1	2	4	0	0	0	0	0	0	1	0	2	0	1	2	1	1	0	0	2	3	1	0	2	0									
		0.37%	0.58%	0.00%	0.89%	0.31%	0.10%	0.69%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.65%	0.00%	0.88%	0.43%	0.45%	0.67%	0.00%	0.00%	1.21%	0.67%	0.47%	0.00%	0.53%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.65%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	977	70	38	51	57	96	37	64	13	8	45	13	3	35	30	18	40	11	9	64	20	14	22	15	17	40	32	10	68	37									
		12.01%	13.49%	6.79%	15.13%	17.54%	10.04%	12.71%	12.43%	11.82%	7.27%	17.44%	10.24%	5.77%	23.97%	12.24%	6.43%	12.94%	11.46%	7.96%	13.68%	9.01%	9.33%	14.10%	9.38%	10.30%	8.93%	14.88%	8.20%	18.09%	12.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	3	4	4	2	2	1	2	0	0	0	0	0	1	1	0	1	0	0	3	1	1	0	0	0	1	1	0	3	2									
		0.41%	0.58%	0.71%	1.19%	0.62%	0.21%	0.34%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.41%	0.00%	0.32%	0.00%	0.00%	0.64%	0.45%	0.67%	0.00%	0.00%	0.00%	0.22%	0.47%	0.00%	0.80%	0.65%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	5	2	1	3	7	0	5	0	1	1	0	0	3	0	0	2	1	0	0	0	0	1	0	2	0	0	0	2	2									
		0.47%	0.96%	0.36%	0.30%	0.92%	0.73%	0.00%	0.97%	0.00%	0.91%	0.39%	0.00%	0.00%	2.05%	0.00%	0.00%	0.65%	1.04%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	1.21%	0.00%	0.00%	0.00%	0.53%	0.65%									
