Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    район Западное Дегунино																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №3643									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54250	2573	2426	2568	2605	2537	2622	117	2788	2797	2788	2658	2745	2861	2516	2767	2688	2787	2324	2045	2076	2387	2287	288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43850	2000	2000	2000	2000	2000	2000	130	2200	2200	2200	2000	2200	2500	2000	2200	2200	2500	2000	1600	1600	2000	1900	420									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16536	856	757	833	752	819	764	59	930	825	876	743	831	916	721	844	802	770	733	692	491	642	647	233									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	874	39	43	40	47	40	38	58	58	68	51	30	64	37	11	43	92	34	21	21	14	9	16	0									
6	Число погашенных избирательных бюллетеней	26440	1105	1200	1127	1201	1141	1198	13	1212	1307	1273	1227	1305	1547	1268	1313	1306	1696	1246	887	1095	1349	1237	187									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	874	39	43	40	47	40	38	58	58	68	51	30	64	37	11	43	92	34	21	21	14	9	16	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16520	854	757	833	752	819	764	59	929	825	875	743	831	916	721	842	798	765	733	692	491	642	647	232									
9	Число недействительных избирательных бюллетеней	371	14	22	14	19	19	12	0	16	21	22	18	19	19	13	13	19	15	20	18	16	17	18	7									
10	Число действительных избирательных бюллетеней	17023	879	778	859	780	840	790	117	971	872	904	755	876	934	719	872	871	784	734	695	489	634	645	225									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	525	25	25	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	308	17	13	25	14	20	17	0	22	15	11	8	15	17	10	11	16	25	15	10	6	13	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	385	44	40	22	3	24	9	0	73	18	6	14	16	16	6	3	16	12	14	5	10	18	10	6									
14	Число погашенных неиспользованных открепительных удостоверений	217	8	12	0	11	5	8	0	3	10	14	17	10	8	15	14	9	0	10	15	19	12	17	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	4	2	3	3	7	1	0	3	1	3	1	4	3	3	2	3	2	4	1	0	2	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	538	31	19	29	32	34	25	2	34	22	30	25	24	34	20	37	28	21	22	23	17	11	14	4									
		3.09%	3.47%	2.38%	3.32%	4.01%	3.96%	3.12%	1.71%	3.44%	2.46%	3.24%	3.23%	2.68%	3.57%	2.73%	4.18%	3.15%	2.63%	2.92%	3.23%	3.37%	1.69%	2.11%	1.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	295	24	8	19	13	10	9	0	23	12	13	7	13	32	5	8	14	16	14	15	9	16	10	5									
		1.70%	2.69%	1.00%	2.18%	1.63%	1.16%	1.12%	0.00%	2.33%	1.34%	1.40%	0.91%	1.45%	3.36%	0.68%	0.90%	1.57%	2.00%	1.86%	2.10%	1.78%	2.46%	1.51%	2.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	512	24	16	27	32	26	23	0	28	23	27	25	33	27	24	29	28	25	19	23	10	11	23	9									
		2.94%	2.69%	2.00%	3.09%	4.01%	3.03%	2.87%	0.00%	2.84%	2.58%	2.92%	3.23%	3.69%	2.83%	3.28%	3.28%	3.15%	3.13%	2.52%	3.23%	1.98%	1.69%	3.47%	3.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6543	333	291	334	292	286	305	114	393	373	298	291	330	309	255	321	324	279	282	287	177	263	261	145									
		37.62%	37.29%	36.38%	38.26%	36.55%	33.29%	38.03%	97.44%	39.82%	41.77%	32.18%	37.65%	36.87%	32.42%	34.84%	36.27%	36.40%	34.92%	37.40%	40.25%	35.05%	40.40%	39.37%	62.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	259	10	13	15	6	23	8	0	13	13	20	8	13	18	8	19	18	9	12	14	3	8	4	4									
		1.49%	1.12%	1.63%	1.72%	0.75%	2.68%	0.99%	0.00%	1.32%	1.46%	2.16%	1.03%	1.45%	1.89%	1.09%	2.15%	2.02%	1.13%	1.59%	1.96%	0.59%	1.23%	0.60%	1.72%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	3	5	5	1	0	3	0	1	2	2	6	1	2	1	3	3	3	1	3	0	0	2	2									
		0.28%	0.34%	0.63%	0.57%	0.13%	0.00%	0.37%	0.00%	0.10%	0.22%	0.22%	0.78%	0.11%	0.21%	0.14%	0.34%	0.34%	0.38%	0.13%	0.42%	0.00%	0.00%	0.30%	0.86%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2697	139	118	109	114	122	121	0	140	138	157	135	137	125	119	121	145	147	117	112	108	126	123	24									
		15.51%	15.57%	14.75%	12.49%	14.27%	14.20%	15.09%	0.00%	14.18%	15.45%	16.95%	17.46%	15.31%	13.12%	16.26%	13.67%	16.29%	18.40%	15.52%	15.71%	21.39%	19.35%	18.55%	10.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	348	19	13	18	12	22	21	0	29	14	25	11	21	24	15	16	8	11	25	9	7	11	14	3									
		2.00%	2.13%	1.63%	2.06%	1.50%	2.56%	2.62%	0.00%	2.94%	1.57%	2.70%	1.42%	2.35%	2.52%	2.05%	1.81%	0.90%	1.38%	3.32%	1.26%	1.39%	1.69%	2.11%	1.29%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	513	20	24	20	22	29	22	0	27	22	49	29	23	48	21	34	23	17	24	22	6	17	13	1									
		2.95%	2.24%	3.00%	2.29%	2.75%	3.38%	2.74%	0.00%	2.74%	2.46%	5.29%	3.75%	2.57%	5.04%	2.87%	3.84%	2.58%	2.13%	3.18%	3.09%	1.19%	2.61%	1.96%	0.43%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	1	1	1	2	2	3	0	1	0	2	1	5	6	2	1	0	2	3	1	1	2	0	0									
		0.21%	0.11%	0.13%	0.11%	0.25%	0.23%	0.37%	0.00%	0.10%	0.00%	0.22%	0.13%	0.56%	0.63%	0.27%	0.11%	0.00%	0.25%	0.40%	0.14%	0.20%	0.31%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1137	43	70	41	57	63	50	1	79	47	64	64	62	75	52	68	66	38	63	49	23	27	34	1									
		6.54%	4.82%	8.75%	4.70%	7.13%	7.33%	6.23%	0.85%	8.00%	5.26%	6.91%	8.28%	6.93%	7.87%	7.10%	7.68%	7.42%	4.76%	8.36%	6.87%	4.55%	4.15%	5.13%	0.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2379	136	97	124	98	130	105	0	132	129	124	86	112	131	127	125	122	123	95	88	89	85	103	18									
		13.68%	15.23%	12.13%	14.20%	12.27%	15.13%	13.09%	0.00%	13.37%	14.45%	13.39%	11.13%	12.51%	13.75%	17.35%	14.12%	13.71%	15.39%	12.60%	12.34%	17.62%	13.06%	15.54%	7.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	4	4	6	5	1	6	0	1	4	7	3	8	6	3	7	4	4	2	2	1	4	5	2									
		0.51%	0.45%	0.50%	0.69%	0.63%	0.12%	0.75%	0.00%	0.10%	0.45%	0.76%	0.39%	0.89%	0.63%	0.41%	0.79%	0.45%	0.50%	0.27%	0.28%	0.20%	0.61%	0.75%	0.86%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1627	92	99	111	94	92	89	0	70	73	86	64	94	97	67	83	88	89	55	47	38	53	39	7									
		9.35%	10.30%	12.38%	12.71%	11.76%	10.71%	11.10%	0.00%	7.09%	8.17%	9.29%	8.28%	10.50%	10.18%	9.15%	9.38%	9.89%	11.14%	7.29%	6.59%	7.52%	8.14%	5.88%	3.02%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
