Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Партизанская городская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789					
1	"Число избирателей, внесенных в список избирателей"	40869	839	1195	1226	642	916	1091	1091	681	1742	1538	1738	996	1810	1012	933	1822	1615	736	986	1337	1859	1264	782	1349	1200	330	152	1614	1179	748	888	124	1286	900	1093	194	74	206	93	273	1178	137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39320	800	1100	1200	600	900	1000	1000	650	1700	1500	1700	950	1800	1000	900	1800	1600	700	950	1300	1800	1250	750	1300	1200	300	150	1500	1100	700	850	118	1200	850	1100	188	69	187	79	259	1100	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17453	405	636	554	264	401	398	449	382	809	771	738	413	661	403	393	880	783	400	338	416	761	520	315	548	552	113	82	647	470	289	364	89	653	321	507	77	36	88	39	121	367	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1229	6	16	47	32	17	27	43	11	32	30	38	63	31	9	17	44	44	13	54	25	14	33	8	29	31	12	13	62	28	33	44	0	32	33	74	6	7	10	17	24	29	91					
6	Число погашенных избирательных бюллетеней	20638	389	448	599	304	482	575	508	257	859	699	924	474	1108	588	490	876	773	287	558	859	1025	697	427	723	617	175	55	791	602	378	442	29	515	496	519	105	26	89	23	114	704	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1229	6	16	47	32	17	27	43	11	32	30	38	63	31	9	17	44	44	13	54	25	14	33	8	29	31	12	13	62	28	33	44	0	32	33	74	6	7	10	17	24	29	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17453	405	636	554	264	401	398	449	382	809	771	738	413	661	403	393	880	783	400	338	416	761	520	315	548	552	113	82	647	470	289	364	89	653	321	507	77	36	88	39	121	367	0					
9	Число недействительных избирательных бюллетеней	483	9	13	11	19	9	11	2	7	18	21	22	13	16	14	12	4	19	9	10	19	14	15	9	11	18	15	2	24	15	8	13	0	25	13	8	3	1	0	0	3	8	20					
10	Число действительных избирательных бюллетеней	18199	402	639	590	277	409	414	490	386	823	780	754	463	676	398	398	920	808	404	382	422	761	538	314	566	565	110	93	685	483	314	395	89	660	341	573	80	42	98	56	142	388	71					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	796	20	20	20	10	17	15	15	15	30	30	30	25	30	15	25	28	30	30	15	15	30	25	20	20	25	5	5	25	25	15	25	5	30	25	25	10	5	10	6	10	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	393	16	10	10	4	16	9	7	10	28	17	24	8	20	7	9	24	26	6	4	11	27	14	3	6	9	3	0	9	8	3	5	0	14	4	13	0	0	0	0	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	279	10	8	6	17	3	3	3	9	7	6	12	7	6	2	4	11	15	6	4	12	13	5	4	0	7	3	26	5	3	9	2	3	3	2	6	4	2	8	8	11	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	403	4	10	10	6	1	6	8	5	2	13	6	17	10	8	16	4	4	24	11	4	3	11	17	14	16	2	5	16	17	12	20	5	16	21	12	10	5	10	6	6	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
