Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Учалинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в список"	52921	283	179	380	215	563	387	1747	244	346	369	525	1331	160	215	194	822	202	198	163	494	447	373	571	195	243	97	1686	413	466	223	518	645	355	736	246	594	706	449	425	858	964	156	579	398	601	200	402	426	419	526	324	152	96	282	549	233	102	105	101	148	1750	1765	2011	1865	1681	1800	1664	2055	1866	1825	1793	1876	1750	1003	550	1641					
2	Число полученных избирательных бюллетеней	52814	284	180	400	218	566	396	1700	244	345	369	565	1300	160	218	193	821	209	203	171	495	450	370	556	192	240	100	1946	410	453	230	515	640	347	739	240	580	710	438	428	849	1000	156	615	385	568	200	406	431	420	525	320	151	102	282	547	226	101	108	95	144	1750	1700	1800	1762	1686	1824	1680	2000	1891	1740	1775	1880	1750	1174	550	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40646	263	152	342	201	556	259	1053	240	312	337	484	1014	158	207	188	723	192	155	156	429	402	324	428	191	232	97	1582	386	395	217	475	506	324	650	228	482	591	407	359	768	752	142	566	358	489	179	362	387	389	418	215	138	96	278	464	197	93	85	94	130	1504	1480	1234	1149	1041	1227	1080	1387	1220	1307	1124	1193	1477	674	374	878					
5	"Число избирательных бюллетеней, выданных вне помещения"	1702	14	16	23	14	7	43	76	0	9	5	41	57	0	0	0	24	7	9	3	29	19	13	24	0	6	0	104	14	40	6	18	43	11	30	3	24	19	7	22	13	59	10	13	21	26	2	17	11	0	13	25	8	0	0	20	15	7	5	0	9	30	84	26	28	33	19	43	54	71	24	28	32	36	66	9	65					
6	Число погашенных избирательных бюллетеней	10466	7	12	35	3	3	94	571	4	24	27	40	229	2	11	5	74	10	39	12	37	29	33	104	1	2	3	260	10	18	7	22	91	12	59	9	74	100	24	47	68	189	4	36	6	53	19	27	33	31	94	80	5	6	4	63	14	1	18	1	5	216	136	540	585	612	578	557	559	600	409	623	655	237	434	167	657					
7	Число избирательных бюллетеней в переносных ящиках	1702	14	16	23	14	7	43	76	0	9	5	41	57	0	0	0	24	7	9	3	29	19	13	24	0	6	0	104	14	40	6	18	43	11	30	3	24	19	7	22	13	59	10	13	21	26	2	17	11	0	13	25	8	0	0	20	15	7	5	0	9	30	84	26	28	33	19	43	54	71	24	28	32	36	66	9	65					
8	Число бюллетеней в стационарных ящиках для голосования	40614	263	152	338	201	556	259	1053	240	312	337	484	1014	158	207	188	723	192	155	156	429	402	324	428	191	232	97	1582	386	395	217	475	506	324	650	228	482	591	407	359	768	752	142	566	358	489	179	362	387	389	418	215	138	96	278	464	197	93	85	94	130	1504	1480	1234	1149	1041	1227	1080	1387	1220	1283	1123	1193	1477	674	374	875					
9	Число недействительных избирательных бюллетеней	429	0	2	2	11	0	8	13	2	2	1	1	11	0	0	2	9	3	2	0	6	1	1	3	0	2	2	18	6	2	0	33	4	3	4	3	4	7	0	3	12	8	2	8	1	2	6	6	3	3	5	2	1	2	2	4	8	0	5	0	1	20	14	8	20	5	10	17	5	10	9	5	11	30	6	2	5					
10	Число действительных избирательных бюллетеней	41887	277	166	359	204	563	294	1116	238	319	341	524	1060	158	207	186	738	196	162	159	452	420	336	449	191	236	95	1668	394	433	223	460	545	332	676	228	502	603	414	378	769	803	150	571	378	513	175	373	395	386	426	238	145	94	276	480	204	100	85	94	138	1514	1550	1252	1157	1069	1236	1106	1436	1281	1298	1146	1214	1483	734	381	935					
11	Число полученных открепительных  удостоверений	589	3	3	3	3	3	3	18	3	3	3	3	13	3	6	3	13	3	3	4	8	3	3	3	3	3	3	7	0	7	3	5	7	7	9	3	7	0	3	8	3	23	2	15	6	5	5	5	5	10	7	5	5	5	5	5	5	5	5	5	5	22	30	17	15	19	20	12	17	15	15	19	15	12	15	7	15					
12	Число выданных открепительных удостоверений	425	1	1	1	0	1	0	16	0	2	3	3	13	0	4	1	0	3	2	4	7	3	1	3	2	1	1	4	0	4	1	4	6	2	9	0	6	0	0	8	3	22	0	15	6	1	5	3	5	5	7	3	2	0	0	2	0	0	4	1	2	22	29	17	10	19	17	10	16	12	12	17	12	11	7	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	271	0	4	4	1	2	1	7	2	1	4	2	3	1	0	1	1	1	3	2	5	0	1	3	1	0	2	7	7	2	2	1	1	5	3	1	6	1	4	2	2	1	2	3	7	1	1	8	4	1	4	3	2	1	0	3	3	3	2	5	2	22	18	4	8	3	3	8	8	7	6	3	8	4	3	4	10					
14	Число неиспользованных открепительных удостоверений	164	2	2	2	3	2	3	2	3	1	0	0	0	3	2	2	13	0	1	0	1	0	2	0	1	2	2	3	0	3	2	1	1	5	0	3	1	0	3	0	0	1	2	0	0	4	0	2	0	5	0	2	3	5	5	3	5	5	1	4	3	0	1	0	5	0	3	2	1	3	3	2	3	1	8	1	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	780	3	2	4	2	4	11	31	4	2	2	1	13	2	0	0	11	1	8	0	5	10	5	4	9	5	2	9	2	7	1	4	2	4	8	3	12	8	1	0	8	11	3	14	0	2	0	8	10	0	7	3	1	0	0	3	2	0	2	3	0	50	37	35	16	25	26	41	34	43	23	18	48	40	22	23	20					
		1.84%	1.08%	1.19%	1.11%	0.93%	0.71%	3.64%	2.75%	1.67%	0.62%	0.58%	0.19%	1.21%	1.27%	0.00%	0.00%	1.47%	0.50%	4.88%	0.00%	1.09%	2.38%	1.48%	0.88%	4.71%	2.10%	2.06%	0.53%	0.50%	1.61%	0.45%	0.81%	0.36%	1.19%	1.18%	1.30%	2.37%	1.31%	0.24%	0.00%	1.02%	1.36%	1.97%	2.42%	0.00%	0.39%	0.00%	2.11%	2.51%	0.00%	1.62%	1.25%	0.68%	0.00%	0.00%	0.62%	0.94%	0.00%	2.22%	3.19%	0.00%	3.26%	2.37%	2.78%	1.36%	2.33%	2.09%	3.65%	2.36%	3.33%	1.76%	1.56%	3.92%	2.64%	2.97%	6.01%	2.13%					
19	. Малышкин Олег Александрович	306	0	6	0	0	0	1	10	1	1	0	8	5	1	2	0	2	0	3	3	5	7	0	7	1	1	2	7	0	0	2	7	5	4	2	1	1	3	2	2	2	7	0	3	8	2	1	2	8	0	6	0	1	1	1	0	1	1	0	3	0	24	14	16	6	11	13	5	6	8	12	11	4	9	8	2	8					
		0.72%	0.00%	3.57%	0.00%	0.00%	0.00%	0.33%	0.89%	0.42%	0.31%	0.00%	1.52%	0.47%	0.63%	0.97%	0.00%	0.27%	0.00%	1.83%	1.89%	1.09%	1.66%	0.00%	1.55%	0.52%	0.42%	2.06%	0.42%	0.00%	0.00%	0.90%	1.42%	0.91%	1.19%	0.29%	0.43%	0.20%	0.49%	0.48%	0.52%	0.26%	0.86%	0.00%	0.52%	2.11%	0.39%	0.55%	0.53%	2.01%	0.00%	1.39%	0.00%	0.68%	1.04%	0.36%	0.00%	0.47%	1.00%	0.00%	3.19%	0.00%	1.56%	0.90%	1.27%	0.51%	1.02%	1.04%	0.45%	0.42%	0.62%	0.92%	0.96%	0.33%	0.59%	1.08%	0.52%	0.85%					
20	. Миронов Сергей Михайлович	180	1	2	1	0	0	0	1	0	0	1	2	1	2	0	0	1	0	1	0	0	3	1	1	0	0	1	3	2	2	0	2	2	0	4	0	2	3	2	2	3	2	0	6	4	0	1	2	2	1	2	0	0	0	0	0	1	1	1	0	0	14	6	9	11	8	2	2	9	4	11	9	4	8	5	1	8					
		0.43%	0.36%	1.19%	0.28%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.29%	0.38%	0.09%	1.27%	0.00%	0.00%	0.13%	0.00%	0.61%	0.00%	0.00%	0.71%	0.30%	0.22%	0.00%	0.00%	1.03%	0.18%	0.50%	0.46%	0.00%	0.41%	0.36%	0.00%	0.59%	0.00%	0.40%	0.49%	0.48%	0.52%	0.38%	0.25%	0.00%	1.04%	1.06%	0.00%	0.55%	0.53%	0.50%	0.26%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	1.00%	1.11%	0.00%	0.00%	0.91%	0.38%	0.71%	0.93%	0.74%	0.16%	0.18%	0.62%	0.31%	0.84%	0.78%	0.33%	0.53%	0.68%	0.26%	0.85%					
21	. Путин Владимир Владимирович	33548	244	136	284	146	530	214	848	219	260	296	420	912	139	190	162	588	156	132	129	319	318	261	366	163	207	71	1371	289	343	196	394	476	272	564	167	381	486	366	317	561	604	130	451	279	415	146	322	309	377	314	207	129	73	225	402	173	87	67	61	102	1195	1288	960	885	845	991	851	1115	1001	1017	903	937	1229	551	287	727					
