Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Ставропольская - 160														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №3517	УИК №3519	УИК №3520									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2216	636	1335	245									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2250	660	1350	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1105	377	636	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	220	61	116	43									
6	Число погашенных избирательных бюллетеней	925	222	598	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	220	61	116	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1105	377	636	92									
9	Число недействительных избирательных бюллетеней	12	10	0	2									
10	Число действительных избирательных бюллетеней	1313	428	752	133									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	70	20	40	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	17	17	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	5	7	10									
14	Число погашенных неиспользованных открепительных удостоверений	35	3	23	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	3	11	5									
		1.43%	0.68%	1.46%	3.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	36	6	24	6									
		2.72%	1.37%	3.19%	4.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	18	3	14	1									
		1.36%	0.68%	1.86%	0.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	743	273	390	80									
		56.08%	62.33%	51.86%	59.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	3	4	0									
		0.53%	0.68%	0.53%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	2	0									
		0.15%	0.00%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	280	66	187	27									
		21.13%	15.07%	24.87%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	1	3	0									
		0.30%	0.23%	0.40%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	8	0									
		0.68%	0.23%	1.06%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	1	0									
		0.08%	0.00%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	1	10	0									
		0.83%	0.23%	1.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	151	53	84	14									
		11.40%	12.10%	11.17%	10.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	4	2	2	0									
		0.30%	0.46%	0.27%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	28	16	12	0									
		2.11%	3.65%	1.60%	0.00%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
