Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343					
1	"Число избирателей, внесенных в списки избирателей"	133851	2180	2201	2452	2082	1998	2581	2341	1997	2078	2255	2690	2071	2158	2287	2369	2496	2113	2705	2328	2672	2013	2574	1881	2292	2987	2630	2374	400	483	2281	723	1586	1715	2125	2391	2045	1644	1967	2143	1725	2144	2127	2394	2282	1758	1960	2032	2436	2154	2079	2661	1971	2787	1780	2296	1895	1652	2633	2002	2372	2335	2123	683	476	218	400	168					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	121350	1900	2050	2250	1900	1800	2600	2200	1950	1850	2000	2350	1800	2100	1850	2100	2100	1900	2200	2250	2450	1700	2250	2050	2100	2450	2200	2100	600	440	2000	760	1600	1550	1900	2150	1850	1450	1900	2200	1600	1950	1900	2100	2200	1600	1850	1850	2250	1850	1850	2250	1900	2200	1600	1950	1700	1550	2450	1850	2200	1950	1850	700	500	250	400	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	107301	1579	1982	1936	1564	1379	2487	2013	1549	1550	1741	1846	1460	1627	1667	1762	1775	1874	2066	2151	2444	1519	2050	1681	1830	2435	2145	1994	370	309	1755	680	1255	1375	1738	1879	1714	1078	1337	1679	1301	1704	1856	2066	2181	1352	1561	1837	2191	1738	1666	1945	1614	1966	1565	1603	1552	1382	2252	1726	1868	1710	1662	551	419	190	400	168					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3458	27	42	57	62	88	94	24	120	61	32	50	27	137	30	67	103	26	48	37	6	52	25	41	51	15	40	45	30	85	52	43	20	32	32	45	46	32	484	49	58	113	30	31	12	36	43	10	50	25	28	11	66	79	24	50	35	32	36	16	27	20	63	132	57	17	0	0					
6	Число погашенных избирательных бюллетеней	10591	294	26	257	274	333	19	163	281	239	227	454	313	336	153	271	222	0	86	62	0	129	175	328	219	0	15	61	200	46	193	37	325	143	130	226	90	340	79	472	241	133	14	3	7	212	246	3	9	87	156	294	220	155	11	297	113	136	162	108	305	220	125	17	24	43	0	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3457	27	42	57	62	88	94	24	120	61	32	50	27	137	30	67	103	26	48	37	6	52	25	41	51	15	40	44	30	85	52	43	20	32	32	45	46	32	484	49	58	113	30	31	12	36	43	10	50	25	28	11	66	79	24	50	35	32	36	16	27	20	63	132	57	17	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	107189	1567	1982	1930	1562	1379	2477	2013	1549	1549	1741	1843	1460	1627	1667	1762	1775	1874	2064	2151	2397	1516	2046	1681	1830	2432	2145	1987	370	309	1755	680	1255	1375	1738	1879	1714	1078	1337	1679	1301	1702	1856	2066	2181	1352	1561	1835	2191	1738	1662	1944	1614	1964	1565	1603	1552	1382	2252	1726	1868	1710	1662	551	419	189	400	168					
9	Число недействительных избирательных бюллетеней	1043	22	19	30	4	61	13	12	22	18	25	20	20	11	18	59	0	12	21	15	31	16	14	15	10	10	19	34	2	2	9	7	14	18	26	3	16	4	16	6	2	22	26	5	3	23	5	4	7	12	16	31	14	18	6	21	11	6	22	12	10	9	14	48	2	12	8	0					
10	Число действительных избирательных бюллетеней	109603	1572	2005	1957	1620	1406	2558	2025	1647	1592	1748	1873	1467	1753	1679	1770	1878	1888	2091	2173	2372	1552	2057	1707	1871	2437	2166	1997	398	392	1798	716	1261	1389	1744	1921	1744	1106	1805	1722	1357	1793	1860	2092	2190	1365	1599	1841	2234	1751	1674	1924	1666	2025	1583	1632	1576	1408	2266	1730	1885	1721	1711	635	474	194	392	168					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3326	55	61	67	57	50	55	71	55	50	50	60	35	45	60	65	55	65	55	60	60	50	55	50	60	50	70	65	18	12	65	30	65	60	65	70	55	45	35	60	55	50	70	50	47	60	40	40	65	55	53	45	40	60	60	53	45	55	60	44	43	70	55	0	0	0	0	0					
