Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348					
1	"Число избирателей, внесенных в список избирателей"	130608	2089	2130	2380	2070	1955	2363	2422	2035	2169	2212	2528	1588	2237	1451	2460	2331	2419	2499	2251	2179	1665	2470	2133	2198	3244	2430	2277	684	379	1793	863	1717	1396	2273	2366	2013	1519	1719	2145	1698	2091	2065	2235	2379	1766	2202	1916	2451	2214	2057	2596	2419	2575	1737	2214	1944	2224	2498	2094	2431	2019	2316	368	277	288	385	97					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121050	1950	1950	2200	1900	1800	2150	2250	1900	1800	2000	2300	1450	2000	1800	2250	2100	2150	2250	2100	2700	1550	2250	1950	2050	2700	2150	2100	600	300	2000	900	1450	1300	2050	2250	1850	1350	1800	1950	1600	1900	1950	2000	2150	1650	2000	1800	2250	1900	1950	2400	2150	2350	1650	2050	1750	1900	2300	2000	2250	1800	2050	550	300	300	400	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86856	1252	1334	1572	1303	1273	1293	1345	1761	1353	1571	1833	1051	1289	1391	1493	1708	1367	1329	1249	2164	1081	1847	1462	1430	2228	1321	1428	410	201	1334	563	1048	1039	1541	1670	1169	943	877	1350	1187	870	1154	1716	1689	1163	1592	1363	1387	1436	1770	2086	2005	2064	958	1532	1384	1140	1385	1550	1551	1246	1527	241	272	233	385	97					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3287	53	72	48	55	54	103	38	67	120	48	65	21	36	60	61	53	9	24	45	15	146	32	49	38	12	31	49	9	19	68	66	53	18	34	70	30	27	361	41	63	62	50	60	55	39	48	18	46	45	48	19	27	37	22	24	20	36	18	35	24	25	103	127	5	31	0	0					
6	Число погашенных избирательных бюллетеней	30903	641	544	580	542	473	754	867	72	327	381	402	378	675	349	696	339	774	897	806	521	323	371	439	582	460	798	623	181	80	598	271	349	243	475	510	651	380	562	559	350	968	746	224	406	448	360	419	817	419	132	295	118	249	670	494	346	724	897	415	675	529	420	182	23	36	15	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3285	53	72	48	55	54	103	38	67	120	48	65	21	36	60	61	53	9	24	45	15	146	32	49	38	12	31	49	9	19	68	66	53	18	34	69	30	27	361	41	63	62	50	60	55	39	48	18	46	45	48	19	27	36	22	24	20	36	18	35	24	25	103	127	5	31	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86694	1252	1332	1559	1303	1273	1190	1345	1761	1351	1570	1833	1051	1289	1391	1493	1708	1364	1329	1249	2164	1081	1834	1462	1429	2217	1321	1426	410	201	1334	563	1048	1039	1541	1670	1169	943	877	1350	1186	869	1154	1716	1689	1163	1592	1363	1387	1433	1770	2083	2002	2064	958	1532	1384	1140	1385	1550	1551	1246	1527	241	272	233	385	97					
9	Число недействительных избирательных бюллетеней	1367	21	17	16	17	12	20	36	42	24	14	19	27	23	27	17	2	31	18	29	135	13	37	28	27	20	31	24	4	5	22	21	9	15	25	4	30	17	14	11	11	14	14	28	18	34	16	7	6	11	11	22	5	19	19	19	17	14	23	11	32	35	24	5	4	33	11	0					
10	Число действительных избирательных бюллетеней	88612	1284	1387	1591	1341	1315	1273	1347	1786	1447	1604	1879	1045	1302	1424	1537	1759	1342	1335	1265	2044	1214	1829	1483	1440	2209	1321	1451	415	215	1380	608	1092	1042	1550	1735	1169	953	1224	1380	1238	917	1190	1748	1726	1168	1624	1374	1427	1467	1807	2080	2024	2081	961	1537	1387	1162	1380	1574	1543	1236	1606	363	273	231	374	97					
