Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Любинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в списки избирателей"	30324	1143	192	316	463	73	124	64	664	79	164	39	404	90	99	87	98	525	145	138	150	215	563	386	274	1071	244	254	1757	1344	1374	1097	1331	1060	919	984	1000	698	547	699	261	818	227	303	939	251	505	211	122	364	117	56	344	175	200	1149	206	527	138	480	173	167	871	76	125	150	288	72	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30252	1141	199	318	511	77	127	67	703	84	177	47	416	95	98	93	100	528	150	142	144	212	585	406	290	1089	248	265	1600	1237	1243	1000	1226	1000	934	975	991	702	534	678	264	820	229	308	960	257	524	216	127	433	130	72	356	180	202	1181	202	529	139	493	168	178	908	80	131	161	339	72	161					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23428	798	150	300	347	71	124	62	516	70	119	32	314	87	90	87	97	476	123	127	128	190	492	365	247	727	205	203	1313	1094	1163	847	945	710	680	665	652	441	333	467	177	668	191	193	772	217	382	175	115	309	109	53	285	171	195	766	191	418	123	443	153	157	596	76	120	102	238	55	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1949	106	25	0	29	0	0	0	55	0	0	0	22	0	0	0	0	3	8	0	0	10	13	15	15	80	9	24	57	59	52	101	93	82	38	97	74	64	70	91	45	27	18	51	51	13	73	8	0	50	8	3	16	0	0	76	0	23	7	16	2	5	108	0	0	21	24	0	12					
6	Число погашенных избирательных бюллетеней	4875	237	24	18	135	6	3	5	132	14	58	15	80	8	8	6	3	49	19	15	16	12	80	26	28	282	34	38	230	84	28	52	188	208	216	213	265	197	131	120	42	125	20	64	137	27	69	33	12	74	13	16	55	9	7	339	11	88	9	34	13	16	204	4	11	38	77	17	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1949	106	25	0	29	0	0	0	55	0	0	0	22	0	0	0	0	3	8	0	0	10	13	15	15	80	9	24	57	59	52	101	93	82	38	97	74	64	70	91	45	27	18	51	51	13	73	8	0	50	8	3	16	0	0	76	0	23	7	16	2	5	108	0	0	21	24	0	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23428	798	150	300	347	71	124	62	516	70	119	32	314	87	90	87	97	476	123	127	128	190	492	365	247	727	205	203	1313	1094	1163	847	945	710	680	665	652	441	333	467	177	668	191	193	772	217	382	175	115	309	109	53	285	171	195	766	191	418	123	443	153	157	596	76	120	102	238	55	121					
9	Число недействительных избирательных бюллетеней	356	7	0	1	10	0	4	1	18	0	0	0	1	2	0	0	0	8	0	4	0	0	5	3	6	17	1	6	12	13	8	16	6	0	7	10	10	5	9	1	1	11	0	1	10	1	7	4	1	2	0	1	4	1	0	34	3	15	0	9	6	3	15	0	1	1	32	0	2					
10	Число действительных избирательных бюллетеней	25021	897	175	299	366	71	120	61	553	70	119	32	335	85	90	87	97	471	131	123	128	200	500	377	256	790	213	221	1358	1140	1207	932	1032	792	711	752	716	500	394	557	221	684	209	243	813	229	448	179	114	357	117	55	297	170	195	808	188	426	130	450	149	159	689	76	119	122	230	55	131					
