Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Любинская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
1	"Число избирателей, внесенных в список избирателей"	31095	1087	154	349	579	58	110	705	200	395	159	88	91	557	165	145	178	252	604	410	309	1117	263	282	1785	1283	1422	1237	999	976	1370	1097	959	722	558	712	262	843	230	319	968	254	522	241	112	349	90	49	397	195	213	1200	190	524	145	533	180	177	838	123	91	127	372	174					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30700	1000	157	355	560	76	106	720	200	405	161	90	102	550	166	156	172	240	600	400	300	1110	260	280	1800	1280	1380	1200	1000	950	1300	1000	950	700	550	600	250	850	230	315	955	260	520	230	120	400	115	60	370	200	210	1200	200	510	148	540	183	178	850	132	92	130	390	186					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20384	614	93	283	326	53	96	503	108	273	115	75	78	422	149	130	134	216	499	345	284	612	183	210	1183	841	833	816	558	538	965	536	550	364	305	454	174	630	163	198	490	138	301	208	100	275	80	45	332	181	173	728	131	318	110	370	146	137	495	92	72	86	315	152					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1931	121	24	0	47	0	8	49	21	33	12	0	6	12	9	7	1	14	18	15	11	82	6	19	140	60	70	69	67	43	65	37	40	49	31	103	23	53	17	18	51	18	80	12	6	47	8	4	13	0	6	59	9	24	11	21	5	9	82	6	15	7	23	15					
6	Число погашенных избирательных бюллетеней	8385	265	40	72	187	23	2	168	71	99	34	15	18	116	8	19	37	10	83	40	5	416	71	51	477	379	477	315	375	369	270	427	360	287	214	43	53	167	50	99	414	104	139	10	14	78	27	11	25	19	31	413	60	168	27	149	32	32	273	34	5	37	52	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1931	121	24	0	47	0	8	49	21	33	12	0	6	12	9	7	1	14	18	15	11	82	6	19	140	60	70	69	67	43	65	37	40	49	31	103	23	53	17	18	51	18	80	12	6	47	8	4	13	0	6	59	9	24	11	21	5	9	82	6	15	7	23	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20383	614	93	283	326	53	96	503	108	273	115	75	78	422	149	130	134	216	499	345	284	612	183	210	1183	841	833	815	558	538	965	536	550	364	305	454	174	630	163	198	490	138	301	208	100	275	80	45	332	181	173	728	131	318	110	370	146	137	495	92	72	86	315	152					
9	Число недействительных избирательных бюллетеней	466	6	0	1	0	0	1	62	1	2	0	0	0	6	0	0	1	14	11	7	20	16	2	2	16	20	12	14	11	13	9	13	0	3	8	12	3	6	2	37	11	0	5	14	0	0	1	1	5	10	2	24	4	16	1	17	1	2	17	3	0	1	0	0					
10	Число действительных избирательных бюллетеней	21848	729	117	282	373	53	103	490	128	304	127	75	84	428	158	137	134	216	506	353	275	678	187	227	1307	881	891	870	614	568	1021	560	590	410	328	545	194	677	178	179	530	156	376	206	106	322	87	48	340	171	177	763	136	326	120	374	150	144	560	95	87	92	338	167					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	845	25	10	15	32	16	5	30	9	20	5	5	6	10	5	9	0	10	15	10	10	20	12	10	25	20	20	30	14	15	20	10	25	14	10	10	10	15	10	0	25	0	15	5	5	75	20	5	15	5	0	35	13	5	0	12	0	0	32	10	0	1	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	650	20	0	2	32	16	5	27	5	4	3	0	4	3	5	8	0	2	6	10	3	17	12	9	17	13	7	23	13	14	19	10	24	14	10	10	2	6	2	0	20	0	10	1	5	75	20	5	3	2	0	35	13	2	0	10	0	0	32	10	0	1	20	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	325	11	0	2	5	1	2	4	3	3	1	1	0	4	4	2	6	10	10	3	6	13	7	7	12	8	11	23	6	14	10	4	10	8	4	13	7	9	0	2	11	0	7	2	1	3	2	1	13	0	2	6	2	3	1	4	0	0	11	1	3	0	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	195	5	10	13	0	0	0	3	4	16	2	5	2	7	0	1	0	8	9	0	7	3	0	1	8	7	13	7	1	1	1	0	1	0	0	0	8	9	8	0	5	0	5	4	0	0	0	0	12	3	0	0	0	3	0	2	0	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2095	79	5	11	41	4	1	28	9	20	4	3	2	53	11	4	7	14	57	19	9	109	23	18	145	91	103	109	99	76	94	42	61	40	31	61	47	77	11	13	96	16	26	17	10	20	1	1	24	23	14	91	8	4	2	22	10	5	38	2	0	14	17	3					
		9.39%	10.75%	4.27%	3.89%	10.99%	7.55%	0.96%	5.07%	6.98%	6.54%	3.15%	4.00%	2.38%	12.21%	6.96%	2.92%	5.19%	6.09%	11.03%	5.28%	3.05%	15.71%	12.17%	7.86%	10.96%	10.10%	11.41%	12.33%	15.84%	13.08%	9.13%	7.33%	10.34%	9.69%	9.23%	10.95%	23.86%	11.27%	6.11%	6.02%	17.74%	10.26%	6.82%	7.73%	9.43%	6.21%	1.14%	2.04%	6.96%	12.71%	7.82%	11.56%	5.71%	1.17%	1.65%	5.63%	6.62%	3.42%	6.59%	2.04%	0.00%	15.05%	5.03%	1.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2569	59	9	10	58	2	1	27	23	29	9	11	3	55	15	12	14	6	75	36	18	69	37	31	131	102	129	130	98	117	136	101	129	69	57	62	26	62	14	7	45	23	39	32	4	15	5	5	52	7	16	174	28	4	1	18	6	11	64	2	2	19	13	5					
		11.51%	8.03%	7.69%	3.53%	15.55%	3.77%	0.96%	4.89%	17.83%	9.48%	7.09%	14.67%	3.57%	12.67%	9.49%	8.76%	10.37%	2.61%	14.51%	10.00%	6.10%	9.94%	19.58%	13.54%	9.90%	11.32%	14.29%	14.71%	15.68%	20.14%	13.20%	17.63%	21.86%	16.71%	16.96%	11.13%	13.20%	9.08%	7.78%	3.24%	8.32%	14.74%	10.24%	14.55%	3.77%	4.66%	5.68%	10.20%	15.07%	3.87%	8.94%	22.11%	20.00%	1.17%	0.83%	4.60%	3.97%	7.53%	11.09%	2.04%	2.30%	20.43%	3.85%	2.99%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	130	3	0	2	7	0	0	1	2	1	1	1	0	4	0	0	0	0	7	1	0	3	0	0	6	11	4	8	2	4	3	3	5	2	2	5	4	3	2	1	5	3	1	0	0	3	0	0	1	0	0	8	0	0	0	2	3	1	2	0	0	0	1	2					
		0.58%	0.41%	0.00%	0.71%	1.88%	0.00%	0.00%	0.18%	1.55%	0.33%	0.79%	1.33%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	1.35%	0.28%	0.00%	0.43%	0.00%	0.00%	0.45%	1.22%	0.44%	0.90%	0.32%	0.69%	0.29%	0.52%	0.85%	0.48%	0.60%	0.90%	2.03%	0.44%	1.11%	0.46%	0.92%	1.92%	0.26%	0.00%	0.00%	0.93%	0.00%	0.00%	0.29%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	0.51%	1.99%	0.68%	0.35%	0.00%	0.00%	0.00%	0.30%	1.20%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3012	83	6	3	70	5	13	37	14	49	7	2	3	41	9	5	14	6	90	30	40	126	25	37	192	163	60	161	128	98	108	123	112	80	57	90	17	93	17	8	141	29	48	21	9	13	8	1	45	27	8	129	15	10	3	58	3	17	146	26	4	10	15	4					
		13.50%	11.29%	5.13%	1.06%	18.77%	9.43%	12.50%	6.70%	10.85%	16.01%	5.51%	2.67%	3.57%	9.45%	5.70%	3.65%	10.37%	2.61%	17.41%	8.33%	13.56%	18.16%	13.23%	16.16%	14.51%	18.09%	6.64%	18.21%	20.48%	16.87%	10.49%	21.47%	18.98%	19.37%	16.96%	16.16%	8.63%	13.62%	9.44%	3.70%	26.06%	18.59%	12.60%	9.55%	8.49%	4.04%	9.09%	2.04%	13.04%	14.92%	4.47%	16.39%	10.71%	2.92%	2.48%	14.83%	1.99%	11.64%	25.30%	26.53%	4.60%	10.75%	4.44%	2.40%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	251	4	0	0	5	0	1	1	1	3	0	0	0	1	1	2	0	2	13	0	5	8	3	1	15	16	14	18	18	14	10	12	13	4	3	10	3	5	2	3	6	4	2	0	0	1	0	0	0	2	2	11	0	0	0	4	0	0	6	0	0	0	2	0					
		1.12%	0.54%	0.00%	0.00%	1.34%	0.00%	0.96%	0.18%	0.78%	0.98%	0.00%	0.00%	0.00%	0.23%	0.63%	1.46%	0.00%	0.87%	2.51%	0.00%	1.69%	1.15%	1.59%	0.44%	1.13%	1.78%	1.55%	2.04%	2.88%	2.41%	0.97%	2.09%	2.20%	0.97%	0.89%	1.80%	1.52%	0.73%	1.11%	1.39%	1.11%	2.56%	0.52%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	1.10%	1.12%	1.40%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.59%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13704	500	96	256	186	41	87	392	79	201	106	58	76	270	121	114	99	186	261	265	203	359	98	140	817	492	577	440	265	259	669	276	267	213	177	315	95	436	132	145	237	80	260	136	83	268	73	41	217	112	134	349	85	308	113	263	128	110	302	65	81	49	289	152					
		61.41%	68.03%	82.05%	90.46%	49.87%	77.36%	83.65%	71.01%	61.24%	65.69%	83.46%	77.33%	90.48%	62.21%	76.58%	83.21%	73.33%	80.87%	50.48%	73.61%	68.81%	51.73%	51.85%	61.14%	61.75%	54.61%	63.90%	49.77%	42.40%	44.58%	64.95%	48.17%	45.25%	51.57%	52.68%	56.55%	48.22%	63.84%	73.33%	67.13%	43.81%	51.28%	68.24%	61.82%	78.30%	83.23%	82.95%	83.67%	62.90%	61.88%	74.86%	44.35%	60.71%	90.06%	93.39%	67.26%	84.77%	75.34%	52.34%	66.33%	93.10%	52.69%	85.50%	91.02%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	87	1	1	0	6	1	0	4	0	1	0	0	0	4	1	0	0	2	3	2	0	4	1	0	1	6	4	4	4	0	1	3	3	2	1	2	2	1	0	2	0	1	0	0	0	2	0	0	1	0	3	1	0	0	1	7	0	0	2	0	0	0	1	1					
		0.39%	0.14%	0.85%	0.00%	1.61%	1.89%	0.00%	0.72%	0.00%	0.33%	0.00%	0.00%	0.00%	0.92%	0.63%	0.00%	0.00%	0.87%	0.58%	0.56%	0.00%	0.58%	0.53%	0.00%	0.08%	0.67%	0.44%	0.45%	0.64%	0.00%	0.10%	0.52%	0.51%	0.48%	0.30%	0.36%	1.02%	0.15%	0.00%	0.93%	0.00%	0.64%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.29%	0.00%	1.68%	0.13%	0.00%	0.00%	0.83%	1.79%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.30%	0.60%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
