Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Cтрежевская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30910	2471	2410	2728	2366	2740	2654	2651	2580	2748	2645	2365	2552									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22200	1800	1700	2000	1700	1900	1900	1900	1900	2000	1900	1700	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9474	730	830	788	630	769	953	942	728	777	939	633	755									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	63	7	6	9	2	2	3	10	5	4	3	4	8									
6	Число погашенных избирательных бюллетеней	12663	1063	864	1203	1068	1129	944	948	1167	1219	958	1063	1037									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	63	7	6	9	2	2	3	10	5	4	3	4	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9473	730	830	788	630	769	953	942	728	777	938	633	755									
9	Число недействительных избирательных бюллетеней	247	22	17	12	9	27	29	22	13	23	22	16	35									
10	Число действительных избирательных бюллетеней	9289	715	819	785	623	744	927	930	720	758	919	621	728									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	3	2	4	0	2	4	2	4	2	4	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	3	0	1	0	0	1	0	0	2	3	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	207	17	18	16	20	18	16	18	16	18	16	17	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	5	4	2	2	1	4	5	1	3	2	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	140	11	11	11	10	7	9	15	13	10	15	9	19									
		1.47%	1.49%	1.32%	1.38%	1.58%	0.91%	0.94%	1.58%	1.77%	1.28%	1.59%	1.41%	2.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	247	22	19	24	14	23	27	20	27	16	22	19	14									
		2.59%	2.99%	2.27%	3.01%	2.22%	2.98%	2.82%	2.10%	3.68%	2.05%	2.34%	2.98%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	208	10	19	23	11	13	27	16	20	17	17	15	20									
		2.18%	1.36%	2.27%	2.89%	1.74%	1.69%	2.82%	1.68%	2.73%	2.18%	1.81%	2.35%	2.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5221	407	474	432	370	413	509	520	383	425	507	353	428									
		54.75%	55.22%	56.70%	54.20%	58.54%	53.57%	53.24%	54.62%	52.25%	54.42%	53.88%	55.42%	56.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	98	13	4	12	6	7	5	14	5	10	5	9	8									
		1.03%	1.76%	0.48%	1.51%	0.95%	0.91%	0.52%	1.47%	0.68%	1.28%	0.53%	1.41%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	1	1	1	1	1	0	2	1	0	5	0	1									
		0.15%	0.14%	0.12%	0.13%	0.16%	0.13%	0.00%	0.21%	0.14%	0.00%	0.53%	0.00%	0.13%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1896	146	151	173	151	143	193	186	144	160	189	120	140									
		19.88%	19.81%	18.06%	21.71%	23.89%	18.55%	20.19%	19.54%	19.65%	20.49%	20.09%	18.84%	18.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	56	3	9	6	3	6	6	5	4	4	5	3	2									
		0.59%	0.41%	1.08%	0.75%	0.47%	0.78%	0.63%	0.53%	0.55%	0.51%	0.53%	0.47%	0.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	86	6	8	10	3	7	8	10	6	9	12	3	4									
		0.90%	0.81%	0.96%	1.25%	0.47%	0.91%	0.84%	1.05%	0.82%	1.15%	1.28%	0.47%	0.52%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	2	4	1	0	0	3	2	5	0	1	2	2									
		0.23%	0.27%	0.48%	0.13%	0.00%	0.00%	0.31%	0.21%	0.68%	0.00%	0.11%	0.31%	0.26%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	7	8	7	6	16	17	16	9	6	16	16	3									
		1.33%	0.95%	0.96%	0.88%	0.95%	2.08%	1.78%	1.68%	1.23%	0.77%	1.70%	2.51%	0.39%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	781	64	73	63	30	73	86	76	70	68	71	52	55									
		8.19%	8.68%	8.73%	7.90%	4.75%	9.47%	8.99%	7.98%	9.55%	8.71%	7.55%	8.16%	7.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	0	4	4	2	4	2	3	5	3	11	3	8									
		0.51%	0.00%	0.48%	0.50%	0.32%	0.52%	0.21%	0.32%	0.68%	0.38%	1.17%	0.47%	1.05%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	344	23	34	18	16	31	35	45	28	30	43	17	24									
		3.61%	3.12%	4.07%	2.26%	2.53%	4.02%	3.66%	4.73%	3.82%	3.84%	4.57%	2.67%	3.15%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
