Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
1	"Число избирателей, внесенных в список"	128590	1186	456	1806	981	1269	2607	1887	1611	2175	2670	1809	1482	1493	2068	1801	1890	1877	1667	1774	1843	1570	2027	1711	1902	1584	1823	1779	1578	1675	1668	1698	2075	2099	1801	1774	1593	1651	1603	1592	1668	1925	1841	1683	1656	1524	1924	1841	1940	1707	1763	1771	1962	1842	1463	1768	1820	1948	1996	1969	1913	1938	1996	2147	1798	1885	1932	1953	1828	1853	1954	1762	2065					
2	Число полученных избирательных бюллетеней	118400	1100	500	1600	900	1200	2400	1700	1500	2000	2400	1700	1400	1400	1800	1600	1700	1700	1600	1600	1700	1500	1900	1600	1800	1500	1700	1700	1500	1600	1600	1600	1900	1800	1700	1600	1500	1500	1500	1500	1500	1800	1600	1600	1500	1400	1800	1700	1700	1600	1500	1600	1800	1600	1400	1600	1600	1800	1800	1800	1800	1800	1800	2000	1700	1800	1800	1800	1700	1700	1800	1600	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	70096	538	368	939	456	525	1377	886	710	973	1430	1030	848	708	949	697	1051	963	911	1001	1041	720	1178	846	900	949	1054	852	853	985	966	868	1089	1052	979	1002	803	958	867	842	1000	1136	985	1019	890	796	1085	1153	1070	1042	1118	945	1061	1115	845	1057	992	1123	1189	1168	1021	1076	1110	1223	1060	1146	1144	1001	1027	1085	1044	1015	1191					
5	"Число избирательных бюллетеней, выданных вне помещения"	1836	39	14	43	10	30	21	10	17	7	37	51	14	14	45	19	7	8	17	17	11	27	14	53	25	15	22	16	14	36	31	10	10	5	10	14	32	17	13	42	23	25	80	21	29	22	29	36	115	39	157	34	22	32	39	34	62	13	18	13	12	19	22	4	10	11	7	11	11	9	13	21	6					
6	Число погашенных избирательных бюллетеней	46468	523	118	618	434	645	1002	804	773	1020	933	619	538	678	806	884	642	729	672	582	648	753	708	701	875	536	624	832	633	579	603	722	801	743	711	584	665	525	620	616	477	639	535	560	581	582	686	511	515	519	225	621	717	453	516	509	546	664	593	619	767	705	668	773	630	643	649	788	662	606	743	564	703					
7	Число избирательных бюллетеней в переносных ящиках	1836	39	14	43	10	30	21	10	17	7	37	51	14	14	45	19	7	8	17	17	11	27	14	53	25	15	22	16	14	36	31	10	10	5	10	14	32	17	13	42	23	25	80	21	29	22	29	36	115	39	157	34	22	32	39	34	62	13	18	13	12	19	22	4	10	11	7	11	11	9	13	21	6					
8	Число бюллетеней в стационарных ящиках для голосования	70031	537	368	938	456	525	1377	884	709	973	1430	1030	846	708	949	697	1050	962	911	1001	1039	720	1176	846	900	949	1054	851	852	985	966	867	1085	1052	976	1002	803	957	867	839	997	1136	984	1019	888	796	1085	1150	1070	1039	1114	945	1061	1114	844	1055	992	1120	1187	1168	1021	1076	1110	1220	1060	1145	1144	999	1021	1085	1044	1014	1191					
9	Число недействительных избирательных бюллетеней	326	6	2	6	2	1	13	11	0	6	6	9	5	5	4	3	6	6	6	3	6	7	3	5	6	2	9	2	3	6	8	5	6	1	3	1	4	2	6	2	3	4	4	9	2	2	4	4	7	2	3	4	5	2	5	7	1	1	7	2	5	3	8	6	7	7	5	7	2	2	4	2	3					
10	Число действительных избирательных бюллетеней	71541	570	380	975	464	554	1385	883	726	974	1461	1072	855	717	990	713	1051	964	922	1015	1044	740	1187	894	919	962	1067	865	863	1015	989	872	1089	1056	983	1015	831	972	874	879	1017	1157	1060	1031	915	816	1110	1182	1178	1076	1268	975	1078	1144	878	1082	1053	1132	1198	1179	1028	1092	1124	1218	1063	1149	1146	1003	1030	1092	1053	1033	1194					
