Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская северная"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418					
1	"Число избирателей, внесенных в список избирателей"	124939	1882	1817	2720	2035	2261	2504	2114	2436	1694	1499	1906	1787	1540	1281	2391	1959	2081	2533	2297	2640	1997	1733	2566	2088	2092	2737	1912	2277	2079	2397	1922	2032	2100	2339	1743	1950	2289	2378	2227	1905	1488	1746	2258	2085	2070	2714	2250	2139	2402	2529	2110	2122	2438	2488	2447	2705	2819	1989					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118900	1800	1700	2600	1900	2150	2400	2000	2350	1600	1400	1800	1700	1450	1200	2300	1850	2000	2400	2200	2500	1900	1650	2450	2000	2000	2600	1800	2150	2000	2300	1850	1900	2000	2250	1650	1750	2200	2300	2150	1850	1400	1650	2150	2000	1950	2600	2150	2050	2250	2400	2000	2050	2350	2400	2350	2550	2700	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	58716	863	855	1426	984	1072	1313	1094	1312	729	820	1027	881	839	672	1104	935	929	1357	1148	1289	915	904	1345	1037	1082	1330	1025	1125	1022	1174	880	922	931	1043	757	947	1040	1075	957	833	650	778	784	874	947	1199	1026	903	1019	1187	925	849	1082	1045	1106	1184	1155	1010					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1152	18	12	15	24	14	33	15	14	57	9	11	19	15	15	12	15	31	26	14	24	33	9	41	21	13	17	11	12	21	11	29	16	19	10	23	106	37	15	31	19	13	18	21	42	14	19	17	18	14	15	11	7	2	12	9	11	17	5					
6	Число погашенных избирательных бюллетеней	59032	919	833	1159	892	1064	1054	891	1024	814	571	762	800	596	513	1184	900	1040	1017	1038	1187	952	737	1064	942	905	1253	764	1013	957	1115	941	962	1050	1197	870	697	1123	1210	1162	998	737	854	1345	1084	989	1382	1107	1129	1217	1198	1064	1194	1266	1343	1235	1355	1528	835					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1152	18	12	15	24	14	33	15	14	57	9	11	19	15	15	12	15	31	26	14	24	33	9	41	21	13	17	11	12	21	11	29	16	19	10	23	106	37	15	31	19	13	18	21	42	14	19	17	18	14	15	11	7	2	12	9	11	17	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58606	863	855	1426	984	1072	1313	1065	1312	729	820	1027	881	833	672	1100	935	929	1355	1148	1289	915	904	1343	1037	1082	1330	1024	1125	1022	1173	880	922	931	1043	757	945	1038	1075	957	833	649	778	784	832	947	1199	1026	903	1019	1184	914	849	1082	1044	1106	1184	1155	1007					
9	Число недействительных избирательных бюллетеней	649	8	16	24	11	10	16	10	18	8	7	7	6	7	6	11	11	14	17	6	11	3	12	5	8	16	18	14	11	7	13	8	13	14	8	8	18	16	16	7	5	9	12	10	12	11	12	15	16	8	13	4	7	9	11	15	19	10	12					
10	Число действительных избирательных бюллетеней	59109	873	851	1417	997	1076	1330	1070	1308	778	822	1031	894	841	681	1101	939	946	1364	1156	1302	945	901	1379	1050	1079	1329	1021	1126	1036	1171	901	925	936	1045	772	1033	1059	1074	981	847	653	784	795	862	950	1206	1028	905	1025	1186	921	849	1075	1045	1100	1176	1162	1000					
