Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Усть-Куломская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531					
1	"Число избирателей, внесенных в список избирателей"	22561	201	676	436	305	472	360	1315	211	345	2200	2187	878	235	1297	346	195	216	1489	232	593	534	214	278	389	398	333	875	712	488	547	529	197	1678	413	199	324	264					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24110	220	720	460	330	490	410	1460	220	380	2170	2190	1000	250	1410	380	200	220	1560	240	610	620	230	310	410	450	380	990	820	510	550	570	200	1850	440	210	390	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	782	0	0	0	0	90	0	0	0	0	0	0	0	0	38	11	4	18	33	0	0	0	94	68	0	0	0	0	0	113	115	0	0	177	21	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14037	146	332	225	208	242	248	907	160	250	1796	1311	473	137	768	236	103	109	976	119	255	366	89	133	311	264	219	589	382	234	246	324	128	893	292	155	225	186					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2339	24	141	83	36	51	29	72	25	24	110	94	182	15	78	56	43	14	262	26	70	48	6	17	40	105	50	52	144	27	23	79	28	180	33	23	24	25					
6	Число погашенных избирательных бюллетеней	6952	50	247	152	86	107	133	481	35	106	264	785	345	98	526	77	50	79	289	95	285	206	41	92	59	81	111	349	294	136	166	167	44	600	94	32	141	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3121	24	141	83	36	141	29	72	25	24	110	94	182	15	116	67	47	32	295	26	70	48	100	85	40	105	50	52	144	140	138	79	28	357	54	23	24	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14032	146	332	225	208	242	248	907	160	250	1796	1308	473	137	768	236	103	109	976	119	255	366	89	133	311	264	219	589	381	234	246	324	128	892	292	155	225	186					
9	Число недействительных избирательных бюллетеней	280	2	5	0	4	7	1	27	3	2	35	34	6	1	18	0	3	3	21	3	4	10	0	7	2	3	0	15	3	9	5	6	2	23	6	4	6	0					
10	Число действительных избирательных бюллетеней	16873	168	468	308	240	376	276	952	182	272	1871	1368	649	151	866	303	147	138	1250	142	321	404	189	211	349	366	269	626	522	365	379	397	154	1226	340	174	243	211					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1123	30	25	25	20	20	32	89	15	27	43	36	83	15	81	35	5	5	40	5	10	35	10	30	25	30	30	58	25	15	18	30	15	90	25	10	25	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1123	30	25	25	20	20	32	89	15	27	43	36	83	15	81	35	5	5	40	5	10	35	10	30	25	30	30	58	25	15	18	30	15	90	25	10	25	11					
