Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Сковородинская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №782					
1	"Число избирателей, внесенных в список избирателей"	22017	818	1598	1204	1411	1048	930	1260	1558	1060	280	1784	727	315	399	717	331	787	886	2420	300	142	738	214	389	175	526					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20650	750	1400	1000	1300	1000	850	1150	1450	1000	250	1700	650	300	500	650	300	750	1000	2200	300	150	700	200	350	200	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	329	0	0	0	0	0	0	14	0	0	23	15	0	8	71	11	0	0	64	0	0	39	36	0	48	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10469	267	697	521	854	533	359	666	853	652	87	950	253	161	169	299	150	388	311	1184	195	59	280	97	172	126	186					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	753	25	53	14	24	45	20	24	42	35	0	77	32	7	7	54	6	24	19	81	6	3	59	19	17	19	41					
6	Число погашенных избирательных бюллетеней	9099	458	650	465	422	422	471	446	555	313	140	658	365	124	253	286	144	338	606	935	99	49	325	84	113	55	323					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1053	25	53	14	24	45	20	24	42	35	23	77	32	15	78	65	6	24	83	81	6	42	95	19	65	19	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10469	267	697	521	854	533	359	666	853	652	87	950	253	161	169	299	150	388	311	1184	195	59	280	97	172	126	186					
9	Число недействительных избирательных бюллетеней	223	4	22	3	20	15	4	11	55	14	0	12	5	3	1	10	0	11	3	15	3	0	4	4	2	2	0					
10	Число действительных избирательных бюллетеней	11299	288	728	532	858	563	375	679	840	673	110	1015	280	173	246	354	156	401	391	1250	198	101	371	112	235	143	227					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	238	10	15	15	13	10	15	10	10	10	5	10	10	5	5	5	5	5	15	15	5	5	5	5	5	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	152	8	14	12	10	8	15	5	7	10	0	10	3	1	0	3	4	2	15	6	1	0	3	0	0	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	2	7	4	7	4	5	34	2	2	1	14	0	3	1	1	1	1	0	3	2	0	2	0	3	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	86	2	1	3	3	2	0	5	3	0	5	0	7	4	5	2	1	3	0	9	4	5	2	5	5	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	6	6	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1113	27	52	73	105	96	43	70	81	56	8	99	30	12	25	33	15	37	31	131	8	4	26	8	9	12	22					
		9.66%	9.25%	6.93%	13.64%	11.96%	16.61%	11.35%	10.14%	9.05%	8.15%	7.27%	9.64%	10.53%	6.82%	10.12%	9.07%	9.62%	8.98%	7.87%	10.36%	3.98%	3.96%	6.93%	6.90%	3.80%	8.28%	9.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2128	47	192	110	134	104	55	147	167	137	16	125	74	25	52	77	19	94	57	263	24	12	69	22	37	32	37					
		18.47%	16.10%	25.60%	20.56%	15.26%	17.99%	14.51%	21.30%	18.66%	19.94%	14.55%	12.17%	25.96%	14.20%	21.05%	21.15%	12.18%	22.82%	14.47%	20.79%	11.94%	11.88%	18.40%	18.97%	15.61%	22.07%	16.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	157	7	10	12	23	12	6	15	14	8	2	10	2	2	3	6	0	3	2	11	0	2	1	2	1	2	1					
		1.36%	2.40%	1.33%	2.24%	2.62%	2.08%	1.58%	2.17%	1.56%	1.16%	1.82%	0.97%	0.70%	1.14%	1.21%	1.65%	0.00%	0.73%	0.51%	0.87%	0.00%	1.98%	0.27%	1.72%	0.42%	1.38%	0.44%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1800	39	87	126	164	99	43	135	117	115	43	180	39	28	43	58	14	55	60	150	23	9	57	36	22	23	35					
		15.62%	13.36%	11.60%	23.55%	18.68%	17.13%	11.35%	19.57%	13.07%	16.74%	39.09%	17.53%	13.68%	15.91%	17.41%	15.93%	8.97%	13.35%	15.23%	11.86%	11.44%	8.91%	15.20%	31.03%	9.28%	15.86%	15.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	116	4	6	4	16	10	1	6	10	2	0	11	1	0	1	2	2	5	7	14	4	0	5	0	1	3	1					
		1.01%	1.37%	0.80%	0.75%	1.82%	1.73%	0.26%	0.87%	1.12%	0.29%	0.00%	1.07%	0.35%	0.00%	0.40%	0.55%	1.28%	1.21%	1.78%	1.11%	1.99%	0.00%	1.33%	0.00%	0.42%	2.07%	0.44%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5949	160	378	204	414	240	225	304	448	355	41	589	134	104	118	178	106	206	233	678	138	74	213	44	165	69	131					
		51.63%	54.79%	50.40%	38.13%	47.15%	41.52%	59.37%	44.06%	50.06%	51.67%	37.27%	57.35%	47.02%	59.09%	47.77%	48.90%	67.95%	50.00%	59.14%	53.60%	68.66%	73.27%	56.80%	37.93%	69.62%	47.59%	57.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	4	3	3	2	2	2	2	3	0	0	1	0	2	4	0	0	1	1	3	1	0	0	0	0	2	0					
		0.31%	1.37%	0.40%	0.56%	0.23%	0.35%	0.53%	0.29%	0.34%	0.00%	0.00%	0.10%	0.00%	1.14%	1.62%	0.00%	0.00%	0.24%	0.25%	0.24%	0.50%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
