Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Сковородинская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677					
1	"Число избирателей, внесенных в списки избирателей"	23172	825	2149	1237	2298	765	1382	1632	1089	240	1857	758	335	827	736	337	777	473	904	47	1122	1257	304	93	69	822	239	341	54	203					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21350	700	1800	1100	2100	800	1200	1400	1000	250	1700	700	300	800	650	350	750	450	900	50	1100	1200	300	100	70	700	250	350	80	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	639	0	0	0	0	0	23	0	0	36	10	0	10	435	0	0	0	0	0	0	0	0	0	0	0	63	0	33	29	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13021	376	1175	705	1416	497	740	912	631	130	1144	325	197	219	425	250	463	266	454	34	623	767	214	81	47	403	136	232	13	146					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1095	94	143	55	90	9	56	44	29	0	69	69	17	11	70	0	9	44	57	4	33	21	8	2	3	79	33	30	0	16					
6	Число погашенных избирательных бюллетеней	6595	230	482	340	594	294	381	444	340	84	477	306	76	135	155	100	278	140	389	12	444	412	78	17	20	155	81	55	38	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1734	94	143	55	90	9	79	44	29	36	79	69	27	446	70	0	9	44	57	4	33	21	8	2	3	142	33	63	29	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12988	376	1165	705	1416	497	717	912	631	130	1144	325	197	219	425	250	463	266	454	34	623	767	214	81	47	403	136	232	13	146					
9	Число недействительных избирательных бюллетеней	141	4	0	8	24	7	15	7	6	0	10	2	6	15	4	6	2	8	2	0	1	3	2	0	0	3	2	3	0	1					
10	Число действительных избирательных бюллетеней	14581	466	1308	752	1482	499	781	949	654	166	1213	392	218	650	491	244	470	302	509	38	655	785	220	83	50	542	167	292	42	161					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	176	2	16	14	12	10	12	12	11	3	5	2	3	3	5	3	8	5	3	3	5	5	3	3	3	2	3	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	123	2	14	13	12	10	10	10	11	0	1	0	0	0	5	0	6	2	3	1	4	4	3	1	0	0	1	2	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	153	1	12	8	15	5	29	2	6	5	6	2	10	6	4	2	9	3	7	0	2	5	3	2	1	3	2	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	53	0	2	1	0	0	2	2	0	3	4	2	3	3	0	3	2	3	0	2	1	1	0	2	3	2	2	3	5	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	8	1	9	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	153	2	8	3	20	3	17	15	6	0	13	4	0	11	5	0	3	6	3	0	10	12	2	1	0	3	2	2	0	2					
		1.04%	0.43%	0.61%	0.39%	1.33%	0.59%	2.14%	1.57%	0.91%	0.00%	1.06%	1.02%	0.00%	1.65%	1.01%	0.00%	0.64%	1.94%	0.59%	0.00%	1.52%	1.52%	0.90%	1.20%	0.00%	0.55%	1.18%	0.68%	0.00%	1.23%					
19	2.Всероссийская политическая партия «Гражданская Сила»	69	3	3	11	7	3	3	3	1	1	7	3	1	6	1	0	0	3	0	0	4	8	0	0	0	1	0	0	0	0					
		0.47%	0.64%	0.23%	1.45%	0.46%	0.59%	0.38%	0.31%	0.15%	0.60%	0.57%	0.76%	0.45%	0.90%	0.20%	0.00%	0.00%	0.97%	0.00%	0.00%	0.61%	1.02%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	1	0	1	0	1	2	1	2	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0					
		0.09%	0.21%	0.00%	0.13%	0.00%	0.20%	0.25%	0.10%	0.30%	0.00%	0.00%	0.25%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1088	18	80	72	148	26	81	92	37	11	111	30	18	48	26	9	18	26	37	2	51	47	10	2	1	50	14	10	1	12					
		7.39%	3.83%	6.12%	9.47%	9.83%	5.14%	10.18%	9.62%	5.61%	6.63%	9.08%	7.61%	8.04%	7.22%	5.25%	3.60%	3.81%	8.39%	7.24%	5.26%	7.77%	5.96%	4.50%	2.41%	2.00%	9.17%	8.28%	3.39%	2.38%	7.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	101	3	4	16	15	5	12	9	1	1	9	1	1	4	4	0	3	1	4	0	2	2	3	0	0	0	0	0	0	1					
