Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Бокситогорская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
1	"Число избирателей, внесенных в списки"	29570	2605	2714	2337	2855	2749	2517	1474	220	154	485	521	64	70	143	998	103	112	72	317	843	107	1186	1356	363	65	97	349	604	66	121	358	119	154	64	285	77	76	52	656	180	123	261	227	78	525	620	48					
2	"Число бюллетеней, полученных участковыми комиссиями"	30537	2700	2800	2400	2900	2800	2493	1500	250	200	500	550	70	70	150	1010	100	120	80	350	900	110	1197	1400	370	80	100	360	648	80	130	400	120	160	70	300	80	80	59	700	200	130	270	250	80	550	620	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12975	1343	1477	992	1437	1169	1206	606	67	54	180	247	22	15	64	420	16	22	21	187	251	29	437	575	147	8	43	149	220	21	26	159	20	104	40	116	28	36	29	256	71	35	69	85	58	190	209	19					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1860	42	32	40	34	58	93	27	24	44	21	27	18	38	12	112	57	45	44	30	104	39	27	24	31	38	22	25	65	31	58	16	57	9	12	22	38	32	20	114	24	57	96	27	0	32	36	6					
6	Число погашенных бюллетеней	15701	1314	1291	1368	1429	1573	1194	867	159	102	299	276	30	17	74	478	27	53	15	133	545	42	733	801	192	34	35	186	363	28	46	225	43	47	18	162	14	12	10	330	105	38	105	138	22	328	375	25					
7	Число бюллетеней в переносных ящиках для голосования	1860	42	32	40	34	58	93	27	24	44	21	27	18	38	12	112	57	45	44	30	104	39	27	24	31	38	22	25	65	31	58	16	57	9	12	22	38	32	20	114	24	57	96	27	0	32	36	6					
8	Число бюллетеней в стационарных ящиках для голосования	12970	1342	1475	992	1437	1168	1206	606	67	54	180	247	22	15	64	420	16	22	21	187	251	29	436	575	147	8	43	149	220	21	26	159	20	104	40	116	28	36	29	256	71	35	69	85	58	190	209	19					
9	Число недействительных бюллетеней	220	19	22	19	26	13	17	13	1	0	2	9	2	0	1	5	0	0	0	1	5	0	9	8	1	0	4	3	6	1	0	3	2	0	0	5	1	0	0	5	0	3	2	2	0	5	5	0					
10	Число действительных бюллетеней	14610	1365	1485	1013	1445	1213	1282	620	90	98	199	265	38	53	75	527	73	67	65	216	350	68	454	591	177	46	61	171	279	51	84	172	75	113	52	133	65	68	49	365	95	89	163	110	58	217	240	25					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	417	30	30	30	30	30	27	10	5	5	5	5	5	5	5	10	5	5	5	5	7	3	11	14	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	114	18	7	2	11	10	7	4	0	0	0	1	0	0	0	4	0	0	0	4	7	0	11	10	1	2	0	1	3	0	0	1	0	0	0	2	0	1	0	1	0	2	1	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	4	2	2	3	2	4	2	3	1	0	2	4	4	1	2	2	0	4	0	1	7	5	2	2	0	0	1	3	2	5	4	3	2	0	3	1	0	1	4	0	2	3	2	0	3	5	0					
14	Число погашенных открепительных удостоверений	303	12	23	28	19	20	20	6	5	5	5	4	5	5	5	6	5	5	5	1	0	3	0	4	4	3	5	4	2	5	5	4	5	5	5	3	5	4	5	4	5	3	4	4	5	3	15	5					
15	Число открепительных удостоверений выданных ТИК	33	1	2	1	4	4	2	1	0	2	0	2	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	"1. ""ЕДИНЕНИЕ"""	181	18	19	8	11	15	6	10	0	2	4	6	1	0	2	12	0	1	1	7	10	0	2	7	2	1	0	4	4	1	0	1	0	2	0	0	2	0	0	11	0	3	0	0	0	4	4	0					
		1.22%	1.30%	1.26%	0.77%	0.74%	1.22%	0.46%	1.57%	0.0%	2.04%	1.99%	2.18%	2.5%	0.0%	2.63%	2.25%	0.0%	1.49%	1.53%	3.22%	2.81%	0.0%	0.43%	1.16%	1.12%	2.17%	0.0%	2.29%	1.40%	1.92%	0.0%	0.57%	0.0%	1.76%	0.0%	0.0%	3.03%	0.0%	0.0%	2.97%	0.0%	3.26%	0.0%	0.0%	0.0%	1.80%	1.63%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	357	41	60	22	48	39	46	11	3	2	5	7	0	0	0	6	0	0	1	6	8	0	7	14	3	2	1	2	6	0	0	1	0	1	2	1	0	2	0	2	1	1	0	4	1	0	1	0					
		2.40%	2.96%	3.98%	2.13%	3.26%	3.18%	3.54%	1.73%	3.29%	2.04%	2.48%	2.55%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	1.53%	2.76%	2.25%	0.0%	1.51%	2.33%	1.68%	4.34%	1.53%	1.14%	2.10%	0.0%	0.0%	0.57%	0.0%	0.88%	3.84%	0.72%	0.0%	2.94%	0.0%	0.54%	1.05%	1.08%	0.0%	3.57%	1.72%	0.0%	0.40%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	597	63	64	40	54	64	34	27	2	4	8	12	2	3	2	16	10	7	3	4	8	3	25	19	8	7	3	4	6	8	1	9	0	8	0	6	7	0	0	11	8	5	3	5	0	15	9	0					
		4.02%	4.55%	4.24%	3.87%	3.67%	5.22%	2.61%	4.26%	2.19%	4.08%	3.98%	4.37%	5.0%	5.66%	2.63%	3.00%	13.69%	10.44%	4.61%	1.84%	2.25%	4.41%	5.39%	3.17%	4.49%	15.21%	4.61%	2.29%	2.10%	15.38%	1.19%	5.14%	0.0%	7.07%	0.0%	4.34%	10.60%	0.0%	0.0%	2.97%	8.42%	5.43%	1.81%	4.46%	0.0%	6.75%	3.67%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	468	53	58	48	69	69	51	11	1	0	5	3	1	0	1	5	2	0	2	5	4	0	12	23	3	1	1	2	6	3	0	3	1	4	2	1	2	0	0	2	1	3	2	2	0	3	3	0					
