Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Мари-Турекская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17939	954	1480	287	570	1057	991	759	805	870	1102	604	498	1344	984	848	713	334	477	1112	640	554	956									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17800	900	1500	300	600	1000	1000	750	800	800	1000	600	500	1300	1000	900	800	300	500	1100	650	550	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8367	510	739	165	284	607	568	253	388	514	511	265	193	600	291	402	299	179	202	432	190	267	508									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2000	82	32	23	57	25	8	83	75	46	156	65	35	126	200	113	134	23	158	184	200	45	130									
6	Число погашенных избирательных бюллетеней	7433	308	729	112	259	368	424	414	337	240	333	270	272	574	509	385	367	98	140	484	260	238	312									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2000	82	32	23	57	25	8	83	75	46	156	65	35	126	200	113	134	23	158	184	200	45	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8366	510	739	165	284	606	568	253	388	514	511	265	193	600	291	402	299	179	202	432	190	267	508									
9	Число недействительных избирательных бюллетеней	168	11	5	3	5	12	6	3	10	8	16	10	9	14	9	3	10	0	7	13	0	4	10									
10	Число действительных избирательных бюллетеней	10198	581	766	185	336	619	570	333	453	552	651	320	219	712	482	512	423	202	353	603	390	308	628									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	843	30	53	10	45	35	45	30	20	30	50	30	30	65	50	60	60	30	20	50	30	20	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	710	30	51	10	33	33	45	24	12	25	19	18	30	65	44	60	60	30	20	39	30	15	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	265	8	17	5	6	12	16	10	13	40	18	8	8	21	9	16	12	3	5	10	10	6	12									
14	Число погашенных неиспользованных открепительных удостоверений	133	0	2	0	12	2	0	6	8	5	31	12	0	0	6	0	0	0	0	11	0	5	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	154	10	17	8	11	18	8	6	10	10	9	2	1	4	3	4	11	1	4	5	0	2	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	4	4	0	3	6	7	4	5	3	7	1	2	0	1	6	4	1	3	5	0	3	7									
		0.73%	0.68%	0.52%	0.00%	0.88%	0.95%	1.22%	1.19%	1.08%	0.54%	1.05%	0.30%	0.88%	0.00%	0.20%	1.17%	0.92%	0.50%	0.83%	0.81%	0.00%	0.96%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	421	26	38	9	16	22	37	11	12	26	22	10	12	26	21	19	27	1	12	39	5	12	18									
		4.06%	4.39%	4.93%	4.79%	4.69%	3.49%	6.42%	3.27%	2.59%	4.64%	3.30%	3.03%	5.26%	3.58%	4.28%	3.69%	6.24%	0.50%	3.33%	6.33%	1.28%	3.85%	2.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	114	6	16	0	2	13	10	4	6	5	9	0	2	5	4	5	2	2	1	12	1	4	5									
		1.10%	1.01%	2.08%	0.00%	0.59%	2.06%	1.74%	1.19%	1.30%	0.89%	1.35%	0.00%	0.88%	0.69%	0.81%	0.97%	0.46%	0.99%	0.28%	1.95%	0.26%	1.28%	0.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4961	258	321	99	174	278	238	154	218	224	314	129	119	306	212	260	223	152	239	302	221	165	355									
		47.86%	43.58%	41.63%	52.66%	51.03%	44.06%	41.32%	45.83%	47.08%	40.00%	47.08%	39.09%	52.19%	42.15%	43.18%	50.49%	51.50%	75.25%	66.39%	49.03%	56.67%	52.88%	55.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	2	4	1	0	2	3	2	5	2	2	3	0	5	5	1	1	2	1	2	0	1	2									
		0.44%	0.34%	0.52%	0.53%	0.00%	0.32%	0.52%	0.60%	1.08%	0.36%	0.30%	0.91%	0.00%	0.69%	1.02%	0.19%	0.23%	0.99%	0.28%	0.32%	0.00%	0.32%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	0	3	0	1	1	1	2	3	0	2	0	13	0	2	1	0	0	1	1	0	0	3									
		0.33%	0.00%	0.39%	0.00%	0.29%	0.16%	0.17%	0.60%	0.65%	0.00%	0.30%	0.00%	5.70%	0.00%	0.41%	0.19%	0.00%	0.00%	0.28%	0.16%	0.00%	0.00%	0.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	733	62	74	10	16	56	39	29	13	47	46	19	0	62	26	47	24	5	16	55	23	12	52									
		7.07%	10.47%	9.60%	5.32%	4.69%	8.87%	6.77%	8.63%	2.81%	8.39%	6.90%	5.76%	0.00%	8.54%	5.30%	9.13%	5.54%	2.48%	4.44%	8.93%	5.90%	3.85%	8.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	1	1	0	1	3	0	0	1	2	1	0	0	0	0	1	1	2	0	2	0	0	2									
		0.17%	0.17%	0.13%	0.00%	0.29%	0.48%	0.00%	0.00%	0.22%	0.36%	0.15%	0.00%	0.00%	0.00%	0.00%	0.19%	0.23%	0.99%	0.00%	0.32%	0.00%	0.00%	0.31%									
