Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Кабанская																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в списки"	45000	457	88	85	1034	319	110	504	482	632	430	323	151	107	194	512	208	212	141	82	827	636	304	91	1447	2056	1593	1770	1806	1491	1173	245	170	338	402	621	667	1020	986	834	271	517	218	523	434	204	220	308	227	1183	1252	1483	1791	654	252	138	572	379	610	189	201	1084	1140	1240	998	93	73	98	676	68	751	1257	1348					
2	"Число бюллетеней, полученных участковыми комиссиями"	43327	450	80	80	1000	300	110	500	470	620	420	314	150	100	190	500	200	210	140	90	880	600	280	100	1360	1950	1530	1857	1590	1420	1080	230	170	330	390	620	640	1000	932	770	410	510	210	540	430	200	400	300	230	1150	1165	1430	1770	590	200	130	500	370	590	200	200	1000	1060	1070	930	80	70	90	640	70	700	1199	1240					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24463	246	68	65	544	171	68	299	297	355	229	245	126	88	129	296	105	127	102	42	441	272	133	83	733	1039	813	786	959	674	556	153	107	172	216	376	364	548	475	426	263	313	121	370	279	133	207	179	156	675	656	677	855	339	159	74	387	216	349	135	127	493	588	658	557	71	39	88	426	39	391	759	756					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1241	18	0	2	47	30	9	40	22	38	21	10	8	10	13	27	16	9	9	11	7	31	0	0	12	21	17	12	33	17	41	10	11	16	0	19	28	38	34	11	8	21	22	3	11	6	13	0	4	22	23	20	17	6	11	0	23	14	19	0	17	41	30	21	48	0	21	0	46	4	12	38	22					
6	Число погашенных бюллетеней	17623	186	12	13	409	99	33	161	151	227	170	59	16	2	48	177	79	74	29	37	432	297	147	17	615	890	700	1059	598	729	483	67	52	142	174	225	248	414	423	333	139	176	67	167	140	61	180	121	70	453	486	733	898	245	30	56	90	140	222	65	56	466	442	391	325	9	10	2	168	27	297	402	462					
7	Число бюллетеней в переносных ящиках для голосования	1241	18	0	2	47	30	9	40	22	38	21	10	8	10	13	27	16	9	9	11	7	31	0	0	12	21	17	12	33	17	41	10	11	16	0	19	28	38	34	11	8	21	22	3	11	6	13	0	4	22	23	20	17	6	11	0	23	14	19	0	17	41	30	21	48	0	21	0	46	4	12	38	22					
8	Число бюллетеней в стационарных ящиках для голосования	24454	246	68	65	544	171	68	299	296	355	229	245	126	88	129	296	103	127	102	42	441	272	133	83	733	1039	813	786	959	674	556	153	107	172	216	376	364	548	475	426	263	313	121	370	279	133	207	179	156	675	656	676	855	339	159	74	382	216	349	135	127	493	588	658	557	71	39	88	426	39	391	759	756					
9	Число недействительных бюллетеней	646	15	0	0	24	7	1	3	5	3	13	10	0	12	3	5	3	4	3	3	12	2	2	7	20	101	27	15	9	21	8	7	0	17	9	5	5	8	22	8	4	17	2	6	7	2	14	7	5	10	6	13	18	10	11	1	8	3	6	15	4	5	5	9	7	4	0	0	12	0	8	4	4					
10	Число действительных бюллетеней	25049	249	68	67	567	194	76	336	313	390	237	245	134	86	139	318	116	132	108	50	436	301	131	76	725	959	803	783	983	670	589	156	118	171	207	390	387	578	487	429	267	317	141	367	283	137	206	172	155	687	673	683	854	335	159	73	397	227	362	120	140	529	613	670	598	67	60	88	460	43	395	793	774					
