Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Жуковская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в списки избирателей"	30560	1547	2621	1420	1751	922	1312	1382	2283	1092	1071	817	268	2160	408	640	375	81	329	540	365	537	86	276	162	768	924	1313	224	555	328	547	805	505	309	1470	367					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30810	1550	2650	1420	1750	930	1320	1400	2270	1010	1100	810	280	2050	415	655	390	80	325	550	360	550	90	270	170	800	950	1320	230	535	350	560	840	520	300	1550	460					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17857	876	1494	711	994	497	680	732	1186	533	461	477	199	1438	282	436	297	41	206	337	188	363	66	181	103	445	481	773	135	314	191	261	466	240	239	1196	338					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2309	34	74	119	68	111	120	100	169	158	129	65	53	179	7	49	25	7	6	36	52	60	10	17	19	65	91	118	10	41	43	71	67	61	18	35	22					
6	Число погашенных избирательных бюллетеней	10644	640	1082	590	688	322	520	568	915	319	510	268	28	433	126	170	68	32	113	177	120	127	14	72	48	290	378	429	85	180	116	228	307	219	43	319	100					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2309	34	74	119	68	111	120	100	169	158	129	65	53	179	7	49	25	7	6	36	52	60	10	17	19	65	91	118	10	41	43	71	67	61	18	35	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17857	876	1494	711	994	497	680	732	1186	533	461	477	199	1438	282	436	297	41	206	337	188	363	66	181	103	445	481	773	135	314	191	261	466	240	239	1196	338					
9	Число недействительных избирательных бюллетеней	192	14	16	8	18	2	9	10	10	5	0	1	2	6	3	4	10	1	1	6	0	4	0	2	0	1	3	7	1	0	2	5	5	3	2	31	0					
10	Число действительных избирательных бюллетеней	19974	896	1552	822	1044	606	791	822	1345	686	590	541	250	1611	286	481	312	47	211	367	240	419	76	196	122	509	569	884	144	355	232	327	528	298	255	1200	360					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	431	15	38	13	20	15	22	15	15	10	6	3	10	15	3	15	5	0	5	10	5	10	3	3	3	10	25	15	1	8	10	10	14	10	3	61	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	392	15	38	13	12	15	20	15	15	10	6	3	3	2	0	15	5	0	5	10	4	10	3	3	3	10	25	15	1	8	10	10	14	10	3	61	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	233	10	11	14	13	35	11	10	14	5	8	6	3	6	0	14	1	5	4	3	2	2	5	4	1	8	1	7	0	4	0	2	6	2	4	12	0					
14	Число погашенных неиспользованных открепительных удостоверений	39	0	0	0	8	0	2	0	0	0	0	0	7	13	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	2	1	4	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	371	25	32	12	19	10	10	19	21	9	8	3	1	10	4	24	29	0	4	6	18	2	1	3	1	13	10	2	1	17	7	3	21	5	5	16	0					
		1.84%	2.75%	2.04%	1.45%	1.79%	1.64%	1.25%	2.28%	1.55%	1.30%	1.36%	0.55%	0.40%	0.62%	1.38%	4.95%	9.01%	0.00%	1.89%	1.61%	7.50%	0.47%	1.32%	1.52%	0.82%	2.55%	1.75%	0.22%	0.69%	4.79%	2.99%	0.90%	3.94%	1.66%	1.95%	1.30%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	124	10	10	2	13	6	3	5	15	4	2	9	0	4	0	5	1	0	2	1	1	1	0	1	1	2	2	6	0	1	0	0	0	2	1	10	4					
		0.61%	1.10%	0.64%	0.24%	1.22%	0.99%	0.38%	0.60%	1.11%	0.58%	0.34%	1.66%	0.00%	0.25%	0.00%	1.03%	0.31%	0.00%	0.94%	0.27%	0.42%	0.24%	0.00%	0.51%	0.82%	0.39%	0.35%	0.67%	0.00%	0.28%	0.00%	0.00%	0.00%	0.66%	0.39%	0.81%	1.11%					
