Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Шумихинская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
1	"Число избирателей, внесенных в списки избирателей"	25355	907	906	1102	971	1190	1340	1533	1257	1058	1255	1319	1099	1295	61	213	592	120	769	297	92	911	595	379	248	87	691	172	130	152	484	313	449	394	401	275	604	287	449	186	480	292					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24590	900	900	1050	950	1100	1300	1500	1200	1000	1150	1300	1000	1250	120	210	580	115	760	300	100	890	560	350	270	105	700	170	130	160	465	275	430	400	400	290	560	280	430	200	450	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14537	547	515	666	540	638	694	847	616	543	707	776	616	654	61	170	361	82	401	199	56	473	354	256	187	66	457	123	83	86	279	191	261	259	292	184	350	178	259	110	207	193					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2451	61	64	69	88	95	71	108	122	108	93	64	103	101	0	14	46	6	154	47	4	121	66	17	25	7	31	3	18	41	93	16	81	65	44	39	59	36	81	27	144	19					
6	Число погашенных избирательных бюллетеней	7602	292	321	315	322	367	535	545	462	349	350	460	281	495	59	26	173	27	205	54	40	296	140	77	58	32	212	44	29	33	93	68	88	76	64	67	151	66	90	63	99	78					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2451	61	64	69	88	95	71	108	122	108	93	64	103	101	0	14	46	6	154	47	4	121	66	17	25	7	31	3	18	41	93	16	81	65	44	39	59	36	81	27	144	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14536	547	515	666	540	638	693	847	616	543	707	776	616	654	61	170	361	82	401	199	56	473	354	256	187	66	457	123	83	86	279	191	261	259	292	184	350	178	259	110	207	193					
9	Число недействительных избирательных бюллетеней	107	5	3	8	8	7	4	5	3	4	2	5	4	4	0	4	5	0	6	1	1	3	4	0	1	0	4	0	0	0	1	1	0	2	0	1	4	1	1	1	4	0					
10	Число действительных избирательных бюллетеней	16880	603	576	727	620	726	760	950	735	647	798	835	715	751	61	180	402	88	549	245	59	591	416	273	211	73	484	126	101	127	371	206	342	322	336	222	405	213	339	136	347	212					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	420	10	12	11	6	7	6	5	5	20	13	9	8	23	0	7	18	0	15	32	5	10	15	10	15	5	16	2	3	10	10	5	8	16	22	20	7	7	12	4	10	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	417	10	11	11	6	7	6	5	5	20	13	9	8	23	0	7	18	0	15	32	5	10	15	10	15	5	15	2	3	10	10	5	8	15	22	20	7	7	12	4	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	161	10	4	13	8	7	10	6	6	9	4	6	6	6	0	2	8	0	3	3	3	0	5	9	0	1	2	0	0	3	2	0	6	4	6	1	2	0	6	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
