Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																											
Дата голосования: 04.12.2011																																																																																																																											
																																																																																																																											
Наименование Избирательной комиссии:    Костромская городская																																																																																																																											
																																																																																																																											
Сводная таблица результатов выборов																																																																																																																											
																																																																																																																											
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326					
1	"Число избирателей, внесенных в список избирателей"	225442	249	2315	1572	2097	1711	2130	1959	2267	1844	1801	2612	2301	2293	2063	1469	2556	2186	690	2697	1772	2283	2441	1941	1611	2490	1732	1693	2285	1923	2887	1979	1404	2080	891	974	1997	1885	2701	1319	2029	1803	2582	2442	2896	2855	2408	2101	2030	538	1275	936	2772	1726	1782	2879	1838	2151	2663	1678	2760	1260	2854	1994	2498	2048	2622	1910	1550	530	2897	2790	2831	2842	2875	2761	1990	2181	1724	1622	2288	2047	1899	1966	1894	1162	1907	2562	1282	1110	2105	1523	1086	1319	440	1675	2822	2508	2709	1592	2672	1981	2405	2414	1737	1934	2616	1945	1926	2086	2783	946	1170	1383	61	100	364					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	201100	500	2000	1500	2000	1500	2000	1700	2000	1500	1500	2500	2000	2000	2000	1200	2500	2000	600	2500	1500	2000	2100	1800	1500	2500	1500	1500	2000	1600	2500	1500	1000	2000	700	1000	2000	1500	2500	1000	2000	1500	2500	2000	2500	2500	2000	2000	1500	500	1000	800	2500	1500	1500	2500	1500	2000	2500	1500	2500	1000	2500	1500	2500	2000	2500	1700	1500	500	2500	2500	2500	2500	2500	2500	2000	2000	1500	1500	2000	2000	1600	1500	1500	1000	1500	2500	1000	1000	2000	1500	1000	1000	500	1500	2500	2500	2500	1500	2500	1500	2000	2000	1500	1500	2500	1500	1500	2000	2500	800	1000	1000	500	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	120408	104	1078	786	1017	912	1081	909	1122	921	912	1428	1085	1033	1017	816	1222	979	388	1525	1001	1207	1258	880	859	1462	824	945	1155	946	1618	1053	750	1061	415	557	1044	936	1407	615	1075	1008	1351	1502	1780	1659	1496	1707	1097	288	660	446	1470	1027	983	1521	918	1188	1298	740	1393	484	1253	1094	1469	1151	1362	1143	841	288	1526	1492	1664	1620	1561	1575	1091	1177	962	921	1387	1163	1000	953	975	553	1166	1254	787	642	940	856	547	722	271	847	1481	1409	1607	866	1393	1145	1366	1245	849	1142	1330	1120	1037	1195	1349	505	578	777	15	100	227					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4103	130	14	16	27	29	31	40	96	41	17	35	56	22	13	32	45	36	8	31	13	23	26	30	20	36	17	29	37	25	24	33	32	26	43	10	46	40	44	10	18	14	24	42	20	31	20	64	76	17	20	25	135	29	37	55	28	22	43	52	30	40	86	20	24	29	24	17	28	112	30	25	47	32	28	23	27	47	7	26	45	32	59	40	179	15	34	46	33	15	47	14	19	22	77	36	24	13	23	14	40	23	19	19	21	18	31	20	25	38	78	16	24	20	42	0	125					
6	Число погашенных избирательных бюллетеней	76587	266	908	698	956	559	888	751	782	538	571	1037	859	945	970	352	1233	985	204	944	486	770	816	890	621	1002	659	526	808	629	858	414	218	913	242	433	910	524	1049	375	907	478	1125	456	700	810	483	229	327	195	320	329	895	444	480	924	554	790	1159	708	1077	476	1161	386	1007	820	1114	540	631	100	944	983	789	848	911	902	882	776	531	553	568	805	541	507	346	432	300	1200	180	342	1013	630	434	256	152	617	995	1078	870	620	1067	332	615	736	630	340	1139	360	438	767	1073	279	398	203	443	400	148					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4071	130	14	16	27	29	31	40	96	41	17	35	56	22	13	32	45	36	8	31	13	23	26	30	20	36	17	29	37	25	24	33	32	26	43	10	46	40	44	10	18	14	24	42	20	31	20	64	76	17	20	25	135	29	37	23	28	22	43	52	30	40	86	20	24	29	24	17	28	112	30	25	47	32	28	23	27	47	7	26	45	32	59	40	179	15	34	46	33	15	47	14	19	22	77	36	24	13	23	14	40	23	19	19	21	18	31	20	25	38	78	16	24	20	42	0	125					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	120333	104	1078	786	1017	912	1080	909	1122	921	909	1428	1085	1033	1017	816	1222	979	388	1525	1001	1205	1258	880	859	1462	824	945	1155	946	1618	1053	750	1061	415	557	1044	935	1405	615	1075	1008	1349	1502	1780	1658	1496	1706	1097	288	660	446	1470	1027	979	1521	918	1186	1298	740	1391	482	1252	1094	1469	1151	1359	1142	841	288	1526	1490	1663	1613	1559	1575	1090	1176	960	921	1385	1162	1000	953	975	553	1164	1252	787	642	940	856	547	722	270	845	1479	1409	1604	866	1392	1145	1366	1245	849	1141	1330	1118	1036	1184	1349	505	578	777	15	100	227					
9	Число недействительных избирательных бюллетеней	1502	3	7	9	16	17	11	10	11	15	9	19	10	22	10	8	13	7	2	16	13	10	12	15	10	33	10	10	22	6	10	17	10	14	6	10	10	12	21	7	14	15	17	14	28	35	12	27	12	2	3	4	19	5	12	12	13	12	6	10	15	3	26	17	12	8	11	9	17	10	19	17	16	22	17	28	19	14	19	17	25	16	11	9	11	5	23	13	9	7	8	11	3	9	1	11	22	21	19	12	12	11	22	21	10	13	15	19	13	15	17	4	8	10	0	2	3					
10	Число действительных избирательных бюллетеней	122902	231	1085	793	1028	924	1100	939	1207	947	917	1444	1131	1033	1020	840	1254	1008	394	1540	1001	1218	1272	895	869	1465	831	964	1170	965	1632	1069	772	1073	452	557	1080	963	1428	618	1079	1007	1356	1530	1772	1654	1504	1743	1161	303	677	467	1586	1051	1004	1532	933	1196	1335	782	1406	519	1312	1097	1481	1172	1372	1150	852	390	1537	1498	1694	1623	1570	1570	1098	1209	948	930	1405	1178	1048	984	1143	563	1175	1285	811	650	979	859	563	735	346	870	1481	1401	1608	868	1420	1157	1363	1243	860	1146	1346	1119	1048	1207	1410	517	594	787	57	98	349					
