Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Глинковская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
1	"Число избирателей, внесенных в список избирателей"	4163	134	195	414	1963	473	152	151	105	174	243	159					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3600	130	180	400	1500	450	150	150	100	150	240	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1828	74	97	179	850	180	78	48	47	91	95	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	476	36	59	55	92	60	36	35	15	35	19	34					
6	Число погашенных избирательных бюллетеней	1296	20	24	166	558	210	36	67	38	24	126	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	476	36	59	55	92	60	36	35	15	35	19	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1828	74	97	179	850	180	78	48	47	91	95	89					
9	Число недействительных избирательных бюллетеней	70	0	0	56	12	0	0	0	1	0	1	0					
10	Число действительных избирательных бюллетеней	2234	110	156	178	930	240	114	83	61	126	113	123					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	54	3	3	5	20	5	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	22	0	0	3	14	0	0	0	1	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	4	4	1	18	11	2	2	1	1	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	32	3	3	2	6	5	3	3	2	2	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	255	9	17	24	125	30	6	5	7	7	14	11					
		11.07%	8.18%	10.90%	10.26%	13.27%	12.50%	5.26%	6.02%	11.29%	5.56%	12.28%	8.94%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	273	21	10	25	120	25	8	12	10	13	17	12					
		11.85%	19.09%	6.41%	10.68%	12.74%	10.42%	7.02%	14.46%	16.13%	10.32%	14.91%	9.76%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	0	1	2	9	1	0	0	1	0	2	0					
		0.69%	0.00%	0.64%	0.85%	0.96%	0.42%	0.00%	0.00%	1.61%	0.00%	1.75%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	491	7	27	18	272	60	12	14	16	11	28	26					
		21.31%	6.36%	17.31%	7.69%	28.87%	25.00%	10.53%	16.87%	25.81%	8.73%	24.56%	21.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	4	0	0	18	0	1	0	2	4	2	1					
		1.39%	3.64%	0.00%	0.00%	1.91%	0.00%	0.88%	0.00%	3.23%	3.17%	1.75%	0.81%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1159	69	100	109	381	123	87	52	25	91	49	73					
		50.30%	62.73%	64.10%	46.58%	40.45%	51.25%	76.32%	62.65%	40.32%	72.22%	42.98%	59.35%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	0	1	0	5	1	0	0	0	0	1	0					
		0.35%	0.00%	0.64%	0.00%	0.53%	0.42%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
