Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Борзинская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39047	316	257	244	557	361	290	599	347	520	364	576	671	591	256	486	937	2000	1882	1889	799	1994	288	2538	886	1735	1182	971	1307	1115	977	1566	1385	1288	1517	2590	1163	1629	974									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39200	335	280	255	585	380	310	625	365	515	395	580	730	595	275	515	950	2010	1920	1900	785	1990	285	2520	845	1690	1175	960	1295	1090	975	1545	1380	1285	1500	2585	1155	1640	980									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13460	150	113	82	225	137	174	164	127	285	140	151	175	264	83	234	314	731	745	706	267	770	77	795	202	477	414	305	395	289	258	444	391	276	406	652	381	1457	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	951	20	12	13	21	16	0	110	41	21	17	45	52	17	14	14	14	27	11	36	6	30	10	13	12	50	9	15	14	18	5	11	56	10	63	19	1	104	4									
6	Число погашенных избирательных бюллетеней	24789	165	155	160	339	227	136	351	197	209	238	384	503	314	178	267	622	1252	1164	1158	512	1190	198	1712	631	1163	752	640	886	783	712	1090	933	999	1031	1914	773	79	772									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	951	20	12	13	21	16	0	110	41	21	17	45	52	17	14	14	14	27	11	36	6	30	10	13	12	50	9	15	14	18	5	11	56	10	63	19	1	104	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13460	150	113	82	225	137	174	164	127	285	140	151	175	264	83	234	314	731	745	706	267	770	77	795	202	477	414	305	395	289	258	444	391	276	406	652	381	1457	204									
9	Число недействительных избирательных бюллетеней	426	4	7	0	15	4	3	4	0	15	11	3	9	6	0	15	10	52	11	25	4	30	2	37	10	17	14	5	12	2	7	10	3	12	20	18	12	14	3									
10	Число действительных избирательных бюллетеней	13985	166	118	95	231	149	171	270	168	291	146	193	218	275	97	233	318	706	745	717	269	770	85	771	204	510	409	315	397	305	256	445	444	274	449	653	370	1547	205									
