Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Урванская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299					
1	"Число избирателей, внесенных в список избирателей"	42920	2745	1773	803	892	1858	1696	2549	1556	1665	2648	2070	1023	1111	2920	1666	2084	2115	1563	1901	1683	2013	2256	2330					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43027	2760	1780	810	900	1870	1700	2560	1560	1670	2660	2080	1007	1120	2940	1670	2050	2125	1555	1910	1690	2030	2240	2340					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41567	2650	1748	768	835	1691	1615	2495	1505	1619	2591	2020	1007	1061	2855	1631	2015	2037	1527	1836	1643	1937	2197	2284					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	222	0	0	14	41	89	30	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	24	10					
6	Число погашенных избирательных бюллетеней	1238	110	32	28	24	90	55	65	55	51	69	60	0	59	85	39	35	88	28	72	42	86	19	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	222	0	0	14	41	89	30	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	24	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41567	2650	1748	768	835	1691	1615	2495	1505	1619	2591	2020	1007	1061	2855	1631	2015	2037	1527	1836	1643	1937	2197	2284					
9	Число недействительных избирательных бюллетеней	11	0	3	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	41778	2650	1745	782	872	1780	1645	2495	1505	1619	2591	2020	1003	1061	2855	1631	2015	2037	1527	1838	1648	1944	2221	2294					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	7	6	5	5	6	6	6	6	6	7	6	5	5	7	6	7	7	7	7	7	7	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	46	2	2	0	2	5	3	1	0	0	2	1	0	3	2	3	4	3	2	0	1	3	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	99	5	4	5	3	1	3	5	6	6	5	5	5	2	5	3	3	4	5	7	6	4	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
