Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Пуровская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37715	1146	2668	2288	1808	294	624	1242	2764	3053	2668	2317	2569	2418	1457	2874	3021	1442	2284	290	488									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35650	1300	2500	2300	1650	325	550	1250	2350	2800	2300	2000	2450	2100	1350	2450	3150	1450	2575	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4372	297	546	158	0	79	0	199	0	44	0	0	164	0	0	686	1220	0	727	146	106									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26436	827	1904	1937	1520	214	353	543	1613	2451	2226	1936	1930	1348	1250	1730	1578	1205	1359	139	373									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	120	0	8	5	5	1	2	1	27	1	2	23	1	3	0	4	2	21	14	0	0									
6	Число погашенных избирательных бюллетеней	4722	176	42	200	125	31	195	507	710	304	72	41	355	749	100	30	350	224	475	15	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4440	297	546	163	5	80	2	200	27	1	2	23	165	3	0	690	1222	21	741	146	106									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26200	826	1904	1709	1515	214	353	543	1613	2450	2225	1936	1930	1348	1250	1730	1578	1205	1359	139	373									
9	Число недействительных избирательных бюллетеней	77	2	3	4	7	3	2	10	4	5	3	4	4	6	2	2	2	4	8	1	1									
10	Число действительных избирательных бюллетеней	30563	1121	2447	1868	1513	291	353	733	1636	2446	2224	1955	2091	1345	1248	2418	2798	1222	2092	284	478									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	10	25	25	15	15	10	15	15	30	15	15	30	15	15	25	25	28	50	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	317	4	25	25	15	15	5	11	15	30	15	15	30	15	15	13	18	13	38	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	0	22	5	2	2	2	2	7	3	7	3	14	2	2	17	9	5	4	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	76	6	0	0	0	0	5	4	0	0	0	0	0	0	0	12	7	15	12	5	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	0	0	0	0	0	0	1	7	6	20	4	10	6	16	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	1	1	2	1	1	2	2	11	4	2	1	2	2	1	2	1	1	4	1	1									
		0.14%	0.09%	0.04%	0.11%	0.07%	0.34%	0.56%	0.27%	0.67%	0.16%	0.09%	0.05%	0.10%	0.15%	0.08%	0.08%	0.04%	0.08%	0.19%	0.35%	0.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	82	1	2	3	1	0	14	2	29	3	8	2	3	2	1	2	5	1	1	1	1									
		0.27%	0.09%	0.08%	0.16%	0.07%	0.00%	3.94%	0.27%	1.77%	0.12%	0.36%	0.10%	0.14%	0.15%	0.08%	0.08%	0.18%	0.08%	0.05%	0.35%	0.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	47	1	2	2	1	3	2	2	12	2	5	1	2	2	1	2	1	2	2	1	1									
		0.15%	0.09%	0.08%	0.11%	0.07%	1.02%	0.56%	0.27%	0.73%	0.08%	0.22%	0.05%	0.10%	0.15%	0.08%	0.08%	0.04%	0.16%	0.10%	0.35%	0.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24548	1068	1784	1496	1214	225	287	592	1309	1955	1782	1588	1692	1087	1014	1962	2083	1004	1670	271	465									
		80.12%	95.10%	72.82%	79.91%	79.87%	76.53%	80.85%	79.68%	79.82%	79.76%	80.02%	81.06%	80.76%	80.46%	81.12%	81.07%	74.39%	81.89%	79.52%	95.09%	97.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	1	1	2	1	0	0	1	5	3	3	1	1	1	1	1	1	1	2	1	1									
		0.09%	0.09%	0.04%	0.11%	0.07%	0.00%	0.00%	0.13%	0.30%	0.12%	0.13%	0.05%	0.05%	0.07%	0.08%	0.04%	0.04%	0.08%	0.10%	0.35%	0.21%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	1	1	2	1	0	0	0	4	5	7	1	1	2	1	1	2	2	1	1	1									
		0.11%	0.09%	0.04%	0.11%	0.07%	0.00%	0.00%	0.00%	0.24%	0.20%	0.31%	0.05%	0.05%	0.15%	0.08%	0.04%	0.07%	0.16%	0.05%	0.35%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2144	25	163	117	99	42	26	58	115	198	170	151	164	106	75	141	150	85	257	1	1									
		6.99%	2.23%	6.65%	6.25%	6.51%	14.29%	7.32%	7.81%	7.01%	8.08%	7.63%	7.71%	7.83%	7.85%	6.00%	5.83%	5.36%	6.93%	12.24%	0.35%	0.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	2	2	1	3	2	0	5	3	12	10	2	5	4	1	1	1	2	1	1	1									
		0.19%	0.18%	0.08%	0.05%	0.20%	0.68%	0.00%	0.67%	0.18%	0.49%	0.45%	0.10%	0.24%	0.30%	0.08%	0.04%	0.04%	0.16%	0.05%	0.35%	0.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	2	2	2	1	0	0	4	5	3	3	1	1	1	2	1	3	1	1	1	1									
		0.11%	0.18%	0.08%	0.11%	0.07%	0.00%	0.00%	0.54%	0.30%	0.12%	0.13%	0.05%	0.05%	0.07%	0.16%	0.04%	0.11%	0.08%	0.05%	0.35%	0.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	1	1	1	1	0	0	0	2	2	5	1	2	2	1	2	1	2	1	1	1									
		0.09%	0.09%	0.04%	0.05%	0.07%	0.00%	0.00%	0.00%	0.12%	0.08%	0.22%	0.05%	0.10%	0.15%	0.08%	0.08%	0.04%	0.16%	0.05%	0.35%	0.21%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	2	1	2	1	0	0	3	7	16	35	6	6	10	2	2	2	1	2	1	1									
		0.33%	0.18%	0.04%	0.11%	0.07%	0.00%	0.00%	0.40%	0.43%	0.65%	1.57%	0.31%	0.29%	0.74%	0.16%	0.08%	0.07%	0.08%	0.10%	0.35%	0.21%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1127	11	145	72	60	13	14	52	65	119	98	99	4	63	68	71	74	38	59	1	1									
		3.68%	0.98%	5.92%	3.85%	3.95%	4.42%	3.94%	6.99%	3.96%	4.86%	4.40%	5.05%	0.19%	4.66%	5.44%	2.93%	2.64%	3.10%	2.81%	0.35%	0.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	1	1	1	2	1	0	5	4	9	7	3	6	2	1	1	2	1	1	1	1									
		0.16%	0.09%	0.04%	0.05%	0.13%	0.34%	0.00%	0.67%	0.24%	0.37%	0.31%	0.15%	0.29%	0.15%	0.08%	0.04%	0.07%	0.08%	0.05%	0.35%	0.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2239	4	341	165	127	4	8	7	65	115	89	98	202	61	79	229	472	81	90	1	1									
		7.31%	0.36%	13.92%	8.81%	8.36%	1.36%	2.25%	0.94%	3.96%	4.69%	3.99%	5.00%	9.64%	4.52%	6.32%	9.46%	16.86%	6.61%	4.29%	0.35%	0.21%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
