Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Невельская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107					
1	"Число избирателей, внесенных в список избирателей"	14694	173	1984	2014	1980	2187	300	1225	909	1492	628	1802					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14170	170	1950	2000	1900	2100	300	1100	900	1400	550	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	53	0	0	0	8	0	0	0	0	0	45	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6399	117	908	896	875	982	168	483	397	497	332	744					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	501	22	46	36	14	106	7	63	43	91	35	38					
6	Число погашенных избирательных бюллетеней	7217	31	996	1068	1003	1012	125	554	460	812	138	1018					
7	Число избирательных бюллетеней в переносных ящиках для голосования	554	22	46	36	22	106	7	63	43	91	80	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6399	117	908	896	875	982	168	483	397	497	332	744					
9	Число недействительных избирательных бюллетеней	123	2	12	23	16	14	4	9	7	12	8	16					
10	Число действительных избирательных бюллетеней	6830	137	942	909	881	1074	171	537	433	576	404	766					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	20	40	40	30	40	20	30	30	30	40	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	122	6	18	14	21	23	1	3	5	2	6	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	2	16	12	16	17	4	2	3	1	4	8					
14	Число погашенных неиспользованных открепительных удостоверений	228	14	22	26	9	17	19	27	25	28	34	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	2	5	1	0	0	0	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	791	17	116	95	91	125	19	80	52	71	36	89					
		11.38%	12.23%	12.16%	10.19%	10.14%	11.49%	10.86%	14.65%	11.82%	12.07%	8.74%	11.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1076	21	167	138	134	175	22	69	77	103	67	103					
		15.48%	15.11%	17.51%	14.81%	14.94%	16.08%	12.57%	12.64%	17.50%	17.52%	16.26%	13.17%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	1	13	11	8	14	0	6	7	3	1	7					
		1.02%	0.72%	1.36%	1.18%	0.89%	1.29%	0.00%	1.10%	1.59%	0.51%	0.24%	0.90%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1231	30	149	187	152	196	33	126	73	83	66	136					
		17.70%	21.58%	15.62%	20.06%	16.95%	18.01%	18.86%	23.08%	16.59%	14.12%	16.02%	17.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	160	2	23	21	28	18	4	14	6	12	13	19					
		2.30%	1.44%	2.41%	2.25%	3.12%	1.65%	2.29%	2.56%	1.36%	2.04%	3.16%	2.43%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3473	66	470	454	459	542	92	241	216	303	221	409					
		49.95%	47.48%	49.27%	48.71%	51.17%	49.82%	52.57%	44.14%	49.09%	51.53%	53.64%	52.30%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	0	4	3	9	4	1	1	2	1	0	3					
		0.40%	0.00%	0.42%	0.32%	1.00%	0.37%	0.57%	0.18%	0.45%	0.17%	0.00%	0.38%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
