Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Невельская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в списки избирателей"	17846	215	2311	2272	1478	1245	1500	1520	2249	298	1286	1219	1398	855					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16900	200	2200	2150	1400	1200	1450	1500	2100	300	1200	1100	1300	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	49	0	0	0	0	9	0	0	0	0	0	0	0	40					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7836	118	989	1027	680	525	591	727	901	168	569	532	566	443					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	415	33	81	15	12	16	13	13	47	21	60	53	24	27					
6	Число погашенных избирательных бюллетеней	8600	49	1130	1108	708	650	846	760	1152	111	571	515	710	290					
7	Число избирательных бюллетеней в переносных ящиках для голосования	464	33	81	15	12	25	13	13	47	21	60	53	24	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7836	118	989	1027	680	525	591	727	901	168	569	532	566	443					
9	Число недействительных избирательных бюллетеней	145	4	23	16	11	11	9	14	19	6	8	5	5	14					
10	Число действительных избирательных бюллетеней	8155	147	1047	1026	681	539	595	726	929	183	621	580	585	496					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1200	25	100	100	150	150	150	150	150	25	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	199	11	18	21	16	44	23	15	15	4	9	3	2	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	65	5	5	9	6	6	3	3	8	6	4	7	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	1001	14	82	79	134	106	127	135	135	21	41	47	48	32					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	109	2	4	8	13	33	32	5	12	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	87	0	4	9	7	5	4	8	12	8	8	7	10	5					
		1.05%	0.00%	0.37%	0.86%	1.01%	0.91%	0.66%	1.08%	1.27%	4.23%	1.27%	1.20%	1.69%	0.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	80	0	16	9	8	7	4	7	18	1	4	2	2	2					
		0.96%	0.00%	1.50%	0.86%	1.16%	1.27%	0.66%	0.95%	1.90%	0.53%	0.64%	0.34%	0.34%	0.39%					
20	3.Политическая партия «Демократическая партия России»	8	0	1	0	0	2	2	0	0	1	1	0	1	0					
		0.10%	0.00%	0.09%	0.00%	0.00%	0.36%	0.33%	0.00%	0.00%	0.53%	0.16%	0.00%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	876	17	104	118	83	42	82	93	76	15	82	47	57	60					
		10.55%	11.26%	9.72%	11.32%	11.99%	7.64%	13.58%	12.57%	8.02%	7.94%	13.04%	8.03%	9.66%	11.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	32	0	5	8	3	6	3	1	4	0	1	0	0	1					
		0.39%	0.00%	0.47%	0.77%	0.43%	1.09%	0.50%	0.14%	0.42%	0.00%	0.16%	0.00%	0.00%	0.20%					
23	6.Политическая партия «Партия социальной справедливости»	13	0	1	0	1	3	2	0	1	0	1	1	1	2					
		0.16%	0.00%	0.09%	0.00%	0.14%	0.55%	0.33%	0.00%	0.11%	0.00%	0.16%	0.17%	0.17%	0.39%					
24	7.Политическая партия «Либерально-демократическая партия России»	728	11	106	87	77	57	55	61	93	9	52	44	39	37					
		8.77%	7.28%	9.91%	8.35%	11.13%	10.36%	9.11%	8.24%	9.81%	4.76%	8.27%	7.52%	6.61%	7.25%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	518	10	58	71	39	30	40	70	54	9	44	24	47	22					
		6.24%	6.62%	5.42%	6.81%	5.64%	5.45%	6.62%	9.46%	5.70%	4.76%	6.99%	4.10%	7.97%	4.31%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	55	0	7	6	4	5	5	3	7	1	4	5	2	6					
		0.66%	0.00%	0.65%	0.58%	0.58%	0.91%	0.83%	0.41%	0.74%	0.53%	0.64%	0.85%	0.34%	1.18%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5686	109	739	707	453	378	390	476	654	139	416	449	424	352					
		68.51%	72.19%	69.07%	67.85%	65.46%	68.73%	64.57%	64.32%	68.99%	73.54%	66.14%	76.75%	71.86%	69.02%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	72	0	6	11	6	4	8	7	10	0	8	1	2	9					
		0.87%	0.00%	0.56%	1.06%	0.87%	0.73%	1.32%	0.95%	1.05%	0.00%	1.27%	0.17%	0.34%	1.76%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
