Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Юбилейная городская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244					
1	"Число избирателей, внесенных в списки"	26066	2096	2733	2451	2794	2754	2761	2331	2744	2711	2691					
2	"Число бюллетеней, полученных участковыми комиссиями"	26000	2089	2713	2472	2794	2770	2760	2317	2744	2734	2607					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15037	1161	1310	1575	1655	1792	1672	1396	1331	1594	1551					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	148	14	23	15	14	14	9	11	21	14	13					
6	Число погашенных бюллетеней	10805	904	1380	882	1125	964	1079	909	1393	1126	1043					
7	Число бюллетеней в переносных ящиках для голосования	148	14	23	15	14	14	9	11	21	14	13					
8	Число бюллетеней в стационарных ящиках для голосования	14969	1160	1305	1571	1654	1786	1680	1391	1278	1593	1551					
9	Число недействительных бюллетеней	134	9	17	17	9	9	34	6	13	12	8					
10	Число действительных бюллетеней	14983	1165	1311	1569	1659	1791	1655	1396	1286	1595	1556					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	991	100	100	100	100	100	100	100	100	100	91					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	169	9	13	25	15	21	14	15	14	32	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	10	10	12	5	13	6	4	8	12	9					
14	Число погашенных открепительных удостоверений	822	91	87	75	85	79	86	85	86	68	80					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	0	3	2	0	1	1	2					
16	Число утраченных бюллетеней	11	10	0	0	0	0	0	1	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	1	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	93	4	10	11	7	17	9	1	11	12	11					
		0.61%	0.34%	0.75%	0.69%	0.41%	0.94%	0.53%	0.07%	0.84%	0.74%	0.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1248	89	66	135	143	131	175	133	101	114	161					
		8.25%	7.58%	4.96%	8.51%	8.57%	7.27%	10.36%	9.48%	7.77%	7.09%	10.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	297	30	28	36	29	25	32	28	26	32	31					
		1.96%	2.55%	2.10%	2.26%	1.73%	1.38%	1.89%	1.99%	2.00%	1.99%	1.98%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1318	117	85	120	142	137	160	156	95	144	162					
		8.71%	9.96%	6.40%	7.56%	8.51%	7.61%	9.47%	11.12%	7.31%	8.96%	10.35%					
22	"5. ""За Русь Святую"""	58	4	9	1	11	8	2	6	7	5	5					
		0.38%	0.34%	0.67%	0.06%	0.65%	0.44%	0.11%	0.42%	0.53%	0.31%	0.31%					
23	"6. ""Объединенная Российская партия ""Русь"""	71	4	5	8	12	6	6	2	8	7	13					
		0.46%	0.34%	0.37%	0.50%	0.71%	0.33%	0.35%	0.14%	0.61%	0.43%	0.83%					
24	"7. ""Новый курс - Автомобильная Россия"""	235	15	27	16	42	21	25	18	23	22	26					
		1.55%	1.27%	2.03%	1.00%	2.51%	1.16%	1.48%	1.28%	1.77%	1.36%	1.66%					
25	"8. ""Народно-республиканская партия России"""	14	0	2	0	4	0	2	1	0	5	0					
		0.09%	0.0%	0.15%	0.0%	0.23%	0.0%	0.11%	0.07%	0.0%	0.31%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	133	11	17	6	16	18	21	12	10	12	10					
		0.87%	0.93%	1.28%	0.37%	0.95%	1.0%	1.24%	0.85%	0.76%	0.74%	0.63%					
27	"10. ""Аграрная партия России"""	277	21	22	29	29	51	23	21	24	26	31					
		1.83%	1.78%	1.65%	1.82%	1.73%	2.83%	1.36%	1.49%	1.84%	1.61%	1.98%					
28	"11. ""Истинные патриоты России"""	9	2	1	0	0	0	1	0	2	0	3					
		0.05%	0.17%	0.07%	0.0%	0.0%	0.0%	0.05%	0.0%	0.15%	0.0%	0.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	183	5	16	14	16	22	24	12	21	31	22					
		1.21%	0.42%	1.20%	0.88%	0.95%	1.22%	1.42%	0.85%	1.61%	1.92%	1.40%					
30	"13. ""Демократическая партия России"""	13	2	1	1	0	4	4	0	0	1	0					
		0.08%	0.17%	0.07%	0.06%	0.0%	0.22%	0.23%	0.0%	0.0%	0.06%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	2	4	1	4	3	2	4	2	0					
		0.14%	0.0%	0.15%	0.25%	0.05%	0.22%	0.17%	0.14%	0.30%	0.12%	0.0%					
32	"15. ""Партия СЛОН"""	23	3	2	1	4	2	2	4	1	4	0					
		0.15%	0.25%	0.15%	0.06%	0.23%	0.11%	0.11%	0.28%	0.07%	0.24%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3130	221	282	373	424	387	310	292	210	335	296					
		20.70%	18.82%	21.23%	23.51%	25.41%	21.5%	18.35%	20.82%	16.16%	20.84%	18.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	1	2	0	2	1	0	0	1	0	1					
		0.05%	0.08%	0.15%	0.0%	0.11%	0.05%	0.0%	0.0%	0.07%	0.0%	0.06%					
35	"18. ""ЛДПР"""	846	60	107	80	78	64	100	85	92	95	85					
		5.59%	5.11%	8.05%	5.04%	4.67%	3.55%	5.92%	6.06%	7.08%	5.91%	5.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	140	11	11	12	13	15	16	17	9	14	22					
		0.92%	0.93%	0.82%	0.75%	0.77%	0.83%	0.94%	1.21%	0.69%	0.87%	1.40%					
37	"20. ""Политическая партия ""Единая Россия"""	3669	327	333	361	360	396	411	336	354	414	377					
		24.27%	27.85%	25.07%	22.76%	21.58%	22.0%	24.33%	23.96%	27.25%	25.76%	24.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	0	1	0	2	2	2	0	2	3					
		0.07%	0.0%	0.0%	0.06%	0.0%	0.11%	0.11%	0.14%	0.0%	0.12%	0.19%					
39	"22. ""Развитие предпринимательства"""	106	11	13	8	10	15	16	6	11	6	10					
		0.70%	0.93%	0.97%	0.50%	0.59%	0.83%	0.94%	0.42%	0.84%	0.37%	0.63%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2233	169	207	280	215	385	218	169	175	222	193					
		14.77%	14.39%	15.58%	17.65%	12.88%	21.38%	12.90%	12.05%	13.47%	13.81%	12.34%					
																	
41	Против всех	845	58	63	72	101	80	93	93	101	90	94					
		5.58%	4.94%	4.74%	4.53%	6.05%	4.44%	5.50%	6.63%	7.77%	5.60%	6.01%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
