Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Шадринская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22697	211	182	154	1172	167	198	191	168	952	276	378	308	1187	340	443	785	600	177	331	768	177	441	321	513	149	527	1290	748	354	199	155	481	562	1329	740	715	510	138	302	614	308	203	124	476	1171	177	332	288	265	100									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23300	224	193	160	1200	175	201	200	176	995	283	396	318	1227	355	453	805	619	180	343	773	181	456	331	526	157	540	1300	758	371	198	176	489	587	1343	746	736	516	142	309	628	325	213	132	475	1199	193	346	289	266	96									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10891	122	96	86	460	95	108	104	86	442	133	151	134	434	169	248	396	314	75	142	382	67	203	139	255	83	286	490	394	170	89	87	222	329	552	343	353	322	70	137	392	214	107	70	248	467	98	197	157	118	55									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1783	3	8	23	131	7	9	8	1	23	9	48	51	36	43	34	86	28	20	48	23	83	37	17	29	30	18	168	32	23	25	14	9	10	27	18	45	47	31	56	50	48	18	9	25	106	32	30	56	49	2									
6	Число погашенных избирательных бюллетеней	10626	99	89	51	609	73	84	88	89	530	141	197	133	757	143	171	323	277	85	153	368	31	216	175	242	44	236	642	332	178	84	75	258	248	764	385	338	147	41	116	186	63	88	53	202	626	63	119	76	99	39									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1783	3	8	23	131	7	9	8	1	23	9	48	51	36	43	34	86	28	20	48	23	83	37	17	29	30	18	168	32	23	25	14	9	10	27	18	45	47	31	56	50	48	18	9	25	106	32	30	56	49	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10891	122	96	86	460	95	108	104	86	442	133	151	134	434	169	248	396	314	75	142	382	67	203	139	255	83	286	490	394	170	89	87	222	329	552	343	353	322	70	137	392	214	107	70	248	467	98	197	157	118	55									
9	Число недействительных избирательных бюллетеней	151	0	2	5	4	1	0	1	1	10	2	2	1	12	6	6	2	3	1	1	8	2	2	2	2	0	3	1	1	3	0	2	0	4	9	7	6	10	0	1	9	0	2	0	2	4	1	2	4	3	1									
10	Число действительных избирательных бюллетеней	12523	125	102	104	587	101	117	111	86	455	140	197	184	458	206	276	480	339	94	189	397	148	238	154	282	113	301	657	425	190	114	99	231	335	570	354	392	359	101	192	433	262	123	79	271	569	129	225	209	164	56									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	10	5	3	10	6	4	10	6	19	3	10	5	15	14	7	15	11	2	10	13	5	15	4	14	5	10	18	15	10	5	19	10	25	18	10	10	6	3	5	18	10	10	5	10	18	12	10	7	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	425	10	3	3	10	6	3	10	6	19	3	10	5	10	14	7	15	11	2	10	4	5	15	4	14	5	6	8	5	10	5	19	10	25	18	5	10	6	1	0	18	10	10	5	8	7	12	10	3	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	4	2	1	5	0	3	3	2	4	1	2	2	2	2	2	1	2	2	2	5	0	6	5	3	1	2	7	1	0	4	3	3	5	3	2	0	3	1	0	1	2	0	3	3	3	2	5	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	75	0	2	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	4	10	10	0	0	0	0	0	0	5	0	0	2	5	0	0	0	0	2	11	0	0	4	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	1	0	1	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	149	1	1	3	4	0	2	1	0	4	0	0	1	11	2	5	3	5	0	2	8	1	0	2	9	1	3	10	3	1	2	1	4	8	10	5	6	1	1	2	2	0	2	2	2	12	2	2	2	0	0									
		1.18%	0.80%	0.96%	2.75%	0.68%	0.00%	1.71%	0.89%	0.00%	0.86%	0.00%	0.00%	0.54%	2.34%	0.94%	1.77%	0.62%	1.46%	0.00%	1.05%	1.98%	0.67%	0.00%	1.28%	3.17%	0.88%	0.99%	1.52%	0.70%	0.52%	1.75%	0.99%	1.73%	2.36%	1.73%	1.39%	1.51%	0.27%	0.99%	1.04%	0.45%	0.00%	1.60%	2.53%	0.73%	2.09%	1.54%	0.88%	0.94%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	261	2	2	1	16	0	1	0	0	14	3	1	1	10	6	9	5	4	2	2	8	5	4	4	5	0	17	15	7	3	4	1	1	7	13	6	13	3	1	4	21	2	4	1	5	19	1	3	4	1	0									
