Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Ишимбайская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68978	1899	2324	1331	1359	201	1916	856	1279	1198	1948	1940	703	1117	1576	1631	1483	1532	807	1051	1590	1960	1455	1781	738	1554	1434	1711	1020	1124	1125	1634	585	304	484	650	195	385	690	571	758	194	315	579	779	446	281	962	1153	736	1027	324	508	343	314	692	289	423	206	1102	632	197	485	224	829	521	368	281	595	772	794	1089	983	1028	560	1048									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68505	1860	2300	1300	1360	185	1890	840	1250	1175	1900	1900	680	1105	1575	1585	1455	1550	795	1045	1565	1930	1435	1695	730	1540	1405	1675	1010	1095	1005	1585	585	295	489	673	228	407	716	586	773	194	325	659	791	464	292	968	1171	834	1041	321	525	347	304	694	293	424	205	1126	638	197	485	219	907	529	386	282	605	770	760	1065	975	1000	537	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48842	1554	2081	952	1050	111	1790	721	472	734	1320	792	493	865	484	1069	1149	1133	659	765	894	1666	1065	1464	574	665	963	1146	902	907	766	871	351	192	434	503	172	249	586	517	627	89	258	461	588	341	200	341	470	529	856	133	396	231	300	608	279	375	149	991	541	154	403	188	440	445	272	206	394	503	320	949	793	721	427	783									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4211	6	20	263	173	10	10	31	18	183	135	10	73	41	57	20	78	56	39	35	324	30	34	28	44	54	60	13	71	31	22	81	60	11	14	65	23	20	38	29	54	22	12	11	62	39	35	60	76	104	24	60	65	30	0	40	5	16	9	42	50	24	48	5	122	19	35	40	91	59	200	21	81	104	44	192									
6	Число погашенных избирательных бюллетеней	15452	300	199	85	137	64	90	88	760	258	445	1098	114	199	1034	496	228	361	97	245	347	234	336	203	112	821	382	516	37	157	217	633	174	92	41	105	33	138	92	40	92	83	55	187	141	84	57	567	625	201	161	128	64	86	4	46	9	33	47	93	47	19	34	26	345	65	79	36	120	208	240	95	101	175	66	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4211	6	20	263	173	10	10	31	18	183	135	10	73	41	57	20	78	56	39	35	324	30	34	28	44	54	60	13	71	31	22	81	60	11	14	65	23	20	38	29	54	22	12	11	62	39	35	60	76	104	24	60	65	30	0	40	5	16	9	42	50	24	48	5	122	19	35	40	91	59	200	21	81	104	44	192									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48832	1554	2081	952	1050	111	1790	721	472	734	1320	782	493	865	484	1069	1149	1133	659	765	894	1666	1065	1464	574	665	963	1146	902	907	766	871	351	192	434	503	172	249	586	517	627	89	258	461	588	341	200	341	470	529	856	133	396	231	300	608	279	375	149	991	541	154	403	188	440	445	272	206	394	503	320	949	793	721	427	783									
9	Число недействительных избирательных бюллетеней	419	0	11	4	5	0	10	0	9	2	20	35	7	0	8	34	3	6	0	15	11	0	0	12	0	0	5	12	0	11	8	20	0	2	1	7	0	0	4	0	4	2	0	25	9	3	2	15	11	25	12	0	0	0	2	0	0	0	6	4	0	0	0	0	7	3	1	0	4	2	2	7	0	3	3	5									
10	Число действительных избирательных бюллетеней	52624	1560	2090	1211	1218	121	1790	752	481	915	1435	757	559	906	533	1055	1224	1183	698	785	1207	1696	1099	1480	618	719	1018	1147	973	927	780	932	411	201	447	561	195	269	620	546	677	109	270	447	641	377	233	386	535	608	868	193	461	261	298	648	284	391	152	1029	591	178	451	193	555	461	306	246	481	560	518	963	874	822	468	970									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	10	10	10	10	0	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10	10	5	10	10	15	15	15	15	4	5	8	5	5	10	10	2	10	19	10	10	2	2	7	8	10	5	10	10	10	5	6	16	5	5	10	5	5	2	25	10	0	10	2	10	5	5	2	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	440	5	10	3	10	0	6	5	5	2	7	4	6	5	5	8	10	5	1	4	5	8	4	3	2	15	15	4	15	3	0	8	5	5	10	10	1	10	19	10	10	2	0	7	1	10	5	10	10	10	5	6	16	5	0	2	5	1	2	25	0	0	1	0	10	5	5	0	10	0	3	5	1	3	2	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	135	1	3	4	0	2	0	0	2	0	1	2	2	2	0	3	0	5	2	1	4	1	1	1	1	0	3	1	1	2	0	6	2	4	0	0	0	2	1	2	2	0	0	2	4	1	1	1	5	7	1	4	0	4	9	4	1	0	1	3	2	0	0	2	1	0	0	4	4	0	1	0	0	0	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	220	5	0	7	0	0	4	5	5	8	3	11	4	5	5	2	0	5	9	6	5	2	1	7	8	0	0	11	0	1	5	0	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	5	8	0	4	0	0	10	0	9	2	0	0	0	2	0	10	7	5	9	7	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	135	5	11	6	4	0	4	1	2	0	6	6	0	2	5	6	2	5	2	4	4	5	4	2	4	2	0	2	5	0	4	3	1	0	0	1	0	0	0	1	0	1	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	2	2	2	2	3	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	173	0	4	0	2	0	0	0	7	6	12	0	5	0	5	17	0	0	2	1	4	6	0	0	0	0	5	20	0	0	3	6	1	0	0	5	0	0	2	0	0	1	0	2	0	5	2	4	2	2	0	0	0	1	0	8	0	0	0	0	0	0	0	0	2	1	0	0	5	1	2	9	1	0	12	0									
