Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Краснооктябрьская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1040	УИК №1041	УИК №1042	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054					
1	"Число избирателей, внесенных в список избирателей"	9677	123	119	1214	554	388	170	127	233	157	156	108	87	375	730	360	286	99	125	431	355	1626	234	200	122	212	180	426	480					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9620	120	120	1200	550	380	160	120	240	160	150	110	90	370	730	360	280	100	120	440	350	1610	230	200	120	220	180	420	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4754	59	64	549	276	186	80	73	124	89	87	47	30	197	393	177	118	53	60	243	197	784	110	122	65	116	71	173	211					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	482	10	10	19	10	23	13	5	22	15	11	14	14	7	22	31	62	5	13	10	17	58	16	14	9	2	6	30	14					
6	Число погашенных избирательных бюллетеней	4384	51	46	632	264	171	67	42	94	56	52	49	46	166	315	152	100	42	47	187	136	768	104	64	46	102	103	217	265					
7	Число избирательных бюллетеней в переносных ящиках для голосования	481	10	10	19	10	23	13	5	22	15	11	14	14	7	22	31	62	5	13	10	17	57	16	14	9	2	6	30	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4753	59	64	549	276	186	80	73	124	89	87	47	30	197	393	177	118	53	60	243	197	783	110	122	65	116	71	173	211					
9	Число недействительных избирательных бюллетеней	103	0	0	23	12	3	10	0	1	2	0	0	0	6	3	2	4	1	1	3	1	10	2	2	4	4	0	0	9					
10	Число действительных избирательных бюллетеней	5131	69	74	545	274	206	83	78	145	102	98	61	44	198	412	206	176	57	72	250	213	830	124	134	70	114	77	203	216					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	10	10	30	20	10	10	10	10	10	10	10	10	10	20	20	10	10	10	15	15	50	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	29	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	3	18	0	0	1	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	1	1	2	0	2	0	1	0	1	3	0	3	4	3	1	2	1	0	2	2	8	2	2	1	0	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	351	10	10	30	20	10	10	9	8	9	10	10	10	10	20	20	10	10	10	15	12	32	10	10	9	10	7	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	325	8	7	32	15	10	12	3	12	7	9	3	5	18	24	18	9	9	1	18	11	38	7	4	3	8	4	9	21					
		6.21%	11.59%	9.46%	5.63%	5.24%	4.78%	12.90%	3.85%	8.22%	6.73%	9.18%	4.92%	11.36%	8.82%	5.78%	8.65%	5.00%	15.52%	1.37%	7.11%	5.14%	4.52%	5.56%	2.94%	4.05%	6.78%	5.19%	4.43%	9.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	218	3	7	8	5	5	1	0	14	14	6	3	3	10	44	22	3	4	0	8	3	32	3	2	1	3	2	6	6					
		4.17%	4.35%	9.46%	1.41%	1.75%	2.39%	1.08%	0.00%	9.59%	13.46%	6.12%	4.92%	6.82%	4.90%	10.60%	10.58%	1.67%	6.90%	0.00%	3.16%	1.40%	3.81%	2.38%	1.47%	1.35%	2.54%	2.60%	2.96%	2.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	0	0	7	0	1	0	0	2	1	2	1	1	1	1	3	1	0	1	2	0	3	1	1	0	2	0	1	0					
		0.61%	0.00%	0.00%	1.23%	0.00%	0.48%	0.00%	0.00%	1.37%	0.96%	2.04%	1.64%	2.27%	0.49%	0.24%	1.44%	0.56%	0.00%	1.37%	0.79%	0.00%	0.36%	0.79%	0.74%	0.00%	1.69%	0.00%	0.49%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1936	26	12	177	76	46	13	24	40	16	23	21	11	66	149	74	63	9	35	89	83	503	44	57	25	56	36	72	90					
