Выборы Президента Российской Федерации																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Хабаровск, Индустриальная"																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список"	155402	2601	1327	2215	2145	248	421	2570	1699	2604	2132	2479	2700	2482	2745	2597	787	2561	1713	1925	2429	2638	2562	2537	2390	2491	2800	1887	2086	1714	1569	2469	111	2358	2223	2645	2177	2786	1867	2551	2390	58	2398	2131	2663	2285	2425	2453	1880	2781	2205	2416	2666	1811	2505	1953	2162	2222	2641	2105	43	1622	2445	2607	2737	1742	872	1674	316	2380	2910	2429	2746	2843	1317	328					
2	Число полученных избирательных бюллетеней	152322	2600	1300	2200	2100	260	428	2500	1600	2600	2200	2400	2600	2500	2700	2500	770	2500	1700	2000	2300	2600	2500	2500	2400	2500	2700	1900	2000	1500	1500	2400	102	2300	2200	2600	2100	2800	1700	2500	2200	59	2350	2200	2600	2200	2400	2400	1800	2800	2200	2400	2600	1800	2600	1930	2100	2200	2600	2100	43	1600	2400	2500	2700	1600	900	1650	310	2300	2800	2200	2800	2800	1300	320					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	91920	1588	838	1372	1340	169	335	1586	982	1616	1234	1554	1565	1572	1596	1578	367	1624	1020	1169	1472	1641	1585	1706	1464	1427	1827	911	1178	1112	823	1430	71	1348	1138	1316	1270	1572	1068	1597	1317	58	1488	1328	1563	1384	1360	1478	1083	1461	1273	1369	1488	1130	1513	1180	1270	1254	1664	1018	43	838	1442	1527	1580	1163	332	711	153	1187	1907	2069	1550	1764	720	194					
5	"Число избирательных бюллетеней, выданных вне помещения"	4365	70	31	42	57	79	86	59	39	41	61	58	64	68	91	102	37	45	51	33	45	50	78	39	53	73	62	55	36	39	45	69	27	44	67	56	84	46	39	94	77	0	75	56	44	22	71	70	42	70	57	38	91	20	44	29	50	66	23	132	0	62	63	43	54	95	107	133	148	70	45	52	64	58	61	18					
6	Число погашенных избирательных бюллетеней	56037	942	431	786	703	12	7	855	579	943	905	788	971	860	1013	820	366	831	629	798	783	909	837	755	883	1000	811	934	786	349	632	901	4	908	995	1228	746	1182	593	809	806	1	787	816	993	794	969	852	675	1269	870	993	1021	650	1043	721	780	880	913	950	0	700	895	930	1066	342	461	806	9	1043	848	79	1186	978	519	108					
7	Число избирательных бюллетеней в переносных ящиках	4364	70	31	42	57	79	85	59	39	41	61	58	64	68	91	102	37	45	51	33	45	50	78	39	53	73	62	55	36	39	45	69	27	44	67	56	84	46	39	94	77	0	75	56	44	22	71	70	42	70	57	38	91	20	44	29	50	66	23	132	0	62	63	43	54	95	107	133	148	70	45	52	64	58	61	18					
8	Число бюллетеней в стационарных ящиках для голосования	91764	1587	838	1367	1340	169	335	1585	943	1616	1234	1554	1565	1572	1596	1576	366	1624	1020	1169	1471	1591	1584	1705	1460	1427	1815	911	1178	1099	823	1430	71	1348	1138	1316	1269	1572	1064	1597	1316	58	1488	1328	1563	1384	1359	1473	1080	1461	1271	1366	1486	1129	1513	1180	1270	1254	1664	1018	43	838	1442	1527	1580	1162	332	711	153	1187	1907	2069	1550	1764	719	194					
9	Число недействительных избирательных бюллетеней	941	3	7	8	17	2	1	14	5	12	9	15	24	27	28	22	5	8	13	10	17	13	16	23	22	19	14	9	12	23	8	25	1	15	23	8	19	22	13	18	9	0	12	5	9	10	14	12	5	5	8	23	19	8	13	14	14	22	24	3	0	17	8	25	9	9	3	3	3	9	16	21	13	16	6	4					
10	Число действительных избирательных бюллетеней	95187	1654	862	1401	1380	246	419	1630	977	1645	1286	1597	1605	1613	1659	1656	398	1661	1058	1192	1499	1628	1646	1721	1491	1481	1863	957	1202	1115	860	1474	97	1377	1182	1364	1334	1596	1090	1673	1384	58	1551	1379	1598	1396	1416	1531	1117	1526	1320	1381	1558	1141	1544	1195	1306	1298	1663	1147	43	883	1497	1545	1625	1248	436	841	298	1248	1936	2100	1601	1806	774	208					
