Выборы Президента Российской Федерации																																																																																					
Дата голосования: 02.03.2008																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Хабаровск, Индустриальная"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
	Число участковых избирательных комиссий	78																																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	78																																																																																			
																																																																																					
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130					
1	"Число избирателей, включенных в списки избирателей"	153635	1579	1925	1585	2197	305	431	2409	1482	2512	1902	2070	2500	2499	2600	2753	686	2539	1653	1812	2408	2475	2381	2425	2430	2442	2596	2147	2130	1564	1502	2396	199	2482	2198	2613	2116	2727	1706	2494	2237	1716	2487	2142	2597	2169	2334	2362	1889	2776	2200	2313	2577	1977	2499	2037	2122	1914	2454	741	31	1776	2355	2373	2792	1063	965	1674	265	2643	2436	2020	2762	2784	1422	303	1012	655	1891					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	145661	1400	1800	1500	2000	313	440	2300	1400	2400	1800	2000	2400	2400	2500	2500	700	2400	1500	1700	2200	2300	2300	2300	2200	2400	2500	2000	2000	1500	1400	2300	180	2400	2100	2500	2000	2700	1600	2400	2100	1600	2300	2000	2500	2100	2200	2200	1800	2700	2100	2200	2500	1800	2400	2000	2000	1800	2300	700	32	1700	2200	2200	2700	1000	900	1500	283	2500	2400	1800	2700	2700	1300	333	1000	680	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	113680	1210	1349	1112	1872	155	356	1680	999	1759	1276	1528	2037	1700	2105	2175	507	1873	1073	1453	1924	1932	1828	1785	1674	1581	2013	1457	1741	1149	983	1857	93	1756	1475	1842	1613	1818	1270	1630	1464	1245	1937	1703	2050	1491	1777	1582	1234	2033	1494	1573	2029	1622	2008	1725	1837	1494	1976	623	31	1312	1581	1606	2010	810	621	1185	192	1835	2033	1655	2187	2152	883	198	759	511	1582					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4994	33	35	44	70	150	75	57	38	56	48	79	55	59	90	86	33	37	51	37	76	92	67	40	67	77	66	150	56	43	35	85	87	57	78	104	73	38	38	101	99	95	140	78	53	32	102	79	91	66	66	63	99	40	27	36	34	65	32	18	0	58	59	38	41	56	164	94	73	76	85	39	51	77	78	28	16	42	41					
6	Число погашенных избирательных бюллетеней	26987	157	416	344	58	8	9	563	363	585	476	393	308	641	305	239	160	490	376	210	200	276	405	475	459	742	421	393	203	308	382	358	0	587	547	554	314	844	292	669	537	260	223	219	397	577	321	539	475	601	540	564	372	138	365	239	129	241	292	59	1	330	560	556	649	134	115	221	18	589	282	106	462	471	339	107	225	127	77					
