Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Истринская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №3580									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103016	1671	1524	2161	1887	2026	2485	2131	2759	2474	1860	1350	2602	1962	809	1260	1026	2808	2167	1399	2828	1267	1679	2314	2621	2254	1920	2085	1857	579	598	591	1241	1396	2147	1476	2156	2189	2279	1793	958	2494	1139	551	1519	477	887	1852	2173	1336	331	348	1872	852	2680	2501	2623	2343	1281	1870	419	879									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	100100	1631	1534	2161	1836	2055	2479	2134	2629	2467	1833	1288	2567	1906	793	1092	1036	2750	2148	1333	2677	1245	1662	2234	2512	2144	1890	2043	1827	571	592	565	1203	1393	2120	1500	2141	2141	2264	1750	967	2449	1057	510	1495	448	867	1817	2188	1370	337	342	1737	828	2678	1930	2575	2057	1295	1757	417	833									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34653	614	660	1042	569	792	996	793	912	928	730	460	827	635	296	379	263	850	715	450	858	425	850	669	832	625	435	738	573	195	190	171	471	514	693	433	666	636	897	568	270	984	296	173	639	198	415	674	785	390	124	115	721	352	906	411	875	592	380	616	109	278									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1511	6	3	17	7	11	3	14	4	5	14	2	30	7	1	3	8	17	8	4	3	4	8	6	6	11	11	9	22	21	17	24	22	31	11	6	5	46	35	154	101	227	20	37	14	27	8	39	34	26	28	31	96	25	13	11	36	8	2	19	23	70									
6	Число погашенных избирательных бюллетеней	63936	1011	871	1102	1260	1252	1480	1327	1713	1534	1089	826	1710	1264	496	710	765	1883	1425	879	1816	816	804	1559	1674	1508	1444	1296	1232	355	385	370	710	848	1416	1061	1470	1459	1332	1028	596	1238	741	300	842	223	444	1104	1369	954	185	196	920	451	1759	1508	1664	1457	913	1122	285	485									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1511	6	3	17	7	11	3	14	4	5	14	2	30	7	1	3	8	17	8	4	3	4	8	6	6	11	11	9	22	21	17	24	22	31	11	6	5	46	35	154	101	227	20	37	14	27	8	39	34	26	28	31	96	25	13	11	36	8	2	19	23	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34633	612	660	1042	569	792	996	793	912	925	730	460	825	635	296	379	263	850	715	450	858	425	850	669	832	625	435	738	568	195	190	171	471	511	691	433	666	636	897	568	270	984	296	173	639	198	415	674	784	390	124	115	721	352	904	411	875	592	380	616	109	278									
9	Число недействительных избирательных бюллетеней	995	15	16	18	10	24	34	27	18	7	15	19	32	6	15	4	9	14	9	15	4	18	7	2	62	18	13	9	23	1	10	14	14	23	44	17	34	16	7	25	7	11	6	5	28	3	8	20	41	20	6	7	14	18	37	16	26	19	0	25	1	9									
10	Число действительных избирательных бюллетеней	35149	603	647	1041	566	779	965	780	898	923	729	443	823	636	282	378	262	853	714	439	857	411	851	673	776	618	433	738	567	215	197	181	479	519	658	422	637	666	925	697	364	1200	310	205	625	222	415	693	777	396	146	139	803	359	880	406	885	581	382	610	131	339									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1940	30	30	40	40	40	40	40	40	40	40	30	40	40	10	20	20	40	40	20	40	20	40	40	40	40	40	40	40	10	10	10	20	40	40	40	40	40	40	40	20	40	20	10	40	10	20	40	40	40	10	10	40	20	40	40	40	40	40	40	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	829	19	13	20	14	12	27	26	26	24	21	10	35	13	3	15	7	20	18	9	17	5	14	18	24	17	9	22	5	6	6	6	11	8	20	11	17	12	17	7	6	31	3	1	14	1	11	12	11	7	1	4	13	9	16	23	29	12	13	24	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1502	36	16	11	18	6	20	8	8	20	21	4	16	635	16	13	0	9	4	13	17	14	7	3	5	9	9	10	15	15	11	10	39	22	14	1	0	3	33	14	8	36	20	14	11	8	10	43	2	15	4	18	29	10	7	23	45	12	7	35	6	14									
14	Число погашенных неиспользованных открепительных удостоверений	1111	11	17	20	26	28	13	14	14	16	19	20	5	27	7	5	13	20	22	11	23	15	26	22	16	23	31	18	35	4	4	4	9	32	20	29	23	28	23	33	14	9	17	9	26	9	9	28	29	33	9	6	27	11	24	17	11	28	27	16	7	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	218	3	4	5	6	6	8	2	5	2	5	5	8	3	2	1	3	6	5	5	8	4	3	4	5	4	8	2	3	3	0	0	1	3	2	0	4	2	4	1	1	12	3	1	4	1	0	2	1	1	0	1	2	3	12	5	11	8	3	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1130	30	29	25	14	37	44	21	34	18	31	21	48	19	17	19	10	21	25	6	4	12	16	22	20	22	19	21	29	17	8	10	8	16	23	9	22	21	46	7	12	21	7	9	11	7	14	15	8	11	2	4	20	2	24	24	34	28	18	20	3	15									
		3.13%	4.85%	4.37%	2.36%	2.43%	4.61%	4.40%	2.60%	3.71%	1.94%	4.17%	4.55%	5.61%	2.96%	5.72%	4.97%	3.69%	2.42%	3.46%	1.32%	0.46%	2.80%	1.86%	3.26%	2.39%	3.46%	4.26%	2.81%	4.92%	7.87%	3.86%	5.13%	1.62%	2.95%	3.28%	2.05%	3.28%	3.08%	4.94%	0.97%	3.23%	1.73%	2.22%	4.29%	1.68%	3.11%	3.31%	2.10%	0.98%	2.64%	1.32%	2.74%	2.45%	0.53%	2.62%	5.69%	3.73%	4.67%	4.71%	3.15%	2.27%	4.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	787	15	20	22	9	22	38	19	20	10	24	8	19	21	3	1	3	17	18	11	12	9	13	20	18	12	10	15	15	2	7	3	17	8	23	8	17	18	21	7	10	16	7	2	15	5	6	19	19	7	2	4	18	7	30	4	17	16	14	8	3	3									
		2.18%	2.43%	3.02%	2.08%	1.56%	2.74%	3.80%	2.35%	2.18%	1.08%	3.23%	1.73%	2.22%	3.27%	1.01%	0.26%	1.11%	1.96%	2.49%	2.42%	1.39%	2.10%	1.52%	2.96%	2.15%	1.89%	2.24%	2.01%	2.54%	0.93%	3.38%	1.54%	3.45%	1.48%	3.28%	1.82%	2.53%	2.64%	2.25%	0.97%	2.70%	1.32%	2.22%	0.95%	2.30%	2.22%	1.42%	2.66%	2.32%	1.68%	1.32%	2.74%	2.20%	1.86%	3.27%	0.95%	1.87%	2.67%	3.66%	1.26%	2.27%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	939	16	11	12	7	26	26	20	24	17	17	10	23	22	8	16	5	42	15	14	8	10	16	21	34	21	11	28	19	6	6	12	12	16	22	20	3	18	28	10	12	27	8	16	11	1	5	20	20	10	4	4	13	11	28	5	24	18	18	19	7	6									
