Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Новоузенская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410					
1	"Число избирателей, внесенных в списки"	24193	1661	1043	1836	216	229	228	1383	2214	1318	1050	1880	270	887	170	220	137	127	1212	113	210	188	87	676	121	98	454	112	1207	436	843	323	125	355	132	49	814	160	136	391	178	228	91	585					
2	"Число бюллетеней, полученных участковыми комиссиями"	23816	1627	1005	1813	217	227	222	1338	2124	1301	1049	1817	233	883	166	210	140	129	1207	113	210	193	84	664	120	96	456	112	1161	419	822	320	125	352	137	51	826	160	168	391	176	225	137	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17767	1429	628	1175	181	166	211	792	1279	885	654	1441	155	687	119	183	113	100	986	103	158	142	77	527	116	92	424	102	887	398	605	311	122	314	127	37	549	153	133	321	153	194	91	447					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	862	35	133	38	10	30	0	46	18	12	19	52	55	16	32	11	19	26	5	0	0	10	0	56	0	0	17	10	24	9	50	0	0	11	0	0	31	0	3	0	0	0	0	84					
6	Число погашенных бюллетеней	5187	163	244	600	26	31	11	500	827	404	376	324	23	180	15	16	8	3	216	10	52	41	7	81	4	4	15	0	250	12	167	9	3	27	10	14	246	7	32	70	23	31	46	59					
7	Число бюллетеней в переносных ящиках для голосования	862	35	133	38	10	30	0	46	18	12	19	52	55	16	32	11	19	26	5	0	0	10	0	56	0	0	17	10	24	9	50	0	0	11	0	0	31	0	3	0	0	0	0	84					
8	Число бюллетеней в стационарных ящиках для голосования	17766	1429	628	1175	181	166	211	792	1279	885	654	1441	155	687	119	183	113	100	986	103	158	142	77	527	116	92	424	102	887	398	604	311	122	314	127	37	549	153	133	321	153	194	91	447					
9	Число недействительных бюллетеней	437	0	11	7	1	15	2	4	0	63	8	28	1	0	14	13	2	1	90	2	6	0	0	16	4	0	13	0	42	0	20	7	10	6	8	0	22	0	5	4	2	2	1	7					
10	Число действительных бюллетеней	18191	1464	750	1206	190	181	209	834	1297	834	665	1465	209	703	137	181	130	125	901	101	152	152	77	567	112	92	428	112	869	407	634	304	112	319	119	37	558	153	131	317	151	192	90	524					
