Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Евпаторийская городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87451	2260	2247	1832	2045	2247	2078	2334	2330	1975	3095	2124	2536	2297	1797	2649	2048	2066	2130	2271	2025	1891	2074	2902	3000	2280	2635	2736	2507	2768	2819	2701	2335	2369	1664	1753	2516	2284	1831									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79850	2050	2050	1750	1900	2000	1900	2150	2150	1800	2850	2000	2200	2100	1650	2100	1850	1900	1950	2050	1800	1750	1900	2650	2750	2100	2450	2600	2350	2550	2600	2550	2100	2200	1400	1650	2300	2100	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40620	1371	1240	819	838	1113	889	1047	1080	891	1399	956	1228	1142	965	1396	1033	1084	997	1103	1010	1040	888	1315	1410	920	1181	1204	1217	1190	1446	881	420	370	1253	982	1273	1066	963									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1601	79	33	41	184	66	47	33	37	26	51	32	40	52	40	72	52	29	21	59	67	34	24	8	22	53	29	89	24	51	30	10	13	15	14	37	54	6	27									
6	Число погашенных избирательных бюллетеней	37629	600	777	890	878	821	964	1070	1033	883	1400	1012	932	906	645	632	765	787	932	888	723	676	988	1327	1318	1127	1240	1307	1109	1309	1124	1659	1667	1815	133	631	973	1028	660									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1601	79	33	41	184	66	47	33	37	26	51	32	40	52	40	72	52	29	21	59	67	34	24	8	22	53	29	89	24	51	30	10	13	15	14	37	54	6	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40616	1371	1240	819	838	1113	889	1047	1080	891	1399	956	1228	1142	964	1396	1033	1084	996	1103	1010	1040	888	1315	1410	920	1181	1204	1217	1190	1446	881	420	368	1253	982	1273	1066	963									
9	Число недействительных избирательных бюллетеней	781	20	42	10	13	20	16	17	15	0	18	17	27	17	16	33	26	20	18	25	14	21	10	19	24	20	21	30	21	20	21	13	43	26	11	31	32	16	18									
10	Число действительных избирательных бюллетеней	41436	1430	1231	850	1009	1159	920	1063	1102	917	1432	971	1241	1177	988	1435	1059	1093	999	1137	1063	1053	902	1304	1408	953	1189	1263	1220	1221	1455	878	390	357	1256	988	1295	1056	972									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2650	70	65	110	60	65	60	70	70	60	90	65	70	70	55	70	60	60	60	70	60	60	60	85	90	70	80	85	75	80	85	80	70	70	45	55	75	70	55									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	854	22	18	88	21	18	21	22	22	29	34	16	23	16	12	29	20	22	16	24	22	21	15	18	40	21	34	22	23	19	21	24	14	5	6	13	20	20	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1415	63	37	29	25	40	34	15	62	34	33	34	176	21	23	204	54	26	20	21	29	23	18	10	31	24	17	18	17	16	19	19	5	3	95	38	42	19	21									
14	Число погашенных неиспользованных открепительных удостоверений	1796	48	47	22	39	47	39	48	48	31	56	49	47	54	43	41	40	38	44	46	38	39	45	67	50	49	46	63	52	61	64	56	56	65	39	42	55	50	32									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	1	2	5	0	2	2	2	1	2	2	4	0	1	1	2	2	3	0	0	1	1	5	1	3	2	1	2	4	1	4	3	0	0	3	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	802	40	26	21	9	14	20	14	24	20	30	27	22	32	23	39	30	22	25	15	21	18	11	24	23	13	13	24	18	18	22	18	3	6	25	54	13	15	10									
		1.90%	2.76%	2.04%	2.44%	0.88%	1.19%	2.14%	1.30%	2.15%	2.18%	2.07%	2.73%	1.74%	2.68%	2.29%	2.66%	2.76%	1.98%	2.46%	1.29%	1.95%	1.68%	1.21%	1.81%	1.61%	1.34%	1.07%	1.86%	1.45%	1.45%	1.49%	2.02%	0.69%	1.57%	1.97%	5.30%	0.98%	1.40%	1.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	535	51	21	9	9	15	14	10	13	11	13	12	18	12	16	13	18	13	14	9	10	14	5	14	17	4	19	15	12	13	11	5	9	3	20	11	24	17	21									
		1.27%	3.52%	1.65%	1.05%	0.88%	1.27%	1.50%	0.93%	1.16%	1.20%	0.90%	1.21%	1.42%	1.01%	1.59%	0.89%	1.66%	1.17%	1.38%	0.77%	0.93%	1.30%	0.55%	1.06%	1.19%	0.41%	1.57%	1.16%	0.97%	1.05%	0.75%	0.56%	2.08%	0.78%	1.58%	1.08%	1.81%	1.59%	2.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	538	35	23	10	12	14	6	8	19	15	11	12	17	16	4	21	13	9	18	11	18	6	11	13	15	9	12	16	11	6	22	12	22	20	21	5	19	16	10									
		1.27%	2.41%	1.81%	1.16%	1.17%	1.19%	0.64%	0.74%	1.70%	1.64%	0.76%	1.21%	1.34%	1.34%	0.40%	1.43%	1.20%	0.81%	1.77%	0.95%	1.67%	0.56%	1.21%	0.98%	1.05%	0.92%	0.99%	1.24%	0.89%	0.48%	1.49%	1.35%	5.08%	5.22%	1.66%	0.49%	1.43%	1.49%	1.01%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29047	911	857	593	757	863	661	790	754	622	972	638	856	826	683	966	734	764	671	819	775	741	684	908	1003	689	863	879	904	854	1035	605	248	230	825	639	930	798	700									
		68.80%	62.83%	67.32%	68.95%	74.07%	73.20%	70.62%	73.15%	67.50%	67.83%	67.03%	64.57%	67.51%	69.18%	68.03%	65.80%	67.65%	68.64%	65.98%	70.48%	71.96%	68.99%	75.00%	68.63%	70.04%	70.81%	71.32%	67.98%	72.84%	68.82%	70.12%	67.90%	57.27%	60.05%	65.11%	62.71%	70.08%	74.44%	70.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	331	21	22	6	4	3	3	9	9	4	14	8	3	7	6	15	5	10	6	5	3	3	2	16	12	6	14	13	11	7	11	11	12	8	17	2	9	10	4									
		0.78%	1.45%	1.73%	0.70%	0.39%	0.25%	0.32%	0.83%	0.81%	0.44%	0.97%	0.81%	0.24%	0.59%	0.60%	1.02%	0.46%	0.90%	0.59%	0.43%	0.28%	0.28%	0.22%	1.21%	0.84%	0.62%	1.16%	1.01%	0.89%	0.56%	0.75%	1.23%	2.77%	2.09%	1.34%	0.20%	0.68%	0.93%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	16	11	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	3	0	5	0	0	1	1	5	4	6	2	0	1	1									
		0.16%	1.10%	0.86%	0.12%	0.10%	0.08%	0.00%	0.00%	0.09%	0.00%	0.07%	0.00%	0.08%	0.00%	0.10%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.07%	0.31%	0.00%	0.39%	0.00%	0.00%	0.07%	0.11%	1.15%	1.04%	0.47%	0.20%	0.00%	0.09%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5288	206	161	132	114	132	137	152	150	128	216	160	153	141	124	175	132	144	134	155	119	150	102	178	187	119	148	146	138	197	148	120	22	25	142	126	167	103	105									
		12.53%	14.21%	12.65%	15.35%	11.15%	11.20%	14.64%	14.07%	13.43%	13.96%	14.90%	16.19%	12.07%	11.81%	12.35%	11.92%	12.17%	12.94%	13.18%	13.34%	11.05%	13.97%	11.18%	13.45%	13.06%	12.23%	12.23%	11.29%	11.12%	15.87%	10.03%	13.47%	5.08%	6.53%	11.21%	12.37%	12.58%	9.61%	10.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	298	7	14	4	6	8	3	3	10	9	21	3	10	5	3	2	8	5	7	5	11	14	5	13	15	5	6	14	7	4	5	4	18	17	8	1	7	5	6									
		0.71%	0.48%	1.10%	0.47%	0.59%	0.68%	0.32%	0.28%	0.90%	0.98%	1.45%	0.30%	0.79%	0.42%	0.30%	0.14%	0.74%	0.45%	0.69%	0.43%	1.02%	1.30%	0.55%	0.98%	1.05%	0.51%	0.50%	1.08%	0.56%	0.32%	0.34%	0.45%	4.16%	4.44%	0.63%	0.10%	0.53%	0.47%	0.61%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	250	8	16	4	6	7	2	6	9	9	3	4	11	9	9	13	5	4	4	2	6	7	6	8	9	5	6	7	6	2	14	5	4	4	5	8	5	8	4									
		0.59%	0.55%	1.26%	0.47%	0.59%	0.59%	0.21%	0.56%	0.81%	0.98%	0.21%	0.40%	0.87%	0.75%	0.90%	0.89%	0.46%	0.36%	0.39%	0.17%	0.56%	0.65%	0.66%	0.60%	0.63%	0.51%	0.50%	0.54%	0.48%	0.16%	0.95%	0.56%	0.92%	1.04%	0.39%	0.79%	0.38%	0.75%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	2	7	0	0	0	1	0	0	1	0	0	1	0	1	2	1	0	0	0	1	1	0	3	1	2	0	4	0	1	1	1	2	0	0	0	0	1	1									
		0.08%	0.14%	0.55%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.11%	0.00%	0.00%	0.08%	0.00%	0.10%	0.14%	0.09%	0.00%	0.00%	0.00%	0.09%	0.09%	0.00%	0.23%	0.07%	0.21%	0.00%	0.31%	0.00%	0.08%	0.07%	0.11%	0.46%	0.00%	0.00%	0.00%	0.00%	0.09%	0.10%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	321	6	10	5	11	15	5	2	3	4	13	7	10	8	10	6	4	10	1	4	9	6	9	10	15	10	7	12	6	7	12	11	23	26	5	5	8	4	2									
