Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Ключевская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895					
1	"Число избирателей, внесенных в список избирателей"	15332	2675	2708	2148	1096	1461	1021	233	569	721	146	402	115	228	503	787	86	433					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	2800	2890	2200	1182	1555	1100	238	564	720	141	417	116	232	508	811	89	437					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8441	1331	1323	1179	655	827	584	178	350	386	81	235	66	147	306	479	66	248					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	861	92	124	68	69	83	60	15	75	79	15	34	14	15	31	60	2	25					
6	Число погашенных избирательных бюллетеней	6698	1377	1443	953	458	645	456	45	139	255	45	148	36	70	171	272	21	164					
7	Число избирательных бюллетеней в переносных ящиках для голосования	861	92	124	68	69	83	60	15	75	79	15	34	14	15	31	60	2	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8440	1331	1323	1179	654	827	584	178	350	386	81	235	66	147	306	479	66	248					
9	Число недействительных избирательных бюллетеней	123	18	28	8	10	16	5	4	0	6	0	3	1	2	8	10	1	3					
10	Число действительных избирательных бюллетеней	9178	1405	1419	1239	713	894	639	189	425	459	96	266	79	160	329	529	67	270					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	20	20	20	15	15	15	10	15	10	10	15	10	10	15	15	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	81	14	20	4	7	1	9	0	0	6	0	10	0	2	0	4	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	7	4	6	2	0	2	1	1	4	2	2	1	1	1	3	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	159	6	0	16	8	14	6	10	15	4	10	5	10	8	15	11	8	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	934	178	109	144	33	72	74	14	37	50	9	58	11	10	39	72	7	17					
		10.04%	12.51%	7.53%	11.55%	4.56%	7.91%	11.49%	7.25%	8.71%	10.75%	9.38%	21.56%	13.75%	6.17%	11.57%	13.36%	10.29%	6.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	964	170	114	158	10	98	86	7	42	50	6	49	12	1	44	53	18	46					
		10.36%	11.95%	7.88%	12.67%	1.38%	10.77%	13.35%	3.63%	9.88%	10.75%	6.25%	18.22%	15.00%	0.62%	13.06%	9.83%	26.47%	16.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	7	5	9	2	5	4	2	0	4	1	5	1	1	1	1	1	1					
		0.54%	0.49%	0.35%	0.72%	0.28%	0.55%	0.62%	1.04%	0.00%	0.86%	1.04%	1.86%	1.25%	0.62%	0.30%	0.19%	1.47%	0.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1563	154	266	204	105	167	74	34	66	100	16	49	27	20	108	96	12	65					
		16.80%	10.82%	18.38%	16.36%	14.52%	18.35%	11.49%	17.62%	15.53%	21.51%	16.67%	18.22%	33.75%	12.35%	32.05%	17.81%	17.65%	23.81%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	63	20	13	11	3	3	1	1	0	2	2	1	0	0	2	2	0	2					
		0.68%	1.41%	0.90%	0.88%	0.41%	0.33%	0.16%	0.52%	0.00%	0.43%	2.08%	0.37%	0.00%	0.00%	0.59%	0.37%	0.00%	0.73%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5585	871	905	712	558	549	398	131	280	253	62	103	28	128	135	304	29	139					
		60.05%	61.21%	62.54%	57.10%	77.18%	60.33%	61.80%	67.88%	65.88%	54.41%	64.58%	38.29%	35.00%	79.01%	40.06%	56.40%	42.65%	50.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	5	7	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0					
		0.20%	0.35%	0.48%	0.08%	0.28%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
