Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Искитимская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47653	2063	1313	602	2007	1762	1828	517	1470	1103	850	1973	703	1230	2002	1938	725	1362	1780	962	845	1702	2011	119	2047	1972	1887	1765	1224	1823	646	1207	882	1742	1591									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45620	2000	1250	550	1950	1700	1750	500	1350	1050	800	1900	650	1150	1950	1900	650	1250	1700	900	800	1700	1950	120	2000	1900	1800	1700	1150	1750	600	1150	800	1700	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16351	542	332	163	669	573	721	189	521	366	200	698	290	439	717	565	304	522	691	354	287	643	785	42	837	679	690	606	490	438	226	328	200	740	504									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	486	16	3	5	38	18	39	11	42	1	1	17	3	12	36	31	3	23	14	2	14	15	5	3	4	22	11	16	6	14	4	23	8	17	9									
6	Число погашенных избирательных бюллетеней	28783	1442	915	382	1243	1109	990	300	787	683	599	1185	357	699	1197	1304	343	705	995	544	499	1042	1160	75	1159	1199	1099	1078	654	1298	370	799	592	943	1037									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	486	16	3	5	38	18	39	11	42	1	1	17	3	12	36	31	3	23	14	2	14	15	5	3	4	22	11	16	6	14	4	23	8	17	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16349	542	332	163	669	573	721	189	519	366	200	698	290	439	717	565	304	522	691	354	287	643	785	42	837	679	690	606	490	438	226	328	200	740	504									
9	Число недействительных избирательных бюллетеней	568	23	17	3	22	14	20	6	14	15	3	20	11	13	20	25	9	27	34	11	7	22	22	5	27	19	25	28	13	15	8	9	9	29	23									
10	Число действительных избирательных бюллетеней	16267	535	318	165	685	577	740	194	547	352	198	695	282	438	733	571	298	518	671	345	294	636	768	40	814	682	676	594	483	437	222	342	199	728	490									
