Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Бугульминская городская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140					
1	"Число избирателей, внесенных в списки"	65103	1172	1598	1257	1458	439	1300	1890	1414	1230	1530	1474	1878	972	1177	1595	894	1873	1285	1456	1524	1291	1217	1024	979	1107	1145	931	1060	1145	1015	1045	1041	1257	1061	1140	1069	1781	1460	1220	897	1034	1139	966	1129	1537	1470	975	1290	1896	1649	1006	386	325					
2	"Число бюллетеней, полученных участковыми комиссиями"	63898	1200	1540	1180	1350	381	1306	1806	1400	1206	1440	1423	1790	935	1110	1626	1001	1898	1296	1441	1481	1285	1082	1005	995	1037	1190	896	1052	1151	1055	1014	1042	1123	985	1058	906	1471	1480	1220	995	1199	1045	920	1085	1538	1457	915	1283	1825	1704	1311	412	352					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50072	944	1065	895	1030	296	931	1458	1059	824	1123	1035	1498	795	830	1143	827	1374	1014	1002	1252	969	928	785	747	841	926	725	842	960	884	730	770	985	783	870	776	1282	1077	966	839	1006	915	718	732	1135	1105	752	1049	1602	1300	967	386	325					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2773	39	54	140	59	40	59	34	61	44	25	15	30	27	69	79	67	98	78	94	75	35	30	61	57	59	61	52	55	41	43	30	61	66	79	67	93	33	41	42	58	28	51	34	66	49	47	24	52	70	62	39	0	0					
6	Число погашенных бюллетеней	11045	217	421	145	261	45	316	314	280	338	292	373	262	113	211	404	107	426	204	345	154	281	124	159	191	137	203	119	154	150	128	254	210	72	123	121	37	156	362	212	98	165	79	167	282	354	305	139	182	153	342	305	26	27					
7	Число бюллетеней в переносных ящиках для голосования	2773	39	54	140	59	40	59	34	61	44	25	15	30	27	69	79	67	98	78	94	75	35	30	61	57	59	61	52	55	41	43	30	61	66	79	67	93	33	41	42	58	28	51	34	66	49	47	24	52	70	62	39	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	50063	944	1065	895	1030	296	931	1458	1059	824	1123	1035	1498	795	828	1143	827	1374	1014	1002	1252	969	928	785	747	841	926	725	839	960	884	730	770	985	782	870	776	1282	1077	964	839	1006	915	718	732	1135	1105	752	1048	1602	1300	967	386	325					
9	Число недействительных бюллетеней	650	8	3	4	13	1	10	16	16	0	13	15	20	3	11	36	8	9	2	15	5	7	5	0	8	16	14	4	37	23	0	13	12	25	7	22	19	13	19	8	48	24	18	7	13	13	13	13	15	9	7	8	0	2					
10	Число действительных бюллетеней	52186	975	1116	1031	1076	335	980	1476	1104	868	1135	1035	1508	819	886	1186	886	1463	1090	1081	1322	997	953	846	796	884	973	773	857	978	927	747	819	1026	854	915	850	1302	1099	998	849	1010	948	745	785	1171	1139	763	1085	1663	1355	998	386	323					
