Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Колпашевская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319					
1	"Число избирателей, внесенных в списки"	36554	1791	747	1169	1245	1248	1053	1233	1243	908	992	602	1034	988	1215	957	1335	1046	725	789	961	714	884	1202	1164	489	164	1305	1019	174	142	58	464	747	217	170	507	614	138	410	703	331	1414	53	245	157	91	169	679	251	151	176	271					
2	"Число бюллетеней, полученных участковыми комиссиями"	33774	1710	675	980	1130	1107	960	1110	1108	810	906	531	880	912	1113	851	1196	934	649	712	871	646	808	1093	1045	394	145	1183	917	170	143	59	480	760	230	191	505	610	140	395	715	330	1400	51	250	156	94	180	680	255	149	175	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18393	1016	385	502	652	507	510	740	599	428	488	301	472	375	641	420	582	456	326	356	486	358	432	638	571	208	102	564	390	69	108	49	245	336	132	109	250	465	80	219	466	193	714	46	170	108	65	145	404	155	103	98	159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1676	22	22	116	22	22	41	49	38	38	32	11	101	31	49	25	27	49	22	17	26	37	32	42	48	87	11	45	35	44	5	0	22	43	41	16	53	30	16	39	27	53	28	0	18	0	0	18	70	9	0	24	23					
6	Число погашенных бюллетеней	13705	672	268	362	456	578	409	321	471	344	386	219	307	506	423	406	587	429	301	339	359	251	344	413	426	99	32	574	492	57	30	10	213	381	57	66	202	115	44	137	222	84	658	5	62	48	29	17	206	91	46	53	98					
7	Число бюллетеней в переносных ящиках для голосования	1676	22	22	116	22	22	41	49	38	38	32	11	101	31	49	25	27	49	22	17	26	37	32	42	48	87	11	45	35	44	5	0	22	43	41	16	53	30	16	39	27	53	28	0	18	0	0	18	70	9	0	24	23					
8	Число бюллетеней в стационарных ящиках для голосования	18387	1013	385	502	652	507	510	740	598	428	488	301	471	375	640	420	582	456	326	356	486	358	432	638	571	208	102	564	390	69	108	49	245	336	132	109	250	465	80	219	466	193	714	46	170	108	65	145	404	155	103	98	159					
9	Число недействительных бюллетеней	252	10	5	13	9	3	2	8	5	4	3	2	4	3	6	7	6	14	10	4	4	3	10	8	20	2	1	5	13	0	1	1	0	12	1	3	3	3	1	1	3	3	7	3	4	4	0	0	4	3	1	1	9					
10	Число действительных бюллетеней	19811	1025	402	605	665	526	549	781	631	462	517	310	568	403	683	438	603	491	338	369	508	392	454	672	599	293	112	604	412	113	112	48	267	367	172	122	300	492	95	257	490	243	735	43	184	104	65	163	470	161	102	121	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	542	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	12	10	10	10	10	10	10	10	10	10	10	10	10	10	25	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
