Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Апанасенковская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25076	496	211	179	1504	551	1565	1844	1408	2292	1488	2258	1501	1656	2053	1469	940	1768	1893									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22693	446	191	162	1454	499	1413	1661	1264	2054	1340	2019	1356	1505	1855	1317	859	1598	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9066	230	73	83	521	276	649	678	643	716	457	839	499	571	625	547	353	589	717									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1149	2	4	0	106	37	56	101	99	29	57	41	59	23	60	127	77	177	94									
6	Число погашенных избирательных бюллетеней	12478	214	114	79	827	186	708	882	522	1309	826	1139	798	911	1170	643	429	832	889									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1149	2	4	0	106	37	56	101	99	29	57	41	59	23	60	127	77	177	94									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9058	230	73	83	521	276	649	677	643	716	457	839	496	571	625	547	353	588	714									
9	Число недействительных избирательных бюллетеней	461	10	15	4	35	17	34	34	22	37	22	42	38	34	37	14	11	38	17									
10	Число действительных избирательных бюллетеней	9746	222	62	79	592	296	671	744	720	708	492	838	517	560	648	660	419	727	791									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	5	5	5	10	5	10	15	10	10	10	20	10	10	15	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	2	0	1	10	0	1	6	3	4	2	14	4	1	5	0	4	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	1	0	0	2	1	2	5	7	1	4	5	4	2	1	5	3	4	2									
