Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Кижингинская ТИК																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
1	"Число избирателей, внесенных в списки избирателей"	11436	194	333	1212	435	187	321	2442	1568	63	88	244	425	117	515	132	196	798	493	293	132	549	651	48					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11590	181	316	1210	435	184	349	2415	1562	59	78	239	424	104	503	134	186	790	452	394	137	744	636	58					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7619	130	199	752	282	135	268	1524	1006	56	51	166	249	97	299	132	140	557	303	271	100	473	381	48					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	500	9	24	33	11	0	53	57	41	0	0	27	25	5	14	0	5	28	24	22	9	76	37	0					
6	Число погашенных избирательных бюллетеней	3471	42	93	425	142	49	28	834	515	3	27	46	150	2	190	2	41	205	125	101	28	195	218	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	500	9	24	33	11	0	53	57	41	0	0	27	25	5	14	0	5	28	24	22	9	76	37	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7578	130	199	752	282	135	268	1524	965	56	51	166	249	97	299	132	140	557	303	271	100	473	381	48					
9	Число недействительных избирательных бюллетеней	256	8	3	0	14	5	6	31	26	0	3	4	12	1	12	0	5	45	17	15	4	32	13	0					
10	Число действительных избирательных бюллетеней	7822	131	220	785	279	130	315	1550	980	56	48	189	262	101	301	132	140	540	310	278	105	517	405	48					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	349	15	5	40	20	5	5	79	40	5	5	10	5	10	10	5	5	20	10	30	5	10	5	5					
