Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																														
																																																																														
Наименование Избирательной комиссии:    Иркутская																																																																														
																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																														
																																																																														
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в списки"	39635	324	1232	821	136	162	521	316	158	1015	402	505	174	196	211	102	34	1298	1094	720	444	703	237	86	358	2046	391	351	363	114	169	509	148	109	486	285	173	1366	245	995	415	456	573	159	59	187	701	134	167	153	172	1178	1953	630	199	451	254	213	1547	1877	1116	291	305	524	270	135	178	2006	2674	722	890	47					
2	"Число бюллетеней, полученных участковыми комиссиями"	38038	297	791	785	140	178	520	311	162	990	406	500	177	195	210	100	35	1254	1098	722	445	676	216	87	342	2034	393	347	356	111	161	518	150	109	473	275	161	1289	230	944	396	436	548	152	55	181	670	135	156	148	164	1093	1908	626	191	408	235	209	1537	1775	1090	280	305	503	259	128	155	1926	2610	662	864	45					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18188	177	638	358	136	162	451	227	158	520	221	255	84	123	131	67	30	701	473	259	164	287	153	49	239	684	153	159	164	47	82	203	91	52	226	143	95	572	107	423	247	270	358	85	36	103	298	83	83	90	96	601	701	245	108	237	167	90	500	696	448	101	136	297	160	114	101	760	960	353	376	24					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1011	10	11	27	0	0	0	1	0	52	11	16	0	6	5	3	0	21	7	21	10	29	14	6	0	51	31	9	13	0	10	8	11	0	18	0	20	17	17	35	15	14	4	15	1	5	28	5	4	14	0	2	84	0	0	0	2	25	30	19	21	25	10	0	0	0	28	94	19	32	22	3					
6	Число погашенных бюллетеней	18839	110	142	400	4	16	69	83	4	418	174	229	93	66	74	30	5	532	618	442	271	360	49	32	103	1299	209	179	179	64	69	307	48	57	229	132	46	700	106	486	134	152	186	52	18	73	344	47	69	44	68	490	1123	381	83	171	66	94	1007	1060	621	154	159	206	99	14	26	1072	1631	277	466	18					
7	Число бюллетеней в переносных ящиках для голосования	1011	10	11	27	0	0	0	1	0	52	11	16	0	6	5	3	0	21	7	21	10	29	14	6	0	51	31	9	13	0	10	8	11	0	18	0	20	17	17	35	15	14	4	15	1	5	28	5	4	14	0	2	84	0	0	0	2	25	30	19	21	25	10	0	0	0	28	94	19	32	22	3					
8	Число бюллетеней в стационарных ящиках для голосования	18186	177	638	358	136	162	451	227	158	520	221	255	84	123	131	67	30	701	473	259	164	287	153	49	239	684	153	159	164	47	82	203	91	52	226	143	95	572	107	423	247	270	358	85	36	103	298	83	83	90	96	600	701	245	108	237	167	90	500	696	448	101	136	297	160	114	101	760	960	353	375	24					
9	Число недействительных бюллетеней	251	1	4	4	0	0	4	0	0	4	3	5	1	2	3	0	0	14	3	7	2	6	2	1	0	10	2	2	4	0	2	8	3	0	4	0	8	10	2	12	2	7	3	1	0	4	0	0	4	2	3	11	4	0	3	1	3	2	9	11	9	1	0	5	3	0	6	12	6	0	5	1					
10	Число действительных бюллетеней	18946	186	645	381	136	162	447	228	158	568	229	266	83	127	133	70	30	708	477	273	172	310	165	54	239	725	182	166	173	47	90	203	99	52	240	143	107	579	122	446	260	277	359	99	37	104	326	88	83	102	93	591	781	245	105	236	166	113	521	704	460	125	146	292	157	114	123	842	973	385	392	26					
