Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Оренбургская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №748	УИК №749	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68279	1495	1129	624	458	305	916	341	845	1146	558	838	934	612	1620	1386	1495	2192	2273	1185	1322	688	1358	1096	2195	2311	1203	970	670	237	1717	653	1707	1780	1192	2165	389	1649	1017	795	349	154	1967	2075	617	2136	2182	930	456	867	352	373	142	845	1241	1022	211	307	398	2406	486	2088	1209									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67502	1469	1058	635	462	318	920	343	863	1163	574	865	948	643	1611	1144	1488	2139	2232	1181	1331	696	1364	1101	2203	2204	1209	982	674	238	1677	556	1604	1751	1219	2181	408	1670	1018	799	351	157	1885	1922	601	2107	2177	939	484	895	352	379	146	859	1239	1030	212	308	398	2372	479	2098	1171									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25840	564	572	277	123	83	276	110	290	450	151	262	320	250	584	854	546	658	840	469	526	235	625	358	699	796	345	338	205	100	609	207	622	827	658	647	120	712	415	247	126	51	649	965	175	891	854	390	193	422	138	146	64	276	535	433	71	97	136	960	146	746	406									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1105	8	1	55	8	20	9	6	15	15	2	10	41	12	33	2	14	8	20	11	6	10	12	7	30	29	15	23	18	2	38	64	8	25	30	30	22	30	29	5	8	6	8	10	26	12	20	9	10	39	14	9	16	23	25	36	6	15	12	12	37	20	9									
6	Число погашенных избирательных бюллетеней	40557	897	485	303	331	215	635	227	558	698	421	593	587	381	994	288	928	1473	1372	701	799	451	727	736	1474	1379	849	621	451	136	1030	285	974	899	531	1504	266	928	574	547	217	100	1228	947	400	1204	1303	540	281	434	200	224	66	560	679	561	135	196	250	1400	296	1332	756									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1105	8	1	55	8	20	9	6	15	15	2	10	41	12	33	2	14	8	20	11	6	10	12	7	30	29	15	23	18	2	38	64	8	25	30	30	22	30	29	5	8	6	8	10	26	12	20	9	10	39	14	9	16	23	25	36	6	15	12	12	37	20	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25792	564	572	277	123	83	276	110	290	450	151	262	320	250	584	854	546	658	840	469	526	235	625	358	699	796	345	338	205	100	609	207	622	827	658	647	120	712	415	247	126	51	649	965	175	879	854	390	193	422	138	146	64	276	535	397	71	97	136	960	146	746	406									
9	Число недействительных избирательных бюллетеней	601	8	11	3	1	4	11	1	4	3	6	8	6	9	16	11	15	11	11	13	12	2	9	6	16	23	6	9	6	0	14	12	9	11	27	15	1	27	15	8	3	2	7	14	3	11	22	11	6	15	5	6	2	15	19	19	8	8	3	10	7	14	11									
10	Число действительных избирательных бюллетеней	26296	564	562	329	130	99	274	115	301	462	147	264	355	253	601	845	545	655	849	467	520	243	628	359	713	802	354	352	217	102	633	259	621	841	661	662	141	715	429	244	131	55	650	961	198	880	852	388	197	446	147	149	78	284	541	414	69	104	145	962	176	752	404									
