Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Заинская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11010	814	193	148	405	145	115	274	266	110	146	107	122	486	315	219	312	594	261	217	87	314	96	277	174	83	245	128	100	119	332	215	276	264	765	316	311	237	199	55	239	97	253	435	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11064	820	196	148	408	146	117	276	267	112	148	106	124	490	318	218	310	598	264	220	83	316	98	279	176	85	251	130	102	121	331	217	272	266	766	314	312	238	198	55	240	99	252	433	144									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10692	796	191	143	400	141	111	263	258	105	143	106	122	476	310	209	299	576	258	213	83	310	94	270	170	81	238	128	100	119	323	209	222	259	750	308	292	221	196	53	239	97	244	423	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	11	9	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	290	24	5	5	8	5	6	13	9	7	5	0	2	14	8	5	3	22	6	7	0	6	4	9	6	4	13	2	2	2	8	8	0	7	16	6	9	8	2	2	1	2	8	10	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	11	9	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10692	796	191	143	400	141	111	263	258	105	143	106	122	476	310	209	299	576	258	213	83	310	94	270	170	81	238	128	100	119	323	209	222	259	750	308	292	221	196	53	239	97	244	423	143									
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	10772	796	191	143	400	141	111	263	258	105	143	106	122	474	310	213	307	576	258	213	83	310	94	270	170	81	238	128	100	119	323	209	272	259	750	308	303	230	196	53	239	97	244	423	143									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	15	5	5	8	5	5	7	7	5	5	5	5	10	7	5	7	10	7	5	5	7	5	7	5	5	7	5	5	5	7	5	7	7	15	7	7	7	5	5	7	5	7	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	4	1	0	1	0	0	0	2	0	0	0	1	2	1	1	0	2	1	1	0	0	0	0	0	0	4	0	0	0	0	0	4	1	2	0	1	1	0	0	0	0	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	3	0	2	0	1	0	1	3	0	0	3	1	0	0	4	4	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	10	1	2	3	2	2	3	2	1	1	5	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	256	11	4	5	7	5	5	7	5	5	5	5	4	8	6	4	7	8	6	4	5	7	5	7	5	5	3	5	5	5	7	5	3	6	13	7	6	6	5	5	7	5	5	8	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
